location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Mauritania,2021-03-26,Sinopharm/Beijing,https://www.rfi.fr/fr/afrique/20210327-covid-19-d%C3%A9but-de-la-campagne-de-vaccination-en-mauritanie,0,0,0,
Mauritania,2021-04-01,Sinopharm/Beijing,https://www.sante.gov.mr/?p=5938,1366,1366,0,
Mauritania,2021-04-08,Sinopharm/Beijing,https://www.sante.gov.mr/wp-content/uploads/2021/04/Mauritania-COVID-19-Situation-Report-2021-04-07.FR_.pdf,2930,2930,0,
Mauritania,2021-04-18,Sinopharm/Beijing,https://www.sante.gov.mr/wp-content/uploads/2021/04/Mauritania-COVID-19-Situation-Report-2021-04-18FR.pdf,7038,7038,0,
Mauritania,2021-05-09,Sinopharm/Beijing,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-09FR.pdf,15661,15661,0,
Mauritania,2021-05-21,Sinopharm/Beijing,https://covid19.who.int/region/afro/country/mr,25741,19468,6273,
Mauritania,2021-05-23,Sinopharm/Beijing,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf,28382,22109,6273,
Mauritania,2021-05-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,28770,22360,6410,
Mauritania,2021-05-31,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,37331,30561,6770,
Mauritania,2021-06-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,43607,,,
Mauritania,2021-06-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,44628,37726,6902,
Mauritania,2021-06-14,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,46703,39801,6902,
Mauritania,2021-06-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,49235,42333,6902,
Mauritania,2021-06-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,142362,135460,6902,
Mauritania,2021-06-30,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,161082,152224,8858,
Mauritania,2021-07-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,171733,160481,11252,
Mauritania,2021-07-07,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,174628,163150,11478,
Mauritania,2021-07-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,176337,164213,12124,
Mauritania,2021-07-13,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,178928,166277,12651,
Mauritania,2021-07-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,182642,169595,13047,
Mauritania,2021-07-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,189076,174957,14119,
Mauritania,2021-07-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,190950,176294,14656,
Mauritania,2021-07-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,192094,177259,14835,
Mauritania,2021-07-29,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,193776,178483,15293,
Mauritania,2021-08-03,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,219338,200929,18409,
Mauritania,2021-08-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,224000,205245,18755,
Mauritania,2021-08-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,236578,215782,20796,
Mauritania,2021-08-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,242626,221081,21545,
Mauritania,2021-08-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,253336,,,
Mauritania,2021-08-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,254155,228536,,
Mauritania,2021-09-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,265877,,,
Mauritania,2021-09-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,306666,285121,21545,
Mauritania,2021-09-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,872614,315182,557432,
