WHO Country Name,WHO Region,OWID Country Name,Population (UN 2020 projection)
China,Western Pacific,China,1424548266
Republic of Korea,Western Pacific,South Korea,51506975
Japan,Western Pacific,Japan,126495647
Singapore,Western Pacific,Singapore,5935053
Malaysia,Western Pacific,Malaysia,32869323
Australia,Western Pacific,Australia,25398177
Viet Nam,Western Pacific,Vietnam,98360145
Philippines,Western Pacific,Philippines,109703396
New Zealand,Western Pacific,New Zealand,4834420
Cambodia,Western Pacific,Cambodia,16715508
Bhutan,South-East Asia,Bhutan,835245
Thailand,South-East Asia,Thailand,69410868
India,South-East Asia,India,1383197753
Nepal,South-East Asia,Nepal,30260244
Indonesia,South-East Asia,Indonesia,272222987
Sri Lanka,South-East Asia,Sri Lanka,21084042
Maldives,South-East Asia,Maldives,458909
United States of America,Americas,United States,331431534
Canada,Americas,Canada,37603205
Brazil,Americas,Brazil,213863046
Mexico,Americas,Mexico,133870027
Ecuador,Americas,Ecuador,17335642
Dominican Republic,Americas,Dominican Republic,11108358
Argentina,Americas,Argentina,45510399
Chile,Americas,Chile,18472639
Colombia,Americas,Colombia,50220412
Peru,Americas,Peru,33312178
Costa Rica,Americas,Costa Rica,5044179
Italy,Europe,Italy,59132073
France,Europe,France,65721165
Germany,Europe,Germany,82540450
Spain,Europe,Spain,46459219
Switzerland,Europe,Switzerland,8670535
The United Kingdom,Europe,United Kingdom,67334208
Sweden,Europe,Sweden,10121686
Netherlands,Europe,Netherlands,17181248
Norway,Europe,Norway,5449693
Finland,Europe,Finland,5580127
Belgium,Europe,Belgium,11619972
Israel,Europe,Israel,8713559
Austria,Europe,Austria,8782210
Iceland,Europe,Iceland,343228
Croatia,Europe,Croatia,4115947
Russian Federation,Europe,Russia,143786842
Romania,Europe,Romania,19388362
North Macedonia,Europe,Macedonia,2088035
Greece,Europe,Greece,11102572
Georgia,Europe,Georgia,3898529
Estonia,Europe,Estonia,1300559
Denmark,Europe,Denmark,5796800
San Marino,Europe,San Marino,
Azerbaijan,Europe,Azerbaijan,10099743
Belarus,Europe,Belarus,9415431
Lithuania,Europe,Lithuania,2852478
Armenia,Europe,Armenia,2938679
Liechtenstein,Europe,Liechtenstein,
Slovenia,Europe,Slovenia,2082055
Serbia,Europe,Serbia,8703942
Ireland,Europe,Ireland,4887992
Monaco,Europe,Monaco,
Czechia,Europe,Czech Republic,10633424
Luxembourg,Europe,Luxembourg,603944
Latvia,Europe,Latvia,1892993
Andorra,Europe,Andorra,
Portugal,Europe,Portugal,10218413
Ukraine,Europe,Ukraine,43579234
Poland,Europe,Poland,37942231
Slovakia,Europe,Slovakia,5451400
Holy See,Europe,Vatican,
Bosnia and Herzegovina,Europe,Bosnia and Herzegovina,3498210
Hungary,Europe,Hungary,9621254
Malta,Europe,Malta,434363
Bulgaria,Europe,Bulgaria,6940527
Republic of Moldova,Europe,Moldova,4017687
Iran,Eastern Mediterranean,Iran,83587129
United Arab Emirates,Eastern Mediterranean,United Arab Emirates,9813170
Lebanon,Eastern Mediterranean,Lebanon,6019795
Kuwait,Eastern Mediterranean,Kuwait,4302875
Iraq,Eastern Mediterranean,Iraq,41502885
Bahrain,Eastern Mediterranean,Bahrain,1697765
Oman,Eastern Mediterranean,Oman,5149700
Afghanistan,Eastern Mediterranean,Afghanistan,38054941
Egypt,Eastern Mediterranean,Egypt,102941484
Qatar,Eastern Mediterranean,Qatar,2791807
Pakistan,Eastern Mediterranean,Pakistan,208362334
Jordan,Eastern Mediterranean,Jordan,10208662
Morocco,Eastern Mediterranean,Morocco,37070718
Tunisia,Eastern Mediterranean,Tunisia,11903136
Saudi Arabia,Eastern Mediterranean,Saudi Arabia,34709640
Algeria,Africa,Algeria,43333255
Senegal,Africa,Senegal,17200154
Cameroon,Africa,Cameroon,25958184
South Africa,Africa,South Africa,58721229
Nigeria,Africa,Nigeria,206152701
Togo,Africa,Togo,8384291
Occupied Palestinian Territory,Territories,Palestine,5322629
Saint Martin,Territories,Saint Martin (French part),
Saint Barthélemy,Territories,Saint Barthlemy,
Gibraltar,Territories,Gibraltar,
Faroe Islands,Territories,Faeroe Islands,
French Guiana,Territories,French Guiana,303982
Martinique,Territories,Martinique,385457
International conveyance (Diamond Princess),International,International,
Paraguay,Americas,Paraguay,7066330
Albania,Europe,Albania,2942034
Bangladesh,South-East Asia,Bangladesh,169775309
Brunei Darussalam,Western Pacific,Brunei,444519
Cyprus,Europe,Cyprus,1207343
Mongolia,Western Pacific,Mongolia,3209404
Panama,Americas,Panama,4289330
