Country,Year,activities_improve_health,activities_improve_health__num_responses,avoided_crowded_areas,avoided_crowded_areas__num_responses,avoided_going_out,avoided_going_out__num_responses,avoided_guests_at_home,avoided_guests_at_home__num_responses,avoided_healthcare_settings,avoided_healthcare_settings__num_responses,avoided_large_gatherings,avoided_large_gatherings__num_responses,avoided_medium_gatherings,avoided_medium_gatherings__num_responses,avoided_objects_public,avoided_objects_public__num_responses,avoided_people_with_symptoms,avoided_people_with_symptoms__num_responses,avoided_public_events,avoided_public_events__num_responses,avoided_public_transport,avoided_public_transport__num_responses,avoided_shops,avoided_shops__num_responses,avoided_small_gatherings,avoided_small_gatherings__num_responses,avoided_working_outside_home,avoided_working_outside_home__num_responses,children_avoided_school,children_avoided_school__num_responses,cleaned_surfaces_home,cleaned_surfaces_home__num_responses,covered_mouth_sneeze,covered_mouth_sneeze__num_responses,covid_dangerous_to_me,covid_dangerous_to_me__num_responses,covid_vaccine_important_health,covid_vaccine_important_health__num_responses,covid_vaccine_will_prevent_transmission,covid_vaccine_will_prevent_transmission__num_responses,covid_vaccine_will_protect_health,covid_vaccine_will_protect_health__num_responses,difficult_to_isolate,difficult_to_isolate__num_responses,eaten_separately,eaten_separately__num_responses,government_responded_well,government_responded_well__num_responses,govt_will_provide_effective_covid_vaccine,govt_will_provide_effective_covid_vaccine__num_responses,hand_sanitiser,hand_sanitiser__num_responses,handwashing_yesterday,handwashing_yesterday__num_responses,happier_two_weeks_ago,happier_two_weeks_ago__num_responses,household_members_contact,household_members_contact__num_responses,life_greatly_affected,life_greatly_affected__num_responses,likely_get_covid_future,likely_get_covid_future__num_responses,mask_at_home,mask_at_home__num_responses,mask_at_work,mask_at_work__num_responses,mask_clothing_store,mask_clothing_store__num_responses,mask_grocery_store,mask_grocery_store__num_responses,mask_not_possible,mask_not_possible__num_responses,mask_outside_home,mask_outside_home__num_responses,mask_protect_me,mask_protect_me__num_responses,mask_protect_others,mask_protect_others__num_responses,mask_public_transport,mask_public_transport__num_responses,people_contact_outside_household,people_contact_outside_household__num_responses,scared_contracting_covid,scared_contracting_covid__num_responses,slept_separate_bedrooms,slept_separate_bedrooms__num_responses,times_left_home_yesterday,times_left_home_yesterday__num_responses,trust_covid_vaccines,trust_covid_vaccines__num_responses,washed_hands,washed_hands__num_responses,willingness_covid_vaccinate_this_week,willingness_covid_vaccinate_this_week__num_responses,willingness_isolate_if_advised,willingness_isolate_if_advised__num_responses,willingness_isolate_if_symptoms,willingness_isolate_if_symptoms__num_responses,worried_covid_vaccine_side_effects,worried_covid_vaccine_side_effects__num_responses
Australia,100,,,89.8,4144.0,77.6,4144.0,87.2,4144.0,72.9,4144.0,92.7,4144.0,90.9,4144.0,81.0,4144.0,86.6,4144.0,,,83.3,4144.0,60.2,4144.0,85.7,4144.0,59.4,2221.0,79.1,1135.0,64.4,4144.0,91.8,4144.0,,,,,,,,,14.3,4057.0,35.3,4144.0,,,,,72.9,4144.0,11.5,4144.0,28.9,1138.0,2.0,4144.0,,,,,,,,,,,,,,,23.9,4144.0,,,,,,,8.2,4144.0,46.3,1109.0,31.2,4144.0,1.0,4144.0,,,93.2,4144.0,,,91.9,4063.0,85.8,3903.0,,
Australia,131,,,84.7,2870.0,67.9,2870.0,80.6,2870.0,66.3,2870.0,89.2,2870.0,84.3,2870.0,77.8,2870.0,82.2,2870.0,,,80.2,2870.0,53.8,2870.0,76.7,2870.0,54.6,1571.0,70.0,724.0,60.6,2870.0,90.3,2870.0,,,,,,,,,13.6,2802.0,30.7,2870.0,,,,,75.1,2870.0,10.3,2870.0,28.5,2808.0,2.3,2870.0,,,,,,,,,,,,,,,24.1,2870.0,,,,,,,8.0,2870.0,40.5,2729.0,27.7,2870.0,1.1,2870.0,,,90.3,2870.0,,,90.3,2804.0,83.0,2652.0,,
Australia,161,80.1,1009.0,75.7,3018.0,51.6,3018.0,61.8,3018.0,54.4,3018.0,76.1,3018.0,63.8,3018.0,71.9,3018.0,77.3,3018.0,,,70.4,3018.0,40.4,3018.0,54.5,3018.0,43.3,1691.0,40.9,872.0,57.4,3018.0,90.6,3018.0,49.2,1009.0,,,,,,,13.9,2942.0,26.4,3018.0,87.3,2922.0,,,77.0,3018.0,9.6,3018.0,31.7,2956.0,2.5,3018.0,46.1,1009.0,18.9,1009.0,6.4,1009.0,22.0,567.0,15.8,1009.0,16.9,1009.0,22.3,1009.0,22.2,3018.0,33.8,1009.0,51.8,1009.0,19.1,1009.0,14.3,3018.0,40.3,2853.0,26.5,3018.0,1.3,3018.0,,,89.6,3018.0,,,89.3,2934.0,80.8,2722.0,,
Australia,192,83.0,2011.0,77.5,2011.0,51.3,2011.0,60.2,2011.0,51.9,2011.0,76.4,2011.0,64.4,2011.0,71.8,2011.0,78.5,2011.0,,,69.9,2011.0,40.5,2011.0,53.0,2011.0,41.2,1125.0,39.4,596.0,57.9,2011.0,91.2,2011.0,55.7,2011.0,,,,,,,14.0,1980.0,24.3,2011.0,80.9,1949.0,,,81.2,2011.0,10.5,2011.0,18.3,1971.0,2.4,2011.0,49.2,2011.0,24.6,2011.0,8.1,2011.0,26.7,1125.0,20.5,2011.0,21.7,2011.0,20.6,2011.0,24.9,2011.0,52.5,2011.0,67.4,2011.0,24.3,2011.0,13.0,2011.0,47.2,1886.0,23.6,2011.0,1.4,2011.0,,,89.8,2011.0,,,90.5,1981.0,83.7,1882.0,,
Australia,223,80.6,2016.0,77.5,2016.0,55.7,2016.0,65.9,2016.0,54.4,2016.0,76.7,2016.0,67.3,2016.0,74.6,2016.0,77.0,2016.0,,,70.0,2016.0,44.1,2016.0,59.9,2016.0,42.1,1147.0,38.4,523.0,59.1,2016.0,92.8,2016.0,54.0,2016.0,,,,,,,13.8,1993.0,26.5,2016.0,80.1,1952.0,,,80.9,2016.0,10.2,2016.0,17.5,1977.0,2.5,2016.0,52.2,2016.0,20.7,2016.0,8.1,2016.0,41.8,1147.0,41.4,2016.0,46.9,2016.0,17.2,2016.0,49.5,2016.0,60.0,2016.0,72.4,2016.0,43.3,2016.0,14.4,2016.0,48.5,1915.0,25.5,2016.0,1.3,2016.0,,,90.5,2016.0,,,90.7,1993.0,84.2,1875.0,,
Australia,253,81.3,2010.0,72.5,2010.0,49.1,2010.0,59.2,2010.0,50.2,2010.0,72.6,2010.0,60.9,2010.0,71.0,2010.0,74.2,2010.0,74.3,2010.0,65.6,2010.0,37.8,2010.0,52.9,2010.0,40.9,1115.0,40.5,546.0,58.1,2010.0,90.2,2010.0,52.9,2010.0,,,,,,,15.7,992.0,23.7,2010.0,78.4,1924.0,,,78.8,2010.0,9.6,2010.0,,,2.1,2010.0,51.1,2010.0,19.6,2010.0,7.4,2010.0,40.3,1115.0,39.5,2010.0,46.0,2010.0,16.6,2010.0,48.1,2010.0,60.8,2010.0,70.7,2010.0,42.4,2010.0,15.5,2010.0,45.0,1897.0,22.1,2010.0,1.4,2010.0,,,90.0,2010.0,,,88.8,988.0,83.2,938.0,,
Australia,284,81.5,2662.0,68.7,2662.0,42.2,2662.0,53.4,2662.0,46.8,2662.0,66.9,2662.0,55.2,2662.0,66.6,2662.0,72.4,2662.0,70.2,2662.0,61.8,2662.0,31.0,2662.0,46.7,2662.0,30.0,1424.0,27.3,696.0,56.4,2662.0,92.1,2662.0,49.1,2662.0,,,,,,,14.7,2619.0,20.5,2662.0,80.9,2574.0,,,79.1,2662.0,10.0,2662.0,,,2.2,2662.0,43.8,2662.0,18.0,2662.0,4.7,2662.0,37.4,1424.0,35.3,2662.0,41.2,2662.0,15.7,2662.0,43.2,2662.0,57.0,2662.0,70.0,2662.0,38.5,2662.0,17.7,2662.0,,,20.4,2662.0,1.4,2662.0,,,89.9,2662.0,,,89.4,2610.0,81.0,2411.0,,
Australia,314,80.3,1344.0,66.6,1344.0,39.7,1344.0,50.5,1344.0,44.6,1344.0,63.3,1344.0,52.2,1344.0,66.7,1344.0,71.8,1344.0,68.5,1344.0,60.1,1344.0,28.6,1344.0,43.2,1344.0,40.9,831.0,,,54.7,1344.0,91.3,1344.0,47.6,1344.0,,,36.6,1001.0,40.8,1001.0,16.3,1315.0,24.9,1344.0,86.1,1305.0,60.1,1001.0,80.3,1344.0,9.0,1344.0,,,3.2,1344.0,45.7,1344.0,19.8,1344.0,9.2,1344.0,40.1,831.0,39.7,1344.0,43.1,1344.0,20.0,1344.0,45.2,1344.0,60.8,1344.0,70.6,1344.0,42.3,1344.0,19.9,1344.0,,,23.5,1344.0,1.5,1344.0,,,88.5,1344.0,54.5,1001.0,88.5,1317.0,78.5,1212.0,47.6,1001.0
Australia,345,82.0,1548.0,64.5,1548.0,37.9,1548.0,47.5,1548.0,48.1,1548.0,58.7,1548.0,47.4,1548.0,63.8,1002.0,73.3,1548.0,64.9,1548.0,61.6,1548.0,28.6,1548.0,39.9,1548.0,35.5,823.0,,,55.0,1002.0,89.7,1548.0,52.5,1548.0,74.9,546.0,30.9,1002.0,39.0,1002.0,16.6,1521.0,19.2,1002.0,82.7,1504.0,58.8,1548.0,78.8,1548.0,10.3,1548.0,,,2.3,1548.0,41.3,1548.0,19.4,1548.0,6.5,1002.0,32.1,823.0,36.7,1548.0,41.6,1548.0,17.7,1548.0,41.7,1548.0,60.5,1548.0,70.8,1548.0,39.5,1548.0,19.5,1548.0,,,22.0,1002.0,1.4,1548.0,68.3,546.0,89.9,1548.0,50.3,1548.0,89.4,1513.0,78.0,1403.0,48.2,1548.0
Australia,376,81.2,1885.0,67.6,1885.0,42.0,1885.0,52.5,1885.0,54.3,1885.0,65.5,1885.0,53.3,1885.0,,,77.3,1885.0,68.6,1885.0,63.9,1885.0,33.7,1885.0,45.8,1885.0,40.7,1138.0,32.4,509.0,,,90.5,1885.0,49.9,1885.0,,,,,,,16.1,1843.0,,,85.5,1787.0,56.3,1885.0,81.0,1885.0,10.8,1885.0,,,2.2,1885.0,43.7,1885.0,17.8,1885.0,,,40.7,1138.0,49.2,1885.0,55.8,1885.0,17.5,1885.0,53.7,1885.0,63.2,1885.0,72.6,1885.0,50.1,1885.0,20.5,1885.0,,,,,1.4,1885.0,62.1,1885.0,90.7,1885.0,48.3,1885.0,89.6,1835.0,80.2,1721.0,50.6,1885.0
Australia,404,82.3,2362.0,65.3,2362.0,38.5,2362.0,52.2,2362.0,49.3,2362.0,61.1,2362.0,50.0,2362.0,,,76.7,2362.0,64.9,2362.0,60.6,2362.0,29.6,2362.0,42.5,2362.0,33.1,1510.0,30.9,644.0,,,91.3,2362.0,46.7,2362.0,,,,,,,14.2,2316.0,,,82.9,2284.0,56.1,2362.0,79.3,2362.0,10.5,2362.0,,,2.1,2362.0,43.1,2362.0,20.6,2362.0,,,39.9,1510.0,45.0,2362.0,48.9,2362.0,,,50.7,2362.0,,,,,51.7,2362.0,24.2,2362.0,,,,,1.6,2362.0,65.3,2362.0,90.0,2362.0,53.0,2331.0,88.2,2312.0,80.9,2121.0,44.2,2362.0
Australia,435,81.2,1976.0,57.3,1976.0,32.5,1976.0,44.5,1976.0,44.1,1976.0,52.4,1976.0,41.8,1976.0,,,70.4,1976.0,55.1,1976.0,53.8,1976.0,24.5,1976.0,36.4,1976.0,27.5,1153.0,25.0,523.0,,,88.8,1976.0,44.6,1976.0,,,,,,,15.7,1934.0,,,82.1,1892.0,55.5,1976.0,76.3,1976.0,9.3,1976.0,,,2.5,1976.0,38.3,1976.0,19.7,1976.0,,,28.2,1153.0,32.0,1976.0,37.5,1976.0,,,39.6,1976.0,,,,,41.7,1976.0,24.2,1976.0,,,,,1.6,1976.0,64.6,1976.0,89.1,1976.0,52.1,1870.0,87.8,1929.0,80.9,1746.0,43.3,1976.0
Brazil,100,,,91.5,1105.0,82.6,1105.0,86.0,1105.0,88.1,1105.0,93.2,1105.0,90.8,1105.0,85.2,1105.0,91.8,1105.0,,,89.6,1105.0,87.4,1105.0,87.1,1105.0,78.5,792.0,86.1,700.0,75.2,1105.0,90.5,1105.0,,,,,,,,,22.7,1084.0,42.1,1105.0,,,,,84.6,1105.0,14.9,1105.0,,,2.7,1105.0,,,,,,,,,,,,,,,56.3,1105.0,,,,,,,6.9,1105.0,,,45.1,1105.0,1.1,1105.0,,,97.6,1105.0,,,88.7,1089.0,89.3,1067.0,,
Brazil,131,,,92.3,1686.0,83.6,1686.0,86.3,1686.0,87.5,1686.0,93.1,1686.0,90.6,1686.0,86.0,1686.0,91.6,1686.0,,,88.3,1686.0,86.1,1686.0,86.3,1686.0,74.8,1204.0,88.6,1066.0,80.1,1686.0,92.6,1686.0,,,,,,,,,24.5,1633.0,43.9,1686.0,,,,,92.2,1686.0,14.1,1686.0,28.8,1655.0,3.3,1685.0,,,,,,,,,,,,,,,93.7,1686.0,,,,,,,5.5,1686.0,81.4,1625.0,43.1,1686.0,1.1,1686.0,,,97.2,1686.0,,,90.2,1651.0,88.5,1621.0,,
Brazil,161,90.4,940.0,90.1,1441.0,78.7,1441.0,82.1,1441.0,85.7,1441.0,91.9,1441.0,86.6,1441.0,82.0,1441.0,92.6,1441.0,,,83.6,1441.0,81.5,1441.0,82.4,1441.0,59.3,747.0,82.0,816.0,72.9,1441.0,92.4,1441.0,75.5,940.0,,,,,,,25.9,1404.0,36.5,1441.0,42.2,1383.0,,,92.7,1441.0,17.8,1441.0,33.7,1411.0,3.3,1441.0,67.4,940.0,28.7,940.0,8.6,940.0,,,94.6,940.0,97.2,940.0,15.9,940.0,97.2,1441.0,81.4,940.0,87.0,940.0,91.8,940.0,9.5,1441.0,74.9,1348.0,39.3,1441.0,1.6,1441.0,,,97.1,1441.0,,,87.0,1418.0,89.5,1362.0,,
Brazil,192,90.2,2054.0,89.3,2054.0,75.2,2054.0,80.2,2054.0,84.4,2054.0,92.0,2054.0,86.2,2054.0,79.9,2054.0,91.1,2054.0,,,81.1,2054.0,77.2,2054.0,80.2,2054.0,57.8,1120.0,81.9,1113.0,72.3,2054.0,92.5,2054.0,72.5,2054.0,,,,,,,24.5,1999.0,34.0,2054.0,44.2,1972.0,,,91.8,2054.0,17.0,2054.0,36.2,2010.0,3.7,2054.0,60.5,2054.0,27.6,2054.0,10.0,2054.0,90.9,1120.0,93.8,2054.0,96.9,2054.0,17.2,2054.0,96.5,2054.0,81.5,2054.0,86.3,2054.0,92.6,2054.0,7.5,2054.0,75.4,1902.0,33.3,2054.0,2.0,2054.0,,,96.1,2054.0,,,82.6,2004.0,85.8,1933.0,,
Brazil,223,90.0,2011.0,89.6,2011.0,74.9,2011.0,77.8,2011.0,83.6,2011.0,89.4,2011.0,83.3,2011.0,80.0,2011.0,91.6,2011.0,,,79.5,2011.0,75.6,2011.0,77.7,2011.0,53.4,1115.0,82.8,1165.0,72.6,2011.0,94.3,2011.0,70.9,2011.0,,,,,,,26.0,1968.0,35.8,2011.0,46.9,1931.0,,,94.1,2011.0,19.2,2011.0,41.0,1982.0,3.6,2011.0,61.1,2011.0,27.9,2011.0,9.8,2011.0,89.4,1115.0,96.5,2011.0,98.2,2011.0,18.4,2011.0,96.4,2011.0,79.8,2011.0,85.5,2011.0,94.0,2011.0,9.0,2011.0,67.7,1857.0,36.0,2011.0,1.9,2011.0,,,96.7,2011.0,,,84.4,1963.0,84.9,1906.0,,
Brazil,253,92.3,2011.0,88.3,2011.0,71.1,2011.0,75.9,2011.0,80.3,2011.0,88.5,2011.0,81.1,2011.0,76.6,2011.0,89.4,2011.0,89.9,2011.0,78.1,2011.0,72.2,2011.0,74.5,2011.0,51.1,1248.0,80.8,1195.0,70.6,2011.0,93.4,2011.0,71.1,2011.0,,,,,,,24.1,978.0,34.6,2011.0,46.9,1947.0,,,94.1,2011.0,15.6,2010.0,,,3.5,2011.0,59.4,2011.0,28.1,2011.0,9.1,2011.0,90.5,1248.0,95.9,2011.0,97.7,2011.0,18.2,2011.0,96.6,2011.0,80.9,2011.0,86.3,2011.0,92.9,2011.0,10.8,2011.0,64.7,1809.0,33.5,2011.0,1.7,2011.0,,,96.3,2011.0,,,84.8,986.0,84.6,951.0,,
Canada,100,,,93.1,1847.0,78.3,1847.0,90.7,1847.0,83.9,1847.0,93.7,1847.0,90.7,1847.0,86.4,1847.0,89.8,1847.0,,,86.2,1847.0,78.1,1847.0,87.0,1847.0,65.8,781.0,83.2,638.0,72.3,1847.0,91.7,1847.0,,,,,,,,,14.8,1808.0,37.8,1847.0,,,,,71.4,1847.0,12.4,1847.0,18.8,824.0,2.4,1847.0,,,,,,,,,,,,,,,29.3,1847.0,,,,,,,5.1,1847.0,51.8,794.0,33.5,1847.0,0.9,1847.0,,,94.6,1847.0,,,92.5,1804.0,85.9,1753.0,,
Canada,131,,,89.9,1162.0,68.3,1162.0,84.8,1162.0,78.5,1162.0,91.4,1162.0,86.1,1162.0,82.5,1162.0,87.1,1162.0,,,82.9,1162.0,71.8,1162.0,78.6,1162.0,,,,,67.1,1162.0,90.4,1162.0,,,,,,,,,14.0,1131.0,36.7,1162.0,,,,,72.4,1162.0,12.2,1162.0,23.6,1125.0,3.2,1162.0,,,,,,,,,,,,,,,44.8,1162.0,,,,,,,6.9,1162.0,51.4,1093.0,29.3,1162.0,1.1,1162.0,,,92.4,1162.0,,,88.9,1131.0,82.2,1089.0,,
Canada,161,78.3,581.0,84.5,2583.0,59.0,2583.0,74.7,2583.0,72.9,2583.0,86.1,2583.0,74.4,2583.0,78.5,2583.0,84.0,2583.0,,,77.8,2583.0,60.6,2583.0,65.5,2583.0,45.3,1069.0,65.6,880.0,64.0,2583.0,90.4,2583.0,47.2,581.0,,,,,,,16.7,2505.0,32.9,2583.0,80.5,2461.0,,,76.7,2583.0,11.7,2581.0,27.1,2483.0,3.0,2583.0,51.1,581.0,20.3,581.0,3.3,581.0,,,44.6,581.0,50.1,581.0,21.9,581.0,53.7,2583.0,43.7,581.0,69.9,581.0,43.2,581.0,9.5,2583.0,45.7,2426.0,25.2,2583.0,1.4,2583.0,,,92.7,2583.0,,,88.4,2496.0,81.9,2360.0,,
