Country,Year,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
Alabama,11,78134.0,377025.0,70861.0,0.15,1.59,7270.0,1.44,7.69,,,,0.207
Alabama,12,84040.0,378975.0,74792.0,0.19,1.71,9245.0,1.52,7.73,5906.0,5906.0,1205.0,0.222
Alabama,13,92300.0,435350.0,80480.0,,1.88,,1.64,8.88,8260.0,7083.0,1445.0,0.212
Alabama,14,100567.0,444650.0,86956.0,0.27,2.05,13488.0,1.77,9.07,8267.0,7478.0,1525.0,0.226
Alabama,15,,,,,,,,,7557.0,7498.0,1529.0,
Alabama,16,,,,,,,,,7557.0,7509.0,1531.0,
Alabama,17,,,,,,,,,7557.0,7517.0,1533.0,
Alabama,18,130795.0,444650.0,114319.0,0.33,2.67,16346.0,2.33,9.07,7557.0,7523.0,1534.0,0.294
Alabama,19,139200.0,483275.0,121113.0,0.37,2.84,17956.0,2.47,9.86,8405.0,7880.0,1607.0,0.288
Alabama,20,165919.0,493125.0,144429.0,0.43,3.38,21345.0,2.95,10.06,26719.0,10517.0,2145.0,0.336
Alabama,21,199314.0,519525.0,174317.0,0.51,4.06,24840.0,3.56,10.6,33395.0,14107.0,2877.0,0.384
Alabama,22,221540.0,521225.0,193955.0,0.56,4.52,27422.0,3.96,10.63,22226.0,16202.0,3304.0,0.425
Alabama,23,243737.0,521225.0,213833.0,0.61,4.97,29736.0,4.36,10.63,22197.0,18294.0,3731.0,0.468
Alabama,24,250612.0,521225.0,220464.0,0.61,5.11,29978.0,4.5,10.63,6875.0,18196.0,3711.0,0.481
Alabama,25,254959.0,569000.0,223854.0,0.63,5.2,30933.0,4.57,11.6,4347.0,17738.0,3618.0,0.448
Alabama,26,266444.0,634000.0,232633.0,0.68,5.43,33595.0,4.74,12.93,11485.0,18178.0,3707.0,0.42
Alabama,27,278993.0,655275.0,241337.0,0.76,5.69,37431.0,4.92,13.36,12549.0,16153.0,3294.0,0.426
Alabama,28,300915.0,659400.0,256601.0,0.9,6.14,44073.0,5.23,13.45,21922.0,14514.0,2960.0,0.456
Alabama,29,342436.0,659400.0,288368.0,1.1,6.98,53742.0,5.88,13.45,41521.0,17271.0,3522.0,0.519
Alabama,30,353974.0,659400.0,298301.0,1.13,7.22,55331.0,6.08,13.45,11538.0,15748.0,3212.0,0.537
Alabama,31,358280.0,659400.0,301628.0,1.15,7.31,56308.0,6.15,13.45,4306.0,15381.0,3137.0,0.543
Alabama,32,371882.0,680550.0,312711.0,1.2,7.58,58825.0,6.38,13.88,13602.0,16703.0,3407.0,0.546
Alabama,33,388339.0,765150.0,324998.0,1.28,7.92,62990.0,6.63,15.6,16457.0,17414.0,3552.0,0.508
Alabama,34,408428.0,799675.0,338845.0,1.41,8.33,69155.0,6.91,16.31,20089.0,18491.0,3771.0,0.511
Alabama,35,430597.0,799875.0,353522.0,1.56,8.78,76603.0,7.21,16.31,22169.0,18526.0,3778.0,0.538
Alabama,36,455173.0,804100.0,370275.0,1.72,9.28,84278.0,7.55,16.4,24576.0,16105.0,3285.0,0.566
Alabama,37,462332.0,804100.0,375567.0,1.76,9.43,86141.0,7.66,16.4,7159.0,15480.0,3157.0,0.575
Alabama,38,467636.0,804100.0,378514.0,1.8,9.54,88453.0,7.72,16.4,5304.0,15622.0,3186.0,0.582
Alaska,11,35838.0,141600.0,22486.0,0.74,4.9,5400.0,3.07,19.36,,,,0.253
Alaska,12,38680.0,149475.0,24541.0,0.84,5.29,6166.0,3.36,20.43,2842.0,2842.0,3885.0,0.259
Alaska,13,42596.0,150450.0,35508.0,,5.82,,4.85,20.57,3916.0,3379.0,4619.0,0.283
Alaska,14,49039.0,150450.0,39546.0,1.29,6.7,9406.0,5.41,20.57,6443.0,4400.0,6015.0,0.326
Alaska,15,,,,,,,,,4323.0,4381.0,5989.0,
Alaska,16,,,,,,,,,4323.0,4369.0,5972.0,
Alaska,17,,,,,,,,,4323.0,4362.0,5963.0,
Alaska,18,66331.0,150450.0,55434.0,1.48,9.07,10802.0,7.58,20.57,4323.0,4356.0,5955.0,0.441
Alaska,19,68293.0,150350.0,56911.0,1.54,9.34,11283.0,7.78,20.55,1962.0,4230.0,5782.0,0.454
Alaska,20,71907.0,154325.0,59449.0,1.69,9.83,12352.0,8.13,21.1,3614.0,4187.0,5724.0,0.466
Alaska,21,81096.0,155500.0,67262.0,1.88,11.09,13718.0,9.2,21.26,9189.0,4580.0,6261.0,0.522
Alaska,22,88344.0,155700.0,73014.0,2.08,12.08,15206.0,9.98,21.28,7248.0,4997.0,6831.0,0.567
Alaska,23,94257.0,155700.0,77925.0,2.22,12.88,16201.0,10.65,21.28,5913.0,5225.0,7142.0,0.605
Alaska,24,97031.0,155700.0,80226.0,2.28,13.26,16673.0,10.97,21.28,2774.0,5003.0,6839.0,0.623
Alaska,25,98149.0,162925.0,81200.0,2.3,13.42,16815.0,11.1,22.27,1118.0,4545.0,6213.0,0.602
