Country,Year,confirmed_cases,hospital_flow,hospital_stock,icu_flow,icu_stock,confirmed_deaths
Spain,349,25.6,27.0,,26.4,,30.3
Spain,350,27.0,27.3,,25.7,,29.5
Spain,351,27.1,27.6,,25.7,,30.5
Spain,352,27.4,28.1,,25.0,,30.7
Spain,353,27.6,28.7,,26.3,,32.0
Spain,354,27.6,28.3,,26.8,,31.5
Spain,355,28.1,27.3,,26.6,,31.6
Spain,356,28.5,27.8,,26.7,,32.6
Spain,357,29.7,28.9,,28.1,,33.3
Spain,358,29.3,29.4,,30.6,,33.6
Spain,359,26.3,29.9,,31.8,,33.9
Spain,360,26.1,30.5,,32.7,,33.8
Spain,361,26.7,31.3,,32.3,,35.9
Spain,362,28.4,32.4,,33.5,,35.3
Spain,363,30.6,33.8,,34.3,,36.5
Spain,364,33.3,34.9,,34.5,,38.3
Spain,365,35.5,37.2,,34.2,,39.4
Spain,366,36.7,39.5,,36.3,,41.0
Spain,367,38.3,40.1,,38.1,,43.5
Spain,368,39.9,43.4,,40.0,,44.6
Spain,369,42.8,47.4,,43.0,,47.5
Spain,370,47.6,48.7,,46.5,,49.7
Spain,371,44.9,50.3,,48.5,,53.7
Spain,372,49.4,52.7,,51.8,,57.2
Spain,373,59.6,55.9,,54.8,,60.4
Spain,374,63.2,61.6,,58.7,,63.7
Spain,375,64.8,66.2,,63.7,,69.1
Spain,376,68.9,70.6,,67.7,,73.5
Spain,377,71.6,75.4,,71.5,,78.0
Spain,378,81.5,79.2,,75.7,,82.6
Spain,379,86.2,84.0,,78.1,,84.9
Spain,380,90.2,89.1,,83.5,,88.9
Spain,381,92.5,92.7,,86.8,,92.0
Spain,382,94.4,95.9,,90.8,,93.5
Spain,383,95.8,98.2,,94.6,,97.1
Spain,384,97.8,99.4,,97.9,,99.3
Spain,385,99.0,99.7,,99.5,,98.4
Spain,386,100.0,100.0,,100.0,,100.0
Spain,387,99.7,99.0,,100.0,,99.2
Spain,388,99.2,97.9,,99.2,,99.6
Spain,389,98.7,96.3,,98.3,,98.1
Spain,390,97.5,94.9,,96.1,,95.4
Spain,391,95.5,93.2,,94.8,,92.5
Spain,392,93.1,91.2,,93.4,,90.6
Spain,393,90.1,87.9,,92.9,,87.8
Spain,394,86.1,84.9,,90.4,,85.1
Spain,395,83.8,81.3,,88.8,,81.6
Spain,396,81.5,77.4,,86.5,,78.8
Spain,397,77.4,73.2,,83.7,,76.6
Spain,398,72.7,69.5,,80.6,,73.7
Spain,399,67.9,66.4,,76.6,,70.5
Spain,400,62.9,63.2,,73.1,,67.4
Spain,401,58.0,59.4,,69.7,,63.8
Spain,402,54.8,55.6,,66.2,,60.5
Spain,403,52.6,51.7,,61.0,,58.2
Spain,404,49.0,48.6,,57.7,,54.3
Spain,405,44.7,45.7,,52.9,,51.3
Spain,406,40.5,43.4,,49.9,,48.3
Spain,407,36.8,39.9,,47.1,,45.6
Spain,408,33.3,36.5,,43.1,,44.0
Spain,409,31.5,34.5,,40.0,,42.4
Spain,410,30.5,32.6,,38.7,,39.6
Spain,411,28.5,30.3,,36.3,,38.2
Spain,412,26.3,29.4,,34.8,,37.0
Spain,413,24.3,28.8,,33.9,,35.8
Spain,414,22.9,27.4,,34.0,,35.2
Spain,415,21.4,26.5,,33.3,,34.3
Spain,416,20.7,25.2,,31.4,,31.8
Spain,417,20.3,24.1,,29.9,,30.9
Spain,418,19.5,23.6,,28.4,,29.2
Spain,419,18.5,23.1,,28.1,,27.6
Spain,420,17.6,22.4,,28.1,,26.4
Spain,421,16.8,21.3,,27.3,,25.5
Spain,422,16.2,20.7,,25.6,,24.1
