date,location,vaccine,total_vaccinations
2020-12-27,Romania,Pfizer/BioNTech,965
2020-12-28,Romania,Pfizer/BioNTech,2066
2020-12-29,Romania,Pfizer/BioNTech,2778
2020-12-30,Romania,Pfizer/BioNTech,5666
2020-12-31,Romania,Pfizer/BioNTech,10289
2021-01-01,Romania,Pfizer/BioNTech,11656
2021-01-02,Romania,Pfizer/BioNTech,13242
2021-01-03,Romania,Pfizer/BioNTech,13596
2021-01-04,Romania,Pfizer/BioNTech,25508
2021-01-05,Romania,Pfizer/BioNTech,41609
2021-01-06,Romania,Pfizer/BioNTech,58554
2021-01-07,Romania,Pfizer/BioNTech,76400
2021-01-08,Romania,Pfizer/BioNTech,92706
2021-01-09,Romania,Pfizer/BioNTech,102301
2021-01-10,Romania,Pfizer/BioNTech,108294
2021-01-11,Romania,Pfizer/BioNTech,125190
2021-01-12,Romania,Pfizer/BioNTech,140447
2021-01-13,Romania,Pfizer/BioNTech,154268
2021-01-14,Romania,Pfizer/BioNTech,168089
2021-01-15,Romania,Pfizer/BioNTech,184146
2021-01-16,Romania,Pfizer/BioNTech,196567
2021-01-17,Romania,Pfizer/BioNTech,204662
2021-01-18,Romania,Pfizer/BioNTech,234899
2021-01-19,Romania,Pfizer/BioNTech,269706
2021-01-20,Romania,Pfizer/BioNTech,308044
2021-01-21,Romania,Pfizer/BioNTech,347756
2021-01-22,Romania,Pfizer/BioNTech,385596
2021-01-23,Romania,Pfizer/BioNTech,418545
2021-01-24,Romania,Pfizer/BioNTech,445945
2021-01-25,Romania,Pfizer/BioNTech,484291
2021-01-26,Romania,Pfizer/BioNTech,528038
2021-01-27,Romania,Pfizer/BioNTech,570364
2021-01-28,Romania,Pfizer/BioNTech,609056
2021-01-29,Romania,Pfizer/BioNTech,646660
2021-01-30,Romania,Pfizer/BioNTech,672056
2021-01-31,Romania,Pfizer/BioNTech,691075
2021-02-01,Romania,Pfizer/BioNTech,720844
2021-02-02,Romania,Pfizer/BioNTech,748392
2021-02-03,Romania,Pfizer/BioNTech,771862
2021-02-04,Romania,Pfizer/BioNTech,788012
2021-02-05,Romania,Pfizer/BioNTech,806268
2021-02-06,Romania,Pfizer/BioNTech,817385
2021-02-07,Romania,Pfizer/BioNTech,824956
2021-02-08,Romania,Pfizer/BioNTech,855554
2021-02-09,Romania,Pfizer/BioNTech,889416
2021-02-10,Romania,Pfizer/BioNTech,926179
2021-02-11,Romania,Pfizer/BioNTech,961312
2021-02-12,Romania,Pfizer/BioNTech,997068
2021-02-13,Romania,Pfizer/BioNTech,1028900
2021-02-14,Romania,Pfizer/BioNTech,1055753
2021-02-15,Romania,Pfizer/BioNTech,1083043
2021-02-16,Romania,Pfizer/BioNTech,1111098
2021-02-17,Romania,Pfizer/BioNTech,1139713
2021-02-18,Romania,Pfizer/BioNTech,1168247
2021-02-19,Romania,Pfizer/BioNTech,1196266
2021-02-20,Romania,Pfizer/BioNTech,1219748
2021-02-21,Romania,Pfizer/BioNTech,1239270
2021-02-22,Romania,Pfizer/BioNTech,1259204
2021-02-23,Romania,Pfizer/BioNTech,1278866
2021-02-24,Romania,Pfizer/BioNTech,1297346
2021-02-25,Romania,Pfizer/BioNTech,1307417
2021-02-26,Romania,Pfizer/BioNTech,1315258
2021-02-27,Romania,Pfizer/BioNTech,1320991
2021-02-28,Romania,Pfizer/BioNTech,1324066
2021-03-01,Romania,Pfizer/BioNTech,1347000
2021-03-02,Romania,Pfizer/BioNTech,1375693
2021-03-03,Romania,Pfizer/BioNTech,1405699
2021-03-04,Romania,Pfizer/BioNTech,1434988
2021-03-05,Romania,Pfizer/BioNTech,1466214
2021-03-06,Romania,Pfizer/BioNTech,1499132
2021-03-07,Romania,Pfizer/BioNTech,1530123
2021-03-08,Romania,Pfizer/BioNTech,1562623
2021-03-09,Romania,Pfizer/BioNTech,1598547
2021-03-10,Romania,Pfizer/BioNTech,1638693
2021-03-11,Romania,Pfizer/BioNTech,1678903
2021-03-12,Romania,Pfizer/BioNTech,1718894
2021-03-13,Romania,Pfizer/BioNTech,1758375
2021-03-14,Romania,Pfizer/BioNTech,1792723
2021-03-15,Romania,Pfizer/BioNTech,1828437
2021-03-16,Romania,Pfizer/BioNTech,1869226
2021-03-17,Romania,Pfizer/BioNTech,1907900
2020-12-27,Romania,Moderna,0
2020-12-28,Romania,Moderna,0
2020-12-29,Romania,Moderna,0
2020-12-30,Romania,Moderna,0
2020-12-31,Romania,Moderna,0
2021-01-01,Romania,Moderna,0
2021-01-02,Romania,Moderna,0
2021-01-03,Romania,Moderna,0
2021-01-04,Romania,Moderna,0
