Entity,Code,Date,"Excess mortality P-scores, all ages"
Austria,AUT,2020-01-05,-11
Austria,AUT,2020-01-12,-8
Austria,AUT,2020-01-19,1
Austria,AUT,2020-01-26,2
Austria,AUT,2020-02-02,7
Austria,AUT,2020-02-09,-9
Austria,AUT,2020-02-16,-5
Austria,AUT,2020-02-23,-6
Austria,AUT,2020-03-01,-3
Austria,AUT,2020-03-08,-1
Austria,AUT,2020-03-15,0
Austria,AUT,2020-03-22,15
Austria,AUT,2020-03-29,7
Austria,AUT,2020-04-05,15
Austria,AUT,2020-04-12,16
Austria,AUT,2020-04-19,12
Austria,AUT,2020-04-26,8
Austria,AUT,2020-05-03,1
Austria,AUT,2020-05-10,6
Austria,AUT,2020-05-17,2
Austria,AUT,2020-05-24,4
Austria,AUT,2020-05-31,0
Austria,AUT,2020-06-07,5
Austria,AUT,2020-06-14,1
Austria,AUT,2020-06-21,0
Austria,AUT,2020-06-28,3
Austria,AUT,2020-07-05,9
Austria,AUT,2020-07-12,0
Austria,AUT,2020-07-19,-2
Austria,AUT,2020-07-26,-2
Austria,AUT,2020-08-02,1
Austria,AUT,2020-08-09,0
Austria,AUT,2020-08-16,10
Austria,AUT,2020-08-23,3
Austria,AUT,2020-08-30,5
Austria,AUT,2020-09-06,10
Austria,AUT,2020-09-13,9
Austria,AUT,2020-09-20,9
Austria,AUT,2020-09-27,5
Belgium,BEL,2020-01-05,-7
Belgium,BEL,2020-01-12,-2
Belgium,BEL,2020-01-19,-5
Belgium,BEL,2020-01-26,-9
Belgium,BEL,2020-02-02,-6
Belgium,BEL,2020-02-09,-13
Belgium,BEL,2020-02-16,-9
Belgium,BEL,2020-02-23,-8
Belgium,BEL,2020-03-01,-12
Belgium,BEL,2020-03-08,-10
Belgium,BEL,2020-03-15,-5
Belgium,BEL,2020-03-22,10
Belgium,BEL,2020-03-29,43
Belgium,BEL,2020-04-05,90
Belgium,BEL,2020-04-12,104
Belgium,BEL,2020-04-19,80
Belgium,BEL,2020-04-26,49
Belgium,BEL,2020-05-03,20
Belgium,BEL,2020-05-10,17
Belgium,BEL,2020-05-17,3
Belgium,BEL,2020-05-24,5
Belgium,BEL,2020-05-31,2
Belgium,BEL,2020-06-07,-5
Belgium,BEL,2020-06-14,2
Belgium,BEL,2020-06-21,-6
Belgium,BEL,2020-06-28,3
Belgium,BEL,2020-07-05,-13
Belgium,BEL,2020-07-12,-10
Belgium,BEL,2020-07-19,-4
Belgium,BEL,2020-07-26,-10
Belgium,BEL,2020-08-02,3
Belgium,BEL,2020-08-09,8
Belgium,BEL,2020-08-16,54
Belgium,BEL,2020-08-23,15
Belgium,BEL,2020-08-30,-3
Belgium,BEL,2020-09-06,1
Belgium,BEL,2020-09-13,-4
Belgium,BEL,2020-09-20,4
Bulgaria,BGR,2020-01-05,-19
Bulgaria,BGR,2020-01-12,-12
Bulgaria,BGR,2020-01-19,-14
Bulgaria,BGR,2020-01-26,-5
Bulgaria,BGR,2020-02-02,-1
Bulgaria,BGR,2020-02-09,1
Bulgaria,BGR,2020-02-16,0
Bulgaria,BGR,2020-02-23,-6
Bulgaria,BGR,2020-03-01,-4
Bulgaria,BGR,2020-03-08,-10
Bulgaria,BGR,2020-03-15,-6
Bulgaria,BGR,2020-03-22,-6
Bulgaria,BGR,2020-03-29,-3
Bulgaria,BGR,2020-04-05,-5
Bulgaria,BGR,2020-04-12,-3
Bulgaria,BGR,2020-04-19,-3
Bulgaria,BGR,2020-04-26,-4
Bulgaria,BGR,2020-05-03,-6
Bulgaria,BGR,2020-05-10,-6
Bulgaria,BGR,2020-05-17,6
Bulgaria,BGR,2020-05-24,-4
Bulgaria,BGR,2020-05-31,-8
Bulgaria,BGR,2020-06-07,-1
Bulgaria,BGR,2020-06-14,0
Bulgaria,BGR,2020-06-21,-2
Bulgaria,BGR,2020-06-28,-3
Bulgaria,BGR,2020-07-05,12
Bulgaria,BGR,2020-07-12,5
Bulgaria,BGR,2020-07-19,-2
Bulgaria,BGR,2020-07-26,0
Bulgaria,BGR,2020-08-02,9
Bulgaria,BGR,2020-08-09,6
Bulgaria,BGR,2020-08-16,5
Bulgaria,BGR,2020-08-23,3
Bulgaria,BGR,2020-08-30,5
Bulgaria,BGR,2020-09-06,6
Bulgaria,BGR,2020-09-13,4
Bulgaria,BGR,2020-09-20,1
Bulgaria,BGR,2020-09-27,0
Croatia,HRV,2020-01-05,-16
Croatia,HRV,2020-01-12,-17
Croatia,HRV,2020-01-19,-18
Croatia,HRV,2020-01-26,-10
Croatia,HRV,2020-02-02,-9
Croatia,HRV,2020-02-09,-5
Croatia,HRV,2020-02-16,-7
Croatia,HRV,2020-02-23,-5
Croatia,HRV,2020-03-01,-10
Croatia,HRV,2020-03-08,-8
Croatia,HRV,2020-03-15,0
Croatia,HRV,2020-03-22,2
Croatia,HRV,2020-03-29,8
Croatia,HRV,2020-04-05,-3
Croatia,HRV,2020-04-12,1
Croatia,HRV,2020-04-19,1
Croatia,HRV,2020-04-26,-13
Croatia,HRV,2020-05-03,-5
Croatia,HRV,2020-05-10,-10
Croatia,HRV,2020-05-17,-2
Croatia,HRV,2020-05-24,-6
Croatia,HRV,2020-05-31,-5
Croatia,HRV,2020-06-07,-3
Croatia,HRV,2020-06-14,5
Croatia,HRV,2020-06-21,-3
Croatia,HRV,2020-06-28,-1
Croatia,HRV,2020-07-05,4
Croatia,HRV,2020-07-12,-4
Croatia,HRV,2020-07-19,-8
Croatia,HRV,2020-07-26,-4
Czech Republic,CZE,2020-01-05,-3
Czech Republic,CZE,2020-01-12,-1
Czech Republic,CZE,2020-01-19,-6
Czech Republic,CZE,2020-01-26,-2
Czech Republic,CZE,2020-02-02,-2
Czech Republic,CZE,2020-02-09,-5
Czech Republic,CZE,2020-02-16,-5
Czech Republic,CZE,2020-02-23,-6
Czech Republic,CZE,2020-03-01,-5
Czech Republic,CZE,2020-03-08,-5
Czech Republic,CZE,2020-03-15,-2
Czech Republic,CZE,2020-03-22,2
Czech Republic,CZE,2020-03-29,4
Czech Republic,CZE,2020-04-05,7
Czech Republic,CZE,2020-04-12,6
Czech Republic,CZE,2020-04-19,2
Czech Republic,CZE,2020-04-26,-4
Czech Republic,CZE,2020-05-03,4
Czech Republic,CZE,2020-05-10,-2
Czech Republic,CZE,2020-05-17,2
Czech Republic,CZE,2020-05-24,-4
Czech Republic,CZE,2020-05-31,-6
Czech Republic,CZE,2020-06-07,9
Czech Republic,CZE,2020-06-14,1
Czech Republic,CZE,2020-06-21,4
Czech Republic,CZE,2020-06-28,5
Czech Republic,CZE,2020-07-05,6
Czech Republic,CZE,2020-07-12,0
Czech Republic,CZE,2020-07-19,-1
Czech Republic,CZE,2020-07-26,2
Czech Republic,CZE,2020-08-02,8
Czech Republic,CZE,2020-08-09,5
Czech Republic,CZE,2020-08-16,2
Denmark,DNK,2020-01-05,0
Denmark,DNK,2020-01-12,3
Denmark,DNK,2020-01-19,-3
Denmark,DNK,2020-01-26,-7
Denmark,DNK,2020-02-02,-5
Denmark,DNK,2020-02-09,-5
Denmark,DNK,2020-02-16,-9
Denmark,DNK,2020-02-23,-10
Denmark,DNK,2020-03-01,-14
Denmark,DNK,2020-03-08,-9
Denmark,DNK,2020-03-15,-8
Denmark,DNK,2020-03-22,1
Denmark,DNK,2020-03-29,2
Denmark,DNK,2020-04-05,9
Denmark,DNK,2020-04-12,7
