location,iso_code,year,male_smokers
Albania,ALB,2016,51.2
Algeria,DZA,2016,30.4
Andorra,AND,2016,37.8
Arab World,"",2016,39.565
Argentina,ARG,2016,27.7
Armenia,ARM,2016,52.1
Australia,AUS,2016,16.5
Austria,AUT,2016,30.9
Azerbaijan,AZE,2016,42.5
Bahamas,BHS,2016,20.4
Bahrain,BHR,2016,37.6
Bangladesh,BGD,2016,44.7
Barbados,BRB,2016,14.5
Belarus,BLR,2016,46.1
Belgium,BEL,2016,31.4
Benin,BEN,2016,12.3
Bosnia and Herzegovina,BIH,2016,47.7
Botswana,BWA,2016,34.4
Brazil,BRA,2016,17.9
Brunei,BRN,2016,30.9
Bulgaria,BGR,2016,44.4
Burkina Faso,BFA,2016,23.9
Cambodia,KHM,2016,33.7
Canada,CAN,2016,16.6
Cape Verde,CPV,2016,16.5
Central Europe and the Baltics,"",2016,36.196
Chile,CHL,2016,41.5
China,CHN,2016,48.4
Colombia,COL,2016,13.5
Comoros,COM,2016,23.6
Congo,COG,2016,52.3
Costa Rica,CRI,2016,17.4
Croatia,HRV,2016,39.9
Cuba,CUB,2016,53.3
Cyprus,CYP,2016,52.7
Czechia,CZE,2016,38.3
Denmark,DNK,2016,18.8
Djibouti,DJI,2016,24.5
Dominican Republic,DOM,2016,19.1
Early-demographic dividend,"",2016,30.833
East Asia & Pacific,"",2016,48.984
East Asia & Pacific (IDA & IBRD),"",2016,50.493
East Asia & Pacific (excluding high income),"",2016,50.493
Ecuador,ECU,2016,12.3
Egypt,EGY,2016,50.1
El Salvador,SLV,2016,18.8
Eritrea,ERI,2016,11.4
Estonia,EST,2016,39.3
Ethiopia,ETH,2016,8.5
Euro area,"",2016,32.5
Europe & Central Asia,"",2016,38.387
Europe & Central Asia (IDA & IBRD),"",2016,46.015
Europe & Central Asia (excluding high income),"",2016,47.369
European Union,"",2016,31.738
Fiji,FJI,2016,34.8
Finland,FIN,2016,22.6
France,FRA,2016,35.6
Gambia,GMB,2016,31.2
Georgia,GEO,2016,55.5
Germany,DEU,2016,33.1
Ghana,GHA,2016,7.7
Greece,GRC,2016,52
Haiti,HTI,2016,23.1
High income,"",2016,29.112
Hungary,HUN,2016,34.8
IBRD only,"",2016,37.558
IDA & IBRD total,"",2016,35.693
IDA blend,"",2016,25.763
IDA only,"",2016,28.6
IDA total,"",2016,27.441
Iceland,ISL,2016,15.2
India,IND,2016,20.6
Indonesia,IDN,2016,76.1
Iran,IRN,2016,21.1
Ireland,IRL,2016,25.7
Israel,ISR,2016,35.4
Italy,ITA,2016,27.8
Jamaica,JAM,2016,28.6
Japan,JPN,2016,33.7
Kazakhstan,KAZ,2016,43.1
Kenya,KEN,2016,20.4
Kiribati,KIR,2016,58.9
Kuwait,KWT,2016,37
Kyrgyzstan,KGZ,2016,50.5
Laos,LAO,2016,51.2
Late-demographic dividend,"",2016,44.039
Latin America & Caribbean,"",2016,20.79
Latin America & Caribbean (IDA & IBRD),"",2016,20.029
Latin America & Caribbean (excluding high income),"",2016,19.425
Latvia,LVA,2016,51
Least developed countries: UN classification,"",2016,29.284
Lebanon,LBN,2016,40.7
Lesotho,LSO,2016,53.9
Liberia,LBR,2016,18.1
Lithuania,LTU,2016,38
Low & middle income,"",2016,35.812
Lower middle income,"",2016,32.256
Luxembourg,LUX,2016,26
Malawi,MWI,2016,24.7
Malaysia,MYS,2016,42.4
Maldives,MDV,2016,55
Mali,MLI,2016,23
Malta,MLT,2016,30.2
Mauritius,MUS,2016,40.7
Mexico,MEX,2016,21.4
Middle East & North Africa,"",2016,35.321
Middle East & North Africa (IDA & IBRD),"",2016,37.169
Middle East & North Africa (excluding high income),"",2016,37.169
Middle income,"",2016,36.825
Moldova,MDA,2016,44.6
Mongolia,MNG,2016,46.5
