location,iso_code,year,population_density
Afghanistan,AFG,2017,54.422
Albania,ALB,2017,104.871
Algeria,DZA,2017,17.348
American Samoa,ASM,2017,278.205
Andorra,AND,2017,163.755
Angola,AGO,2017,23.89
Antigua and Barbuda,ATG,2017,231.845
Arab World,"",2017,30.429
Argentina,ARG,2017,16.177
Armenia,ARM,2017,102.931
Aruba,ABW,2017,584.8
Australia,AUS,2017,3.202
Austria,AUT,2017,106.749
Azerbaijan,AZE,2017,119.309
Bahamas,BHS,2017,39.497
Bahrain,BHR,2017,1935.907
Bangladesh,BGD,2017,1265.036
Barbados,BRB,2017,664.463
Belarus,BLR,2017,46.858
Belgium,BEL,2017,375.564
Belize,BLZ,2017,16.426
Benin,BEN,2017,99.11
Bermuda,BMU,2017,1308.82
Bhutan,BTN,2017,21.188
Bolivia,BOL,2017,10.202
Bosnia and Herzegovina,BIH,2017,68.496
Botswana,BWA,2017,4.044
Brazil,BRA,2017,25.04
British Virgin Islands,VGB,2017,207.973
Brunei,BRN,2017,81.347
Bulgaria,BGR,2017,65.18
Burkina Faso,BFA,2017,70.151
Burundi,BDI,2017,423.062
Cambodia,KHM,2017,90.672
Cameroon,CMR,2017,50.885
Canada,CAN,2017,4.037
Cape Verde,CPV,2017,135.58
Caribbean small states,"",2017,17.993
Cayman Islands,CYM,2017,256.496
Central African Republic,CAF,2017,7.479
Central Europe and the Baltics,"",2017,93.052
Chad,TCD,2017,11.833
Channel Islands,OWID_CIS,2017,870.074
Chile,CHL,2017,24.282
China,CHN,2017,147.674
Colombia,COL,2017,44.223
Comoros,COM,2017,437.352
Congo,COG,2017,15.405
Costa Rica,CRI,2017,96.079
Cote d'Ivoire,CIV,2017,76.399
Croatia,HRV,2017,73.726
Cuba,CUB,2017,110.408
Curacao,CUW,2017,362.644
Cyprus,CYP,2017,127.657
Czechia,CZE,2017,137.176
Democratic Republic of Congo,COD,2017,35.879
Denmark,DNK,2017,136.52
Djibouti,DJI,2017,41.285
Dominica,DMA,2017,98.567
Dominican Republic,DOM,2017,222.873
Early-demographic dividend,"",2017,97.06
East Asia & Pacific,"",2017,94.902
East Asia & Pacific (IDA & IBRD),"",2017,129.345
East Asia & Pacific (excluding high income),"",2017,129.972
Ecuador,ECU,2017,66.939
Egypt,EGY,2017,97.999
El Salvador,SLV,2017,307.811
Equatorial Guinea,GNQ,2017,45.194
Estonia,EST,2017,31.033
Ethiopia,ETH,2017,104.957
Euro area,"",2017,127.499
Europe & Central Asia,"",2017,33.366
Europe & Central Asia (IDA & IBRD),"",2017,19.911
Europe & Central Asia (excluding high income),"",2017,18.369
European Union,"",2017,120.914
Faeroe Islands,FRO,2017,35.308
Fiji,FJI,2017,49.562
Finland,FIN,2017,18.136
Fragile and conflict affected situations,"",2017,33.4
France,FRA,2017,122.578
French Polynesia,PYF,2017,77.324
Gabon,GAB,2017,7.859
Gambia,GMB,2017,207.566
Georgia,GEO,2017,65.032
Germany,DEU,2017,237.016
Ghana,GHA,2017,126.719
Gibraltar,GIB,2017,3457.1
Greece,GRC,2017,83.479
Greenland,GRL,2017,0.137
Grenada,GRD,2017,317.132
Guam,GUM,2017,304.128
Guatemala,GTM,2017,157.834
Guinea,GIN,2017,51.755
Guinea-Bissau,GNB,2017,66.191
Guyana,GUY,2017,3.952
Haiti,HTI,2017,398.448
Heavily indebted poor countries (HIPC),"",2017,38.73
High income,"",2017,32.97
