location,iso_code,year,diabetes_prevalence
Afghanistan,AFG,2017,9.59
Albania,ALB,2017,10.08
Algeria,DZA,2017,6.73
Andorra,AND,2017,7.97
Angola,AGO,2017,3.94
Antigua and Barbuda,ATG,2017,13.17
Arab World,"",2017,12.077
Argentina,ARG,2017,5.5
Armenia,ARM,2017,7.11
Aruba,ABW,2017,11.62
Australia,AUS,2017,5.07
Austria,AUT,2017,6.35
Azerbaijan,AZE,2017,7.11
Bahamas,BHS,2017,13.17
Bahrain,BHR,2017,16.52
Bangladesh,BGD,2017,8.38
Barbados,BRB,2017,13.57
Belarus,BLR,2017,5.18
Belgium,BEL,2017,4.29
Belize,BLZ,2017,17.11
Benin,BEN,2017,0.99
Bermuda,BMU,2017,13
Bhutan,BTN,2017,9.75
Bolivia,BOL,2017,6.89
Bosnia and Herzegovina,BIH,2017,10.08
Botswana,BWA,2017,4.81
Brazil,BRA,2017,8.11
British Virgin Islands,VGB,2017,13.67
Brunei,BRN,2017,12.79
Bulgaria,BGR,2017,5.81
Burkina Faso,BFA,2017,2.42
Burundi,BDI,2017,6.05
Cambodia,KHM,2017,4
Cameroon,CMR,2017,7.2
Canada,CAN,2017,7.37
Cape Verde,CPV,2017,2.42
Caribbean small states,"",2017,11.86
Cayman Islands,CYM,2017,13.22
Central African Republic,CAF,2017,6.1
Central Europe and the Baltics,"",2017,6.863
Chad,TCD,2017,6.1
Channel Islands,OWID_CIS,2017,4.28
Chile,CHL,2017,8.46
China,CHN,2017,9.74
Colombia,COL,2017,7.44
Comoros,COM,2017,11.88
Congo,COG,2017,7.2
Costa Rica,CRI,2017,8.78
Cote d'Ivoire,CIV,2017,2.42
Croatia,HRV,2017,5.59
Cuba,CUB,2017,8.27
Curacao,CUW,2017,11.62
Cyprus,CYP,2017,9.24
Czechia,CZE,2017,6.82
Democratic Republic of Congo,COD,2017,6.1
Denmark,DNK,2017,6.41
Djibouti,DJI,2017,6.05
Dominica,DMA,2017,11.62
Dominican Republic,DOM,2017,8.2
Early-demographic dividend,"",2017,9.326
East Asia & Pacific,"",2017,8.572
East Asia & Pacific (IDA & IBRD),"",2017,8.902
East Asia & Pacific (excluding high income),"",2017,8.841
Ecuador,ECU,2017,5.55
Egypt,EGY,2017,17.31
El Salvador,SLV,2017,8.87
Equatorial Guinea,GNQ,2017,7.78
Eritrea,ERI,2017,6.05
Estonia,EST,2017,4.02
Ethiopia,ETH,2017,7.47
Euro area,"",2017,6.238
Europe & Central Asia,"",2017,6.8
Europe & Central Asia (IDA & IBRD),"",2017,7.705
Europe & Central Asia (excluding high income),"",2017,7.905
European Union,"",2017,6.102
Fiji,FJI,2017,14.49
Finland,FIN,2017,5.76
Fragile and conflict affected situations,"",2017,7.076
France,FRA,2017,4.77
French Polynesia,PYF,2017,22.63
Gabon,GAB,2017,7.2
Gambia,GMB,2017,1.91
Georgia,GEO,2017,7.11
Germany,DEU,2017,8.31
Ghana,GHA,2017,4.97
Greece,GRC,2017,4.55
Greenland,GRL,2017,2.16
Grenada,GRD,2017,10.71
Guam,GUM,2017,21.52
Guatemala,GTM,2017,10.18
Guinea,GIN,2017,2.42
Guinea-Bissau,GNB,2017,2.42
Guyana,GUY,2017,11.62
Haiti,HTI,2017,6.65
Heavily indebted poor countries (HIPC),"",2017,5.87
High income,"",2017,7.854
Honduras,HND,2017,7.21
Hong Kong,HKG,2017,8.33
Hungary,HUN,2017,7.55
IBRD only,"",2017,9.319
IDA & IBRD total,"",2017,8.634
IDA blend,"",2017,5.704
IDA only,"",2017,6.313
IDA total,"",2017,6.11
Iceland,ISL,2017,5.31
India,IND,2017,10.39
Indonesia,IDN,2017,6.32
Iran,IRN,2017,9.59
Iraq,IRQ,2017,8.83
Ireland,IRL,2017,3.28
Israel,ISR,2017,6.74
Italy,ITA,2017,4.78
Jamaica,JAM,2017,11.28
Japan,JPN,2017,5.72
Jordan,JOR,2017,11.75
