Country,Year,Income group
Afghanistan,2020,Low income
Albania,2020,Upper middle income
Algeria,2020,Upper middle income
American Samoa,2020,Upper middle income
Andorra,2020,High income
Angola,2020,Lower middle income
Antigua and Barbuda,2020,High income
Argentina,2020,Upper middle income
Armenia,2020,Upper middle income
Aruba,2020,High income
Australia,2020,High income
Austria,2020,High income
Azerbaijan,2020,Upper middle income
Bahamas,2020,High income
Bahrain,2020,High income
Bangladesh,2020,Lower middle income
Barbados,2020,High income
Belarus,2020,Upper middle income
Belgium,2020,High income
Belize,2020,Upper middle income
Benin,2020,Low income
Bermuda,2020,High income
Bhutan,2020,Lower middle income
Bolivia,2020,Lower middle income
Bosnia and Herzegovina,2020,Upper middle income
Botswana,2020,Upper middle income
Brazil,2020,Upper middle income
British Virgin Islands,2020,High income
Brunei,2020,High income
Bulgaria,2020,Upper middle income
Burkina Faso,2020,Low income
Burundi,2020,Low income
Cape Verde,2020,Lower middle income
Cambodia,2020,Lower middle income
Cameroon,2020,Lower middle income
Canada,2020,High income
Cayman Islands,2020,High income
Central African Republic,2020,Low income
Chad,2020,Low income
Channel Islands,2020,High income
Chile,2020,High income
China,2020,Upper middle income
Colombia,2020,Upper middle income
Comoros,2020,Lower middle income
Democratic Republic of Congo,2020,Low income
Congo,2020,Lower middle income
Costa Rica,2020,Upper middle income
Cote d'Ivoire,2020,Lower middle income
Croatia,2020,High income
Cuba,2020,Upper middle income
Curacao,2020,High income
Cyprus,2020,High income
Czechia,2020,High income
Denmark,2020,High income
Djibouti,2020,Lower middle income
Dominica,2020,Upper middle income
Dominican Republic,2020,Upper middle income
Ecuador,2020,Upper middle income
Egypt,2020,Lower middle income
El Salvador,2020,Lower middle income
Equatorial Guinea,2020,Upper middle income
Eritrea,2020,Low income
Estonia,2020,High income
Eswatini,2020,Lower middle income
Ethiopia,2020,Low income
Faroe Islands,2020,High income
Fiji,2020,Upper middle income
Finland,2020,High income
France,2020,High income
French Polynesia,2020,High income
Gabon,2020,Upper middle income
Gambia,2020,Low income
