location,iso_code,year,aged_65_older
Afghanistan,AFG,2017,2.581
Albania,ALB,2017,13.188
Algeria,DZA,2017,6.211
Angola,AGO,2017,2.405
Antigua and Barbuda,ATG,2017,6.933
Arab World,"",2017,4.489
Argentina,ARG,2017,11.198
Armenia,ARM,2017,11.232
Aruba,ABW,2017,13.085
Australia,AUS,2017,15.504
Austria,AUT,2017,19.202
Azerbaijan,AZE,2017,6.018
Bahamas,BHS,2017,8.996
Bahrain,BHR,2017,2.372
Bangladesh,BGD,2017,5.098
Barbados,BRB,2017,14.952
Belarus,BLR,2017,14.799
Belgium,BEL,2017,18.571
Belize,BLZ,2017,3.853
Benin,BEN,2017,3.244
Bhutan,BTN,2017,4.885
Bolivia,BOL,2017,6.704
Bosnia and Herzegovina,BIH,2017,16.569
Botswana,BWA,2017,3.941
Brazil,BRA,2017,8.552
Brunei,BRN,2017,4.591
Bulgaria,BGR,2017,20.801
Burkina Faso,BFA,2017,2.409
Burundi,BDI,2017,2.562
Cambodia,KHM,2017,4.412
Cameroon,CMR,2017,3.165
Canada,CAN,2017,16.984
Cape Verde,CPV,2017,4.46
Caribbean small states,"",2017,8.817
Central African Republic,CAF,2017,3.655
Central Europe and the Baltics,"",2017,17.883
Chad,TCD,2017,2.486
Channel Islands,OWID_CIS,2017,18.014
Chile,CHL,2017,11.087
China,CHN,2017,10.641
Colombia,COL,2017,7.646
Comoros,COM,2017,2.963
Congo,COG,2017,3.402
Costa Rica,CRI,2017,9.468
Cote d'Ivoire,CIV,2017,2.933
Croatia,HRV,2017,19.724
Cuba,CUB,2017,14.738
Curacao,CUW,2017,16.367
Cyprus,CYP,2017,13.416
Czechia,CZE,2017,19.027
Democratic Republic of Congo,COD,2017,3.02
Denmark,DNK,2017,19.677
Djibouti,DJI,2017,4.213
Dominican Republic,DOM,2017,6.981
Early-demographic dividend,"",2017,5.64
East Asia & Pacific,"",2017,10.44
East Asia & Pacific (IDA & IBRD),"",2017,9.2
East Asia & Pacific (excluding high income),"",2017,9.204
Ecuador,ECU,2017,7.104
Egypt,EGY,2017,5.159
El Salvador,SLV,2017,8.273
Equatorial Guinea,GNQ,2017,2.846
Estonia,EST,2017,19.452
Ethiopia,ETH,2017,3.526
Euro area,"",2017,20.488
Europe & Central Asia,"",2017,16.157
Europe & Central Asia (IDA & IBRD),"",2017,12.276
Europe & Central Asia (excluding high income),"",2017,11.79
European Union,"",2017,19.77
Fiji,FJI,2017,6.224
Finland,FIN,2017,21.228
Fragile and conflict affected situations,"",2017,3.475
France,FRA,2017,19.718
French Polynesia,PYF,2017,7.775
Gabon,GAB,2017,4.45
Gambia,GMB,2017,2.339
Georgia,GEO,2017,14.864
Germany,DEU,2017,21.453
Ghana,GHA,2017,3.385
Greece,GRC,2017,20.396
Grenada,GRD,2017,7.304
Guam,GUM,2017,9.551
Guatemala,GTM,2017,4.694
Guinea,GIN,2017,3.135
Guinea-Bissau,GNB,2017,3.002
Guyana,GUY,2017,5.305
Haiti,HTI,2017,4.8
Heavily indebted poor countries (HIPC),"",2017,3.125
High income,"",2017,17.435
Honduras,HND,2017,4.652
Hong Kong,HKG,2017,16.303
Hungary,HUN,2017,18.577
IBRD only,"",2017,8.208
IDA & IBRD total,"",2017,7.051
IDA blend,"",2017,3.607
IDA only,"",2017,3.653
IDA total,"",2017,3.638
Iceland,ISL,2017,14.431
India,IND,2017,5.989
Indonesia,IDN,2017,5.319
Iran,IRN,2017,5.44
Iraq,IRQ,2017,3.186
Ireland,IRL,2017,13.928
Israel,ISR,2017,11.733
Italy,ITA,2017,23.021
Jamaica,JAM,2017,9.684
Japan,JPN,2017,27.049
Jordan,JOR,2017,3.81
Kazakhstan,KAZ,2017,6.991
Kenya,KEN,2017,2.686
Kiribati,KIR,2017,3.895
Kuwait,KWT,2017,2.345
Kyrgyzstan,KGZ,2017,4.489
Laos,LAO,2017,4.029
Late-demographic dividend,"",2017,10.409
Latin America & Caribbean,"",2017,8.045
Latin America & Caribbean (IDA & IBRD),"",2017,7.876
Latin America & Caribbean (excluding high income),"",2017,7.607
Latvia,LVA,2017,19.754
Least developed countries: UN classification,"",2017,3.602
Lebanon,LBN,2017,8.514
Lesotho,LSO,2017,4.506
Liberia,LBR,2017,3.057
Libya,LBY,2017,4.424
Lithuania,LTU,2017,19.002
Low & middle income,"",2017,6.958
Low income,"",2017,3.369
Lower middle income,"",2017,5.483
Luxembourg,LUX,2017,14.312
Macao,MAC,2017,9.798
North Macedonia,MKD,2017,13.26
Madagascar,MDG,2017,2.929
Malawi,MWI,2017,2.979
Malaysia,MYS,2017,6.293
Maldives,MDV,2017,4.12
Mali,MLI,2017,2.519
Malta,MLT,2017,19.426
Mauritania,MRT,2017,3.138
Mauritius,MUS,2017,10.945
Mexico,MEX,2017,6.857
Micronesia (country),FSM,2017,4.81
Middle East & North Africa,"",2017,4.98
Middle East & North Africa (IDA & IBRD),"",2017,5.171
Middle East & North Africa (excluding high income),"",2017,5.145
Middle income,"",2017,7.432
Moldova,MDA,2017,10.864
Mongolia,MNG,2017,4.031
Montenegro,MNE,2017,14.762
Morocco,MAR,2017,6.769
Mozambique,MOZ,2017,3.158
Myanmar,MMR,2017,5.732
Namibia,NAM,2017,3.552
Nepal,NPL,2017,5.809
Netherlands,NLD,2017,18.779
New Caledonia,NCL,2017,9.954
New Zealand,NZL,2017,15.322
Nicaragua,NIC,2017,5.445
Niger,NER,2017,2.553
Nigeria,NGA,2017,2.751
North America,"",2017,15.572
North Korea,PRK,2017,9.491
Norway,NOR,2017,16.821
OECD members,"",2017,16.811
Oman,OMN,2017,2.355
Other small states,"",2017,5.347
Pacific island small states,"",2017,5.038
Pakistan,PAK,2017,4.495
Palestine,PSE,2017,3.043
Panama,PAN,2017,7.918
Papua New Guinea,PNG,2017,3.808
Paraguay,PRY,2017,6.378
Peru,PER,2017,7.151
Philippines,PHL,2017,4.803
Poland,POL,2017,16.763
Portugal,PRT,2017,21.502
Post-demographic dividend,"",2017,18.707
Pre-demographic dividend,"",2017,2.855
Puerto Rico,PRI,2017,15.168
Qatar,QAT,2017,1.307
Romania,ROU,2017,17.85
Russia,RUS,2017,14.178
Rwanda,RWA,2017,2.974
Saint Lucia,LCA,2017,9.721
Saint Vincent and the Grenadines,VCT,2017,7.724
Samoa,WSM,2017,5.606
Sao Tome and Principe,STP,2017,2.886
Saudi Arabia,SAU,2017,3.295
Senegal,SEN,2017,3.008
Serbia,SRB,2017,17.366
Seychelles,SYC,2017,8.606
Sierra Leone,SLE,2017,2.538
Singapore,SGP,2017,12.922
Slovakia,SVK,2017,15.07
Slovenia,SVN,2017,19.062
Small states,"",2017,5.949
Solomon Islands,SLB,2017,3.507
Somalia,SOM,2017,2.731
South Africa,ZAF,2017,5.344
South Asia,"",2017,5.72
South Asia (IDA & IBRD),"",2017,5.72
South Korea,KOR,2017,13.914
South Sudan,SSD,2017,3.441
Spain,ESP,2017,19.436
Sri Lanka,LKA,2017,10.069
Sub-Saharan Africa,"",2017,3.088
Sub-Saharan Africa (IDA & IBRD),"",2017,3.088
Sub-Saharan Africa (excluding high income),"",2017,3.088
Sudan,SDN,2017,3.548
Suriname,SUR,2017,6.933
Eswatini,SWZ,2017,3.163
Sweden,SWE,2017,19.985
Switzerland,CHE,2017,18.436
Syrian Arab Republic,"",2017,4.344
Tajikistan,TJK,2017,3.466
Tanzania,TZA,2017,3.108
Thailand,THA,2017,11.373
Timor,TLS,2017,3.556
Togo,TGO,2017,2.839
Tonga,TON,2017,5.82
Trinidad and Tobago,TTO,2017,10.014
Tunisia,TUN,2017,8.001
Turkey,TUR,2017,8.153
Turkmenistan,TKM,2017,4.277
Uganda,UGA,2017,2.168
Ukraine,UKR,2017,16.462
United Arab Emirates,ARE,2017,1.144
United Kingdom,GBR,2017,18.517
United States,USA,2017,15.413
United States Virgin Islands,VIR,2017,18.601
Upper middle income,"",2017,9.681
Uruguay,URY,2017,14.655
Uzbekistan,UZB,2017,4.469
Vanuatu,VUT,2017,4.394
Venezuela,VEN,2017,6.614
Vietnam,VNM,2017,7.15
World,OWID_WRL,2017,8.696
Yemen,YEM,2017,2.922
Zambia,ZMB,2017,2.48
Zimbabwe,ZWE,2017,2.822
Eritrea,ERI,2011,3.607
