location,iso_code,year,female_smokers
Albania,ALB,2016,7.1
Algeria,DZA,2016,0.7
Andorra,AND,2016,29
Arab World,"",2016,2.055
Argentina,ARG,2016,16.2
Armenia,ARM,2016,1.5
Australia,AUS,2016,13
Austria,AUT,2016,28.4
Azerbaijan,AZE,2016,0.3
Bahamas,BHS,2016,3.1
Bahrain,BHR,2016,5.8
Bangladesh,BGD,2016,1
Barbados,BRB,2016,1.9
Belarus,BLR,2016,10.5
Belgium,BEL,2016,25.1
Benin,BEN,2016,0.6
Bosnia and Herzegovina,BIH,2016,30.2
Botswana,BWA,2016,5.7
Brazil,BRA,2016,10.1
Brunei,BRN,2016,2
Bulgaria,BGR,2016,30.1
Burkina Faso,BFA,2016,1.6
Cambodia,KHM,2016,2
Canada,CAN,2016,12
Cape Verde,CPV,2016,2.1
Central Europe and the Baltics,"",2016,25.085
Chile,CHL,2016,34.2
China,CHN,2016,1.9
Colombia,COL,2016,4.7
Comoros,COM,2016,4.4
Congo,COG,2016,1.7
Costa Rica,CRI,2016,6.4
Croatia,HRV,2016,34.3
Cuba,CUB,2016,17.1
Cyprus,CYP,2016,19.6
Czechia,CZE,2016,30.5
Denmark,DNK,2016,19.3
Djibouti,DJI,2016,1.7
Dominican Republic,DOM,2016,8.5
Early-demographic dividend,"",2016,3.292
East Asia & Pacific,"",2016,3.109
East Asia & Pacific (IDA & IBRD),"",2016,2.448
East Asia & Pacific (excluding high income),"",2016,2.448
Ecuador,ECU,2016,2
Egypt,EGY,2016,0.2
El Salvador,SLV,2016,2.5
Eritrea,ERI,2016,0.2
Estonia,EST,2016,24.5
Ethiopia,ETH,2016,0.4
Euro area,"",2016,26.023
Europe & Central Asia,"",2016,21.045
Europe & Central Asia (IDA & IBRD),"",2016,17.322
Europe & Central Asia (excluding high income),"",2016,16.583
European Union,"",2016,24.946
Fiji,FJI,2016,10.2
Finland,FIN,2016,18.3
France,FRA,2016,30.1
Gambia,GMB,2016,0.7
Georgia,GEO,2016,5.3
Germany,DEU,2016,28.2
Ghana,GHA,2016,0.3
Greece,GRC,2016,35.3
Haiti,HTI,2016,2.9
High income,"",2016,19.058
Honduras,HND,2016,2
