Country/Region,Province/State,OWID Country Name
Kosovo,,Kosovo
Kuwait,,Kuwait
Kyrgyzstan,,Kyrgyzstan
Latvia,,Latvia
Lebanon,,Lebanon
Liberia,,Liberia
Liechtenstein,,Liechtenstein
Lithuania,,Lithuania
Luxembourg,,Luxembourg
Malaysia,,Malaysia
Maldives,,Maldives
Malta,,Malta
Martinique,,Martinique
Mauritania,,Mauritania
Mauritius,,Mauritius
Mexico,,Mexico
Moldova,,Moldova
Monaco,,Monaco
Mongolia,,Mongolia
Montenegro,,Montenegro
Morocco,,Morocco
Namibia,,Namibia
Nepal,,Nepal
Netherlands,Aruba,Aruba
Netherlands,Curacao,Curacao
Netherlands,Netherlands,Netherlands
New Zealand,,New Zealand
Nigeria,,Nigeria
North Macedonia,,North Macedonia
Norway,,Norway
Oman,,Oman
Pakistan,,Pakistan
Panama,,Panama
Paraguay,,Paraguay
Peru,,Peru
Philippines,,Philippines
Poland,,Poland
Portugal,,Portugal
Qatar,,Qatar
Romania,,Romania
Russia,,Russia
Rwanda,,Rwanda
Saint Lucia,,Saint Lucia
Saint Vincent and the Grenadines,,Saint Vincent and the Grenadines
San Marino,,San Marino
Saudi Arabia,,Saudi Arabia
Senegal,,Senegal
Serbia,,Serbia
Seychelles,,Seychelles
Singapore,,Singapore
Slovakia,,Slovakia
Slovenia,,Slovenia
Somalia,,Somalia
South Africa,,South Africa
Spain,,Spain
Sri Lanka,,Sri Lanka
Sudan,,Sudan
Suriname,,Suriname
Sweden,,Sweden
Switzerland,,Switzerland
Taiwan*,,Taiwan
Tanzania,,Tanzania
Thailand,,Thailand
The Bahamas,,Bahamas
Togo,,Togo
Trinidad and Tobago,,Trinidad and Tobago
Tunisia,,Tunisia
Turkey,,Turkey
US,"Adams, IN",United States
US,Alabama,United States
US,"Alachua, FL",United States
US,"Alameda County, CA",United States
US,Alaska,United States
US,"Anoka, MN",United States
US,"Arapahoe, CO",United States
US,Arizona,United States
US,Arkansas,United States
US,"Arlington, VA",United States
US,"Beadle, SD",United States
US,"Bennington County, VT",United States
US,"Bergen County, NJ",United States
US,"Berkshire County, MA",United States
US,"Bernalillo, NM",United States
US,"Bon Homme, SD",United States
US,"Boone, IN",United States
US,"Broward County, FL",United States
US,"Bucks, PA",United States
US,"Burlington, NJ",United States
US,"Calaveras, CA",United States
US,California,United States
US,"Camden, NC",United States
US,"Camden, NJ",United States
US,"Carver County, MN",United States
US,"Charles Mix, SD",United States
US,"Charleston County, SC",United States
US,"Charlotte County, FL",United States
US,"Charlton, GA",United States
US,"Chatham County, NC",United States
US,"Cherokee County, GA",United States
US,"Clark County, NV",United States
US,"Clark County, WA",United States
US,"Cobb County, GA",United States
US,"Collier, FL",United States
US,"Collin County, TX",United States
US,Colorado,United States
US,Connecticut,United States
US,"Contra Costa County, CA",United States
US,"Cook County, IL",United States
US,"Cuyahoga, OH",United States
US,"Dallas, TX",United States
US,"Dane, WI",United States
US,"Davidson County, TN",United States
US,"Davis County, UT",United States
US,"Davison, SD",United States
US,"DeKalb, GA",United States
US,Delaware,United States
US,"Delaware County, PA",United States
US,"Denver County, CO",United States
US,"Deschutes, OR",United States
US,Diamond Princess,United States
US,District of Columbia,United States
US,"Douglas County, CO",United States
US,"Douglas County, NE",United States
US,"Douglas County, OR",United States
US,"Eagle, CO",United States
US,"El Paso County, CO",United States
US,"Essex, MA",United States
US,"Fairfax County, VA",United States
US,"Fairfield, CT",United States
US,"Fayette County, KY",United States
US,"Fayette, GA",United States
US,Florida,United States
US,"Floyd, GA",United States
US,"Fort Bend County, TX",United States
US,"Fresno County, CA",United States
US,"Fulton County, GA",United States
US,Georgia,United States
US,"Grafton County, NH",United States
US,Grand Princess,United States
US,"Grant County, WA",United States
US,"Gregg, TX",United States
US,Guam,United States
US,"Gunnison, CO",United States
US,"Gwinnett, GA",United States
US,"Hanover, VA",United States
US,"Harford County, MD",United States
US,"Harris County, TX",United States
US,"Harrison County, KY",United States
US,Hawaii,United States
US,"Hendricks County, IN",United States
US,"Hillsborough, FL",United States
US,"Honolulu County, HI",United States
US,"Howard, IN",United States
US,"Hudson County, NJ",United States
US,"Humboldt County, CA",United States
US,Idaho,United States
US,Illinois,United States
US,Indiana,United States
US,Iowa,United States
US,"Island, WA",United States
US,"Jackson County, OR ",United States
US,"Jefferson County, KY",United States
US,"Jefferson County, WA",United States
US,"Jefferson Parish, LA",United States
US,"Jefferson, CO",United States
US,"Johnson County, IA",United States
US,"Johnson County, KS",United States
US,"Johnson, IN",United States
US,"Kane, IL",United States
US,Kansas,United States
US,Kentucky,United States
US,"Kershaw County, SC",United States
US,"King County, WA",United States
US,"Kitsap, WA",United States
US,"Kittitas County, WA",United States
US,"Klamath County, OR",United States
US,"Knox, NE",United States
US,"Lake, IL",United States
US,"Lancaster, SC",United States
US,"Larimer, CO",United States
US,"Lee County, FL",United States
US,"Litchfield, CT",United States
US,"Los Angeles, CA",United States
US,"Loudoun, VA",United States
US,Louisiana,United States
US,"Madera County, CA",United States
US,Maine,United States
US,"Manatee County, FL",United States
US,"Maricopa County, AZ",United States
US,"Marin, CA",United States
US,"Marion County, IN",United States
US,"Marion County, OR",United States
US,Maryland,United States
US,Massachusetts,United States
US,"McHenry, IL",United States
US,Michigan,United States
US,"Middlesex County, MA",United States
US,"Middlesex, NJ",United States
US,"Minnehaha, SD",United States
US,Minnesota,United States
US,Mississippi,United States
US,Missouri,United States
US,"Monmouth, NJ",United States
US,"Monroe, PA",United States
US,Montana,United States
US,"Montgomery County, MD",United States
US,"Montgomery County, PA",United States
US,"Montgomery, TX",United States
US,"Multnomah, OR",United States
US,"Napa, CA",United States
US,"Nassau County, NY",United States
US,"Nassau, FL",United States
US,Nebraska,United States
US,Nevada,United States
US,"New Castle, DE",United States
US,New Hampshire,United States
US,New Jersey,United States
US,New Mexico,United States
US,New York,United States
US,"New York County, NY",United States
US,"Noble, IN",United States
US,"Norfolk County, MA",United States
US,"Norfolk, VA",United States
US,North Carolina,United States
US,North Dakota,United States
US,"Oakland, MI",United States
US,Ohio,United States
US,"Okaloosa County, FL",United States
US,Oklahoma,United States
US,"Olmsted, MN",United States
US,"Orange County, CA",United States
US,Oregon,United States
US,"Orleans, LA",United States
US,"Pasco, FL",United States
US,"Passaic, NJ",United States
US,"Pennington, SD",United States
US,Pennsylvania,United States
US,"Philadelphia, PA",United States
US,"Pierce County, WA",United States
US,"Pierce, WI",United States
US,"Pima, AZ",United States
US,"Pinal County, AZ",United States
US,"Pinellas, FL",United States
US,"Placer County, CA",United States
US,"Polk County, GA",United States
US,"Polk, OR",United States
US,"Pottawattamie, IA",United States
US,"Prince George's, MD",United States
US,"Providence County, RI",United States
US,Puerto Rico,Puerto Rico
US,"Ramsey County, MN",United States
US,Rhode Island,United States
US,"Riverside County, CA",United States
US,"Rockingham County, NH",United States
US,"Rockland County, NY",United States
US,"Sacramento County, CA",United States
US,"San Benito, CA",United States
US,"San Diego County, CA",United States
US,"San Francisco County, CA",United States
US,"San Joaquin, CA",United States
US,"San Mateo, CA",United States
US,"Santa Clara County, CA",United States
US,"Santa Cruz, CA",United States
US,"Santa Rosa County, FL",United States
US,"Saratoga County, NY",United States
US,"Shasta County, CA",United States
US,"Shelby County, TN",United States
US,"Skagit, WA",United States
US,"Snohomish County, WA",United States
US,"Socorro, NM",United States
US,"Solano, CA",United States
US,"Sonoma County, CA",United States
US,South Carolina,United States
US,South Dakota,United States
US,"Spartanburg County, SC",United States
US,"Spotsylvania, VA",United States
US,"St. Joseph, IN",United States
US,"St. Louis County, MO",United States
US,"Stanislaus, CA",United States
US,"Stark, OH",United States
US,"Suffolk County, MA",United States
US,"Suffolk County, NY",United States
US,"Sullivan, TN",United States
US,"Summit County, CO",United States
US,"Summit, UT",United States
US,"Tarrant, TX",United States
US,Tennessee,United States
US,Texas,United States
US,"Thurston, WA",United States
US,"Tulsa County, OK",United States
US,"Ulster County, NY",United States
US,"Umatilla, OR",United States
US,"Union, NJ",United States
US,Utah,United States
US,"Ventura, CA",United States
US,Vermont,United States
US,Virgin Islands,United States Virgin Islands
US,Virginia,United States
US,"Volusia County, FL",United States
US,"Wake County, NC",United States
US,Washington,United States
US,"Washington County, OR",United States
US,"Washington, D.C.",United States
US,"Washoe County, NV",United States
US,"Wayne County, PA",United States
US,"Wayne, MI",United States
US,"Weber, UT",United States
US,West Virginia,United States
US,"Westchester County, NY",United States
US,"Whatcom, WA",United States
US,"Williamson County, TN",United States
US,Wisconsin,United States
US,"Worcester, MA",United States
US,Wyoming,United States
US,"Yolo County, CA",United States
Ukraine,,Ukraine
United Arab Emirates,,United Arab Emirates
United Kingdom,Cayman Islands,Cayman Islands
United Kingdom,Channel Islands,Channel Islands
United Kingdom,Gibraltar,Gibraltar
United Kingdom,Montserrat,Montserrat
United Kingdom,United Kingdom,United Kingdom
Uruguay,,Uruguay
Uzbekistan,,Uzbekistan
Venezuela,,Venezuela
Vietnam,,Vietnam
Zambia,,Zambia
