WHO Country Name,WHO Region,OWID Country Name
China,Western Pacific,China
Republic of Korea,Western Pacific,South Korea
Japan,Western Pacific,Japan
Singapore,Western Pacific,Singapore
Malaysia,Western Pacific,Malaysia
Australia,Western Pacific,Australia
Viet Nam,Western Pacific,Vietnam
Philippines,Western Pacific,Philippines
New Zealand,Western Pacific,New Zealand
Cambodia,Western Pacific,Cambodia
Bhutan,South-East Asia,Bhutan
Thailand,South-East Asia,Thailand
India,South-East Asia,India
Nepal,South-East Asia,Nepal
Indonesia,South-East Asia,Indonesia
Sri Lanka,South-East Asia,Sri Lanka
Maldives,South-East Asia,Maldives
United States of America,Americas,United States
Canada,Americas,Canada
Brazil,Americas,Brazil
Mexico,Americas,Mexico
Ecuador,Americas,Ecuador
Dominican Republic,Americas,Dominican Republic
Argentina,Americas,Argentina
Chile,Americas,Chile
Colombia,Americas,Colombia
Peru,Americas,Peru
Costa Rica,Americas,Costa Rica
Italy,Europe,Italy
France,Europe,France
Germany,Europe,Germany
Spain,Europe,Spain
Switzerland,Europe,Switzerland
The United Kingdom,Europe,United Kingdom
Sweden,Europe,Sweden
Netherlands,Europe,Netherlands
Norway,Europe,Norway
Finland,Europe,Finland
Belgium,Europe,Belgium
Israel,Europe,Israel
Austria,Europe,Austria
Iceland,Europe,Iceland
Croatia,Europe,Croatia
Russian Federation,Europe,Russia
Romania,Europe,Romania
North Macedonia,Europe,Macedonia
Greece,Europe,Greece
Georgia,Europe,Georgia
Estonia,Europe,Estonia
Denmark,Europe,Denmark
San Marino,Europe,San Marino
Azerbaijan,Europe,Azerbaijan
Belarus,Europe,Belarus
Lithuania,Europe,Lithuania
Armenia,Europe,Armenia
Liechtenstein,Europe,Liechtenstein
Slovenia,Europe,Slovenia
Serbia,Europe,Serbia
Ireland,Europe,Ireland
Monaco,Europe,Monaco
Czech Republic,Europe,Czech Republic
Luxembourg,Europe,Luxembourg
Latvia,Europe,Latvia
Andorra,Europe,Andorra
Portugal,Europe,Portugal
Ukraine,Europe,Ukraine
Poland,Europe,Poland
Slovakia,Europe,Slovakia
Holy See,Europe,Vatican
Bosnia and Herzegovina,Europe,Bosnia and Herzegovina
Hungary,Europe,Hungary
Malta,Europe,Malta
Bulgaria,Europe,Bulgaria
Republic of Moldova,Europe,Moldova
Iran,Eastern Mediterranean,Iran
United Arab Emirates,Eastern Mediterranean,United Arab Emirates
Lebanon,Eastern Mediterranean,Lebanon
Kuwait,Eastern Mediterranean,Kuwait
Iraq,Eastern Mediterranean,Iraq
Bahrain,Eastern Mediterranean,Bahrain
Oman,Eastern Mediterranean,Oman
Afghanistan,Eastern Mediterranean,Afghanistan
Egypt,Eastern Mediterranean,Egypt
Qatar,Eastern Mediterranean,Qatar
Pakistan,Eastern Mediterranean,Pakistan
Jordan,Eastern Mediterranean,Jordan
Morocco,Eastern Mediterranean,Morocco
Tunisia,Eastern Mediterranean,Tunisia
Saudi Arabia,Eastern Mediterranean,Saudi Arabia
Algeria,Africa,Algeria
Senegal,Africa,Senegal
Cameroon,Africa,Cameroon
South Africa,Africa,South Africa
Nigeria,Africa,Nigeria
Togo,Africa,Togo
Occupied Palestinian Territory,Territories,Palestine
Saint Martin,Territories,Saint Martin (French part)
Saint Barthélemy,Territories,Saint Barthlemy
Gibraltar,Territories,Gibraltar
Faroe Islands,Territories,Faeroe Islands
French Guiana,Territories,French Guiana
Martinique,Territories,Martinique
International conveyance (Diamond Princess),International,International
