date,location,total_cases,total_deaths,new_cases,new_deaths
2020-02-25,Afghanistan,1,,,
2020-02-26,Afghanistan,1,,0,
2020-02-27,Afghanistan,1,,0,
2020-02-28,Afghanistan,1,,0,
2020-02-29,Afghanistan,1,,0,
2020-03-01,Afghanistan,1,,0,
2020-03-02,Afghanistan,1,,0,
2020-03-03,Afghanistan,1,,0,
2020-03-04,Afghanistan,1,,0,
2020-03-05,Afghanistan,1,,0,
2020-03-06,Afghanistan,1,,0,
2020-03-07,Afghanistan,1,,0,
2020-03-08,Afghanistan,4,,3,
2020-03-09,Afghanistan,4,,0,
2020-03-09,Albania,2,,,
2020-02-26,Algeria,1,,,
2020-02-27,Algeria,1,,0,
2020-02-28,Algeria,1,,0,
2020-02-29,Algeria,1,,0,
2020-03-01,Algeria,1,,0,
2020-03-02,Algeria,1,,0,
2020-03-03,Algeria,5,,4,
2020-03-04,Algeria,5,,0,
2020-03-05,Algeria,12,,7,
2020-03-06,Algeria,12,,0,
2020-03-07,Algeria,17,,5,
2020-03-08,Algeria,17,,0,
2020-03-09,Algeria,20,,3,
2020-03-03,Andorra,1,,,
2020-03-04,Andorra,1,,0,
2020-03-05,Andorra,1,,0,
2020-03-06,Andorra,1,,0,
2020-03-07,Andorra,1,,0,
2020-03-08,Andorra,1,,0,
2020-03-09,Andorra,1,,0,
2020-03-04,Argentina,1,,,
2020-03-05,Argentina,1,,0,
2020-03-06,Argentina,1,,0,
2020-03-07,Argentina,2,,1,
2020-03-08,Argentina,9,1,7,
2020-03-09,Argentina,12,1,3,0
2020-03-02,Armenia,1,,,
2020-03-03,Armenia,1,,0,
2020-03-04,Armenia,1,,0,
2020-03-05,Armenia,1,,0,
2020-03-06,Armenia,1,,0,
2020-03-07,Armenia,1,,0,
2020-03-08,Armenia,1,,0,
2020-03-09,Armenia,1,,0,
2020-01-25,Australia,3,,,
2020-01-26,Australia,4,,1,
2020-01-27,Australia,4,,0,
2020-01-28,Australia,5,,1,
2020-01-29,Australia,7,,2,
2020-01-30,Australia,7,,0,
2020-01-31,Australia,9,,2,
2020-02-01,Australia,12,,3,
2020-02-02,Australia,12,,0,
2020-02-03,Australia,12,,0,
2020-02-04,Australia,12,,0,
2020-02-05,Australia,13,,1,
2020-02-06,Australia,14,,1,
2020-02-07,Australia,15,,1,
2020-02-08,Australia,15,,0,
2020-02-09,Australia,15,,0,
2020-02-10,Australia,15,,0,
2020-02-11,Australia,15,,0,
2020-02-12,Australia,15,,0,
2020-02-13,Australia,15,,0,
2020-02-14,Australia,15,,0,
2020-02-15,Australia,15,,0,
2020-02-16,Australia,15,,0,
2020-02-17,Australia,15,,0,
2020-02-18,Australia,15,,0,
2020-02-19,Australia,15,,0,
2020-02-20,Australia,15,,0,
2020-02-21,Australia,17,,2,
2020-02-22,Australia,21,,4,
2020-02-23,Australia,22,,1,
2020-02-24,Australia,22,,0,
2020-02-25,Australia,22,,0,
2020-02-26,Australia,23,,1,
2020-02-27,Australia,23,,0,
2020-02-28,Australia,23,,0,
2020-02-29,Australia,24,,1,
2020-03-01,Australia,25,,1,
2020-03-02,Australia,27,1,2,
2020-03-03,Australia,33,1,6,0
2020-03-04,Australia,43,1,10,0
2020-03-05,Australia,66,3,23,2
2020-03-06,Australia,57,2,-9,-1
2020-03-07,Australia,62,2,5,0
2020-03-08,Australia,74,3,12,1
2020-03-09,Australia,77,3,3,0
2020-02-26,Austria,2,,,
2020-02-27,Austria,2,,0,
2020-02-28,Austria,4,,2,
2020-02-29,Austria,5,,1,
2020-03-01,Austria,10,,5,
2020-03-02,Austria,10,,0,
2020-03-03,Austria,18,,8,
2020-03-04,Austria,24,,6,
2020-03-05,Austria,37,,13,
2020-03-06,Austria,47,,10,
2020-03-07,Austria,66,,19,
2020-03-08,Austria,104,,38,
2020-03-01,Azerbaijan,3,,,
2020-03-02,Azerbaijan,3,,0,
2020-03-03,Azerbaijan,3,,0,
2020-03-04,Azerbaijan,3,,0,
2020-03-05,Azerbaijan,3,,0,
2020-03-06,Azerbaijan,3,,0,
2020-03-07,Azerbaijan,9,,6,
2020-03-08,Azerbaijan,9,,0,
2020-03-09,Azerbaijan,9,,0,
2020-02-25,Bahrain,8,,,
2020-02-26,Bahrain,26,,18,
2020-02-27,Bahrain,33,,7,
2020-02-28,Bahrain,33,,0,
2020-02-29,Bahrain,38,,5,
2020-03-01,Bahrain,40,,2,
2020-03-02,Bahrain,47,,7,
2020-03-03,Bahrain,49,,2,
2020-03-04,Bahrain,49,,0,
2020-03-05,Bahrain,49,,0,
2020-03-06,Bahrain,49,,0,
2020-03-07,Bahrain,49,,0,
2020-03-08,Bahrain,56,,7,
2020-03-09,Bahrain,79,,23,
2020-02-28,Belarus,1,,,
2020-02-29,Belarus,1,,0,
2020-03-01,Belarus,1,,0,
2020-03-02,Belarus,1,,0,
2020-03-03,Belarus,1,,0,
2020-03-04,Belarus,1,,0,
2020-03-05,Belarus,6,,5,
2020-03-06,Belarus,6,,0,
2020-03-07,Belarus,6,,0,
2020-03-08,Belarus,6,,0,
2020-03-09,Belarus,6,,0,
2020-02-05,Belgium,1,,,
2020-02-06,Belgium,1,,0,
2020-02-07,Belgium,1,,0,
2020-02-08,Belgium,1,,0,
2020-02-09,Belgium,1,,0,
2020-02-10,Belgium,1,,0,
2020-02-11,Belgium,1,,0,
2020-02-12,Belgium,1,,0,
2020-02-13,Belgium,1,,0,
2020-02-14,Belgium,1,,0,
2020-02-15,Belgium,1,,0,
2020-02-16,Belgium,1,,0,
2020-02-17,Belgium,1,,0,
2020-02-18,Belgium,1,,0,
2020-02-19,Belgium,1,,0,
2020-02-20,Belgium,1,,0,
2020-02-21,Belgium,1,,0,
2020-02-22,Belgium,1,,0,
2020-02-23,Belgium,1,,0,
2020-02-24,Belgium,1,,0,
2020-02-25,Belgium,1,,0,
2020-02-26,Belgium,1,,0,
2020-02-27,Belgium,1,,0,
2020-02-28,Belgium,1,,0,
2020-02-29,Belgium,1,,0,
2020-03-01,Belgium,1,,0,
2020-03-02,Belgium,1,,0,
2020-03-03,Belgium,8,,7,
2020-03-04,Belgium,8,,0,
2020-03-05,Belgium,23,,15,
2020-03-06,Belgium,50,,27,
2020-03-07,Belgium,109,,59,
2020-03-08,Belgium,169,,60,
2020-03-09,Belgium,200,,31,
2020-03-06,Bhutan,1,,,
2020-03-07,Bhutan,1,,0,
2020-03-08,Bhutan,1,,0,
2020-03-09,Bhutan,1,,0,
2020-03-05,Bosnia and Herzegovina,2,,,
2020-03-06,Bosnia and Herzegovina,2,,0,
2020-03-07,Bosnia and Herzegovina,2,,0,
2020-03-08,Bosnia and Herzegovina,2,,0,
2020-03-09,Bosnia and Herzegovina,2,,0,
2020-02-27,Brazil,1,,,
2020-02-28,Brazil,1,,0,
2020-02-29,Brazil,1,,0,
2020-03-01,Brazil,2,,1,
2020-03-02,Brazil,2,,0,
2020-03-03,Brazil,2,,0,
2020-03-04,Brazil,2,,0,
2020-03-05,Brazil,3,,1,
2020-03-06,Brazil,7,,4,
2020-03-07,Brazil,13,,6,
2020-03-08,Brazil,19,,6,
2020-03-09,Brazil,25,,6,
2020-03-08,Bulgaria,2,,,
2020-03-09,Bulgaria,4,,2,
2020-01-28,Cambodia,1,,,
2020-01-29,Cambodia,1,,0,
2020-01-30,Cambodia,1,,0,
2020-01-31,Cambodia,1,,0,
2020-02-01,Cambodia,1,,0,
2020-02-02,Cambodia,1,,0,
2020-02-03,Cambodia,1,,0,
2020-02-04,Cambodia,1,,0,
2020-02-05,Cambodia,1,,0,
2020-02-06,Cambodia,1,,0,
2020-02-07,Cambodia,1,,0,
2020-02-08,Cambodia,1,,0,
2020-02-09,Cambodia,1,,0,
2020-02-10,Cambodia,1,,0,
2020-02-11,Cambodia,1,,0,
2020-02-12,Cambodia,1,,0,
2020-02-13,Cambodia,1,,0,
2020-02-14,Cambodia,1,,0,
2020-02-15,Cambodia,1,,0,
2020-02-16,Cambodia,1,,0,
2020-02-17,Cambodia,1,,0,
2020-02-18,Cambodia,1,,0,
2020-02-19,Cambodia,1,,0,
2020-02-20,Cambodia,1,,0,
2020-02-21,Cambodia,1,,0,
2020-02-22,Cambodia,1,,0,
2020-02-23,Cambodia,1,,0,
2020-02-24,Cambodia,1,,0,
2020-02-25,Cambodia,1,,0,
2020-02-26,Cambodia,1,,0,
2020-02-27,Cambodia,1,,0,
2020-02-28,Cambodia,1,,0,
2020-02-29,Cambodia,1,,0,
2020-03-01,Cambodia,1,,0,
2020-03-02,Cambodia,1,,0,
2020-03-03,Cambodia,1,,0,
2020-03-04,Cambodia,1,,0,
2020-03-05,Cambodia,1,,0,
2020-03-06,Cambodia,1,,0,
2020-03-07,Cambodia,1,,0,
2020-03-08,Cambodia,2,,1,
2020-03-09,Cambodia,2,,0,
2020-03-06,Cameroon,1,,,
2020-03-07,Cameroon,2,,1,
2020-03-08,Cameroon,2,,0,
2020-03-09,Cameroon,2,,0,
2020-01-27,Canada,1,,,
2020-01-28,Canada,2,,1,
2020-01-29,Canada,3,,1,
2020-01-30,Canada,3,,0,
2020-01-31,Canada,3,,0,
2020-02-01,Canada,4,,1,
2020-02-02,Canada,4,,0,
2020-02-03,Canada,4,,0,
2020-02-04,Canada,4,,0,
2020-02-05,Canada,5,,1,
2020-02-06,Canada,5,,0,
2020-02-07,Canada,7,,2,
2020-02-08,Canada,7,,0,
2020-02-09,Canada,7,,0,
2020-02-10,Canada,7,,0,
2020-02-11,Canada,7,,0,
2020-02-12,Canada,7,,0,
2020-02-13,Canada,7,,0,
2020-02-14,Canada,7,,0,
2020-02-15,Canada,7,,0,
2020-02-16,Canada,7,,0,
2020-02-17,Canada,7,,0,
2020-02-18,Canada,8,,1,
2020-02-19,Canada,8,,0,
2020-02-20,Canada,8,,0,
2020-02-21,Canada,8,,0,
2020-02-22,Canada,8,,0,
2020-02-23,Canada,9,,1,
2020-02-24,Canada,9,,0,
2020-02-25,Canada,10,,1,
2020-02-26,Canada,10,,0,
2020-02-27,Canada,11,,1,
2020-02-28,Canada,11,,0,
2020-02-29,Canada,14,,3,
2020-03-01,Canada,19,,5,
2020-03-02,Canada,19,,0,
2020-03-03,Canada,27,,8,
2020-03-04,Canada,30,,3,
2020-03-05,Canada,30,,0,
2020-03-06,Canada,45,,15,
2020-03-07,Canada,51,,6,
2020-03-08,Canada,57,,6,
2020-03-09,Canada,62,,5,
2020-03-04,Chile,1,,,
2020-03-05,Chile,1,,0,
2020-03-06,Chile,1,,0,
2020-03-07,Chile,5,,4,
2020-03-08,Chile,5,,0,
2020-03-09,Chile,10,,5,
2020-01-21,China,278,6,,
2020-01-22,China,310,6,32,0
2020-01-23,China,574,17,264,11
2020-01-24,China,835,25,261,8
2020-01-25,China,1297,41,462,16
2020-01-26,China,1985,56,688,15
2020-01-27,China,2761,80,776,24
2020-01-28,China,4537,106,1776,26
2020-01-29,China,5997,132,1460,26
2020-01-30,China,7736,170,1739,38
2020-01-31,China,9720,213,1984,43
2020-02-01,China,11821,259,2101,46
2020-02-02,China,14411,304,2590,45
2020-02-03,China,17238,361,2827,57
2020-02-04,China,20471,425,3233,64
2020-02-05,China,24363,491,3892,66
2020-02-06,China,28060,564,3697,73
2020-02-07,China,31211,637,3151,73
2020-02-08,China,34598,723,3387,86
2020-02-09,China,37251,812,2653,89
2020-02-10,China,40235,909,2984,97
2020-02-11,China,42708,1017,2473,108
2020-02-12,China,44730,1114,2022,97
2020-02-13,China,46550,1368,1820,254
2020-02-14,China,48548,1381,1998,13
2020-02-15,China,50054,1524,1506,143
2020-02-16,China,51174,1666,1120,142
2020-02-17,China,70635,1772,19461,106
