entity,year,population
Afghanistan,2020,38928341
Africa,2020,1340598113
Albania,2020,2877800
Algeria,2020,43851043
American Samoa,2020,55197
Andorra,2020,77265
Angola,2020,32866268
Anguilla,2020,15002
Antigua and Barbuda,2020,97928
Argentina,2020,45195777
Armenia,2020,2963234
Aruba,2020,106766
Asia,2020,4641054786
Australia,2020,25499881
Austria,2020,9006400
Azerbaijan,2020,10139175
Bahamas,2020,393248
Bahrain,2020,1701583
Bangladesh,2020,164689383
Barbados,2020,287371
Belarus,2020,9449321
Belgium,2020,11589616
Belize,2020,397621
Benin,2020,12123198
Bermuda,2020,62273
Bhutan,2020,771612
Bolivia,2020,11673029
Bonaire Sint Eustatius and Saba,2020,26221
Bosnia and Herzegovina,2020,3280815
Botswana,2020,2351625
Brazil,2020,212559409
British Virgin Islands,2020,30237
Brunei,2020,437483
Bulgaria,2020,6948445
Burkina Faso,2020,20903278
Burundi,2020,11890781
Cambodia,2020,16718971
Cameroon,2020,26545864
Canada,2020,37742157
Cape Verde,2020,555988
Caribbean,2020,43532374
Cayman Islands,2020,65720
Central African Republic,2020,4829764
Central America,2020,179670186
Central Asia,2020,74338926
Central and Southern Asia,2020,2014708531
Chad,2020,16425859
Channel Islands,2020,173859
Chile,2020,19116209
China,2020,1439323774
Colombia,2020,50882884
Comoros,2020,869595
Congo,2020,5518092
Cook Islands,2020,17564
Costa Rica,2020,5094114
Cote d'Ivoire,2020,26378275
Croatia,2020,4105268
Cuba,2020,11326616
Curacao,2020,164100
Cyprus,2020,1207361
Czech Republic,2020,10708982
Democratic Republic of Congo,2020,89561404
Denmark,2020,5792203
Djibouti,2020,988002
Dominica,2020,71991
Dominican Republic,2020,10847904
Eastern Africa,2020,445405578
Eastern Europe,2020,293013210
Ecuador,2020,17643060
Egypt,2020,102334403
El Salvador,2020,6486201
Equatorial Guinea,2020,1402985
Eritrea,2020,3546427
Estonia,2020,1326539
Ethiopia,2020,114963583
Europe,2020,747636045
Faeroe Islands,2020,48865
Falkland Islands,2020,3483
Fiji,2020,896444
Finland,2020,5540718
France,2020,65273512
French Guiana,2020,298682
French Polynesia,2020,280904
Gabon,2020,2225728
Gambia,2020,2416664
Georgia,2020,3989175
Germany,2020,83783945
Ghana,2020,31072945
