date,location,vaccine,total_vaccinations
2021-01-12,United States,Moderna,3835859.0
2021-01-13,United States,Moderna,4249795.0
2021-01-15,United States,Moderna,5122662.0
2021-01-19,United States,Moderna,6828561.0
2021-01-20,United States,Moderna,7239750.0
2021-01-21,United States,Moderna,7724683.0
2021-01-22,United States,Moderna,8407909.0
2021-01-23,United States,Moderna,9061112.0
2021-01-24,United States,Moderna,9689497.0
2021-01-25,United States,Moderna,10084432.0
2021-01-26,United States,Moderna,10431466.0
2021-01-27,United States,Moderna,11001991.0
2021-01-28,United States,Moderna,11737592.0
2021-01-29,United States,Moderna,12619210.0
2021-01-30,United States,Moderna,13499942.0
2021-01-31,United States,Moderna,14246089.0
2021-02-01,United States,Moderna,14756609.0
2021-02-02,United States,Moderna,15006565.0
2021-02-03,United States,Moderna,15567188.0
2021-02-04,United States,Moderna,16260102.0
2021-02-05,United States,Moderna,17133644.0
2021-02-06,United States,Moderna,18336515.0
2021-02-07,United States,Moderna,19485089.0
2021-02-08,United States,Moderna,20066305.0
2021-01-12,United States,Pfizer/BioNTech,5488697.0
2021-01-13,United States,Pfizer/BioNTech,6025872.0
2021-01-15,United States,Pfizer/BioNTech,7153268.0
2021-01-19,United States,Pfizer/BioNTech,8874811.0
2021-01-20,United States,Pfizer/BioNTech,9281063.0
2021-01-21,United States,Pfizer/BioNTech,9817027.0
2021-01-22,United States,Pfizer/BioNTech,10695066.0
2021-01-23,United States,Pfizer/BioNTech,11471457.0
2021-01-24,United States,Pfizer/BioNTech,12153536.0
2021-01-25,United States,Pfizer/BioNTech,12551999.0
2021-01-26,United States,Pfizer/BioNTech,13009981.0
2021-01-27,United States,Pfizer/BioNTech,13550835.0
2021-01-28,United States,Pfizer/BioNTech,14355980.0
2021-01-29,United States,Pfizer/BioNTech,15164858.0
2021-01-30,United States,Pfizer/BioNTech,15977015.0
2021-01-31,United States,Pfizer/BioNTech,16775916.0
2021-02-01,United States,Pfizer/BioNTech,17364398.0
2021-02-02,United States,Pfizer/BioNTech,17672866.0
2021-02-03,United States,Pfizer/BioNTech,18209204.0
2021-02-04,United States,Pfizer/BioNTech,18841309.0
2021-02-05,United States,Pfizer/BioNTech,19582865.0
2021-02-06,United States,Pfizer/BioNTech,20598212.0
2021-02-07,United States,Pfizer/BioNTech,21622193.0
2021-02-08,United States,Pfizer/BioNTech,22247484.0
