WHO Country Name,WHO Region,OWID Country Name
China,Western Pacific,China
Republic of Korea,Western Pacific,South Korea
Japan,Western Pacific,Japan
Singapore,Western Pacific,Singapore
Malaysia,Western Pacific,Malaysia
Australia,Western Pacific,Australia
Viet Nam,Western Pacific,Vietnam
Philippines,Western Pacific,Philippines
New Zealand,Western Pacific,New Zealand
Cambodia,Western Pacific,Cambodia
Bhutan,South-East Asia,Bhutan
Thailand,South-East Asia,Thailand
India,South-East Asia,India
Nepal,South-East Asia,Nepal
Indonesia,South-East Asia,Indonesia
Sri Lanka,South-East Asia,Sri Lanka
Maldives,South-East Asia,Maldives
United States of America,Americas,United States
Canada,Americas,Canada
Brazil,Americas,Brazil
Mexico,Americas,Mexico
Ecuador,Americas,Ecuador
Dominican Republic,Americas,Dominican Republic
Argentina,Americas,Argentina
Chile,Americas,Chile
Colombia,Americas,Colombia
Peru,Americas,Peru
Costa Rica,Americas,Costa Rica
Italy,Europe,Italy
France,Europe,France
Germany,Europe,Germany
Spain,Europe,Spain
Switzerland,Europe,Switzerland
The United Kingdom,Europe,United Kingdom
Sweden,Europe,Sweden
Netherlands,Europe,Netherlands
Norway,Europe,Norway
Finland,Europe,Finland
Belgium,Europe,Belgium
Israel,Europe,Israel
Austria,Europe,Austria
Iceland,Europe,Iceland
Croatia,Europe,Croatia
Russian Federation,Europe,Russia
Romania,Europe,Romania
North Macedonia,Europe,Macedonia
Greece,Europe,Greece
Georgia,Europe,Georgia
Estonia,Europe,Estonia
Denmark,Europe,Denmark
San Marino,Europe,San Marino
Azerbaijan,Europe,Azerbaijan
Belarus,Europe,Belarus
Lithuania,Europe,Lithuania
Armenia,Europe,Armenia
Liechtenstein,Europe,Liechtenstein
Slovenia,Europe,Slovenia
Serbia,Europe,Serbia
Ireland,Europe,Ireland
Monaco,Europe,Monaco
Czechia,Europe,Czech Republic
Luxembourg,Europe,Luxembourg
Latvia,Europe,Latvia
Andorra,Europe,Andorra
Portugal,Europe,Portugal
Ukraine,Europe,Ukraine
Poland,Europe,Poland
Slovakia,Europe,Slovakia
Holy See,Europe,Vatican
Bosnia and Herzegovina,Europe,Bosnia and Herzegovina
Hungary,Europe,Hungary
Malta,Europe,Malta
Bulgaria,Europe,Bulgaria
Republic of Moldova,Europe,Moldova
Iran,Eastern Mediterranean,Iran
United Arab Emirates,Eastern Mediterranean,United Arab Emirates
Lebanon,Eastern Mediterranean,Lebanon
Kuwait,Eastern Mediterranean,Kuwait
Iraq,Eastern Mediterranean,Iraq
Bahrain,Eastern Mediterranean,Bahrain
Oman,Eastern Mediterranean,Oman
Afghanistan,Eastern Mediterranean,Afghanistan
Egypt,Eastern Mediterranean,Egypt
Qatar,Eastern Mediterranean,Qatar
Pakistan,Eastern Mediterranean,Pakistan
Jordan,Eastern Mediterranean,Jordan
Morocco,Eastern Mediterranean,Morocco
Tunisia,Eastern Mediterranean,Tunisia
Saudi Arabia,Eastern Mediterranean,Saudi Arabia
Algeria,Africa,Algeria
Senegal,Africa,Senegal
Cameroon,Africa,Cameroon
South Africa,Africa,South Africa
Nigeria,Africa,Nigeria
Togo,Africa,Togo
Occupied Palestinian Territory,Territories,Palestine
Saint Martin,Territories,Saint Martin (French part)
Saint Barthélemy,Territories,Saint Barthlemy
Gibraltar,Territories,Gibraltar
Faroe Islands,Territories,Faeroe Islands
French Guiana,Territories,French Guiana
Martinique,Territories,Martinique
International conveyance (Diamond Princess),International,International
Paraguay,Americas,Paraguay
Albania,Europe,Albania
Bangladesh,South-East Asia,Bangladesh
Brunei Darussalam,Western Pacific,Brunei
Cyprus,Europe,Cyprus
Mongolia,Western Pacific,Mongolia
Panama,Americas,Panama
Guernsey,Territories,Guernsey
Bolivia (Plurinational State of),Americas,Bolivia
Jamaica,Americas,Jamaica
Burkina Faso,Africa,Burkina Faso
Democratic Republic of the Congo,Africa,Democratic Republic of Congo
French Polynesia,Territories,French Polynesia
Turkey,Europe,Turkey
Honduras,Americas,Honduras
Côte d’Ivoire,Africa,Cote d'Ivoire
Jersey,Territories,Jersey
Réunion,Territories,Reunion
Cuba,Americas,Cuba
Guyana,Americas,Guyana
Saint Vincent and the Grenadines,Americas,Saint Vincent and the Grenadines
Sudan,Eastern Mediterranean,Sudan
Puerto Rico,Americas,Puerto Rico
Venezuela (Bolivarian Republic of),Americas,Venezuela
Antigua and Barbuda,Americas,Antigua and Barbuda
Guadeloupe,Territories,Guadeloupe
Trinidad and Tobago,Americas,Trinidad and Tobago
Ethiopia,Africa,Ethiopia
Gabon,Africa,Gabon
Ghana,Africa,Ghana
Guinea,Africa,Guinea
Kenya,Africa,Kenya
Cayman Islands,Territories,Cayman Islands
Kazakhstan,Europe,Kazakhstan
Curaçao,Territories,Curacao
Namibia,Africa,Namibia
Central African Republic,Africa,Central African Republic
Congo,Africa,Congo
Equatorial Guinea,Africa,Equatorial Guinea
Eswatini,Africa,Swaziland
Mauritania,Africa,Mauritania
Mayotte,Territories,Mayotte
Uzbekistan,Europe,Uzbekistan
Uruguay,Americas,Uruguay
Guatemala,Americas,Guatemala
Saint Lucia,Americas,Saint Lucia
Suriname,Americas,Suriname
Rwanda,Africa,Rwanda
Seychelles,Africa,Seychelles
Guam,Territories,Guam
Somalia,Eastern Mediterranean,Somalia
Bahamas,Americas,Bahamas
Aruba,Territories,Aruba
United States Virgin Islands,Territories,United States Virgin Islands
Benin,Africa,Benin
Liberia,Africa,Liberia
United Republic of Tanzania,Africa,Tanzania
