date,location,new_cases,new_deaths,total_cases,total_deaths
2020-02-25,Afghanistan,,,1,
2020-02-26,Afghanistan,0,,1,
2020-02-27,Afghanistan,0,,1,
2020-02-28,Afghanistan,0,,1,
2020-02-29,Afghanistan,0,,1,
2020-03-01,Afghanistan,0,,1,
2020-03-02,Afghanistan,0,,1,
2020-03-03,Afghanistan,0,,1,
2020-03-04,Afghanistan,0,,1,
2020-03-05,Afghanistan,0,,1,
2020-03-06,Afghanistan,0,,1,
2020-03-07,Afghanistan,0,,1,
2020-03-08,Afghanistan,3,,4,
2020-03-09,Afghanistan,0,,4,
2020-03-10,Afghanistan,0,,4,
2020-03-11,Afghanistan,0,,4,
2020-03-12,Afghanistan,3,,7,
2020-03-13,Afghanistan,0,,7,
2020-03-14,Afghanistan,0,,7,
2020-03-15,Afghanistan,3,,10,
2020-03-16,Afghanistan,6,,16,
2020-03-17,Afghanistan,5,,21,
2020-03-09,Albania,,,2,
2020-03-10,Albania,0,,2,
2020-03-11,Albania,8,,10,
2020-03-12,Albania,0,,10,
2020-03-13,Albania,13,,23,
2020-03-14,Albania,10,,33,1
2020-03-15,Albania,5,0,38,1
2020-03-16,Albania,4,0,42,1
2020-03-17,Albania,9,0,51,1
2020-02-26,Algeria,,,1,
2020-02-27,Algeria,0,,1,
2020-02-28,Algeria,0,,1,
2020-02-29,Algeria,0,,1,
2020-03-01,Algeria,0,,1,
2020-03-02,Algeria,0,,1,
2020-03-03,Algeria,4,,5,
2020-03-04,Algeria,0,,5,
2020-03-05,Algeria,7,,12,
2020-03-06,Algeria,0,,12,
2020-03-07,Algeria,5,,17,
2020-03-08,Algeria,0,,17,
2020-03-09,Algeria,3,,20,
2020-03-10,Algeria,0,,20,
2020-03-11,Algeria,0,,20,
2020-03-12,Algeria,5,,25,1
2020-03-13,Algeria,0,0,25,1
2020-03-14,Algeria,1,1,26,2
2020-03-15,Algeria,11,1,37,3
2020-03-16,Algeria,12,0,49,3
2020-03-17,Algeria,11,1,60,4
2020-03-03,Andorra,,,1,
2020-03-04,Andorra,0,,1,
2020-03-05,Andorra,0,,1,
2020-03-06,Andorra,0,,1,
2020-03-07,Andorra,0,,1,
2020-03-08,Andorra,0,,1,
2020-03-09,Andorra,0,,1,
2020-03-10,Andorra,0,,1,
2020-03-11,Andorra,0,,1,
2020-03-12,Andorra,0,,1,
2020-03-13,Andorra,0,,1,
2020-03-14,Andorra,1,,2,
2020-03-15,Andorra,0,,2,
2020-03-16,Andorra,0,,2,
2020-03-17,Andorra,12,,14,
2020-03-14,Antigua and Barbuda,,,1,
2020-03-15,Antigua and Barbuda,0,,1,
2020-03-16,Antigua and Barbuda,0,,1,
2020-03-17,Antigua and Barbuda,0,,1,
2020-03-04,Argentina,,,1,
2020-03-05,Argentina,0,,1,
2020-03-06,Argentina,0,,1,
2020-03-07,Argentina,1,,2,
2020-03-08,Argentina,7,,9,1
2020-03-09,Argentina,3,0,12,1
2020-03-10,Argentina,0,0,12,1
2020-03-11,Argentina,5,0,17,1
2020-03-12,Argentina,2,0,19,1
2020-03-13,Argentina,12,0,31,1
2020-03-14,Argentina,3,1,34,2
2020-03-15,Argentina,11,0,45,2
2020-03-16,Argentina,11,0,56,2
2020-03-17,Argentina,9,0,65,2
2020-03-02,Armenia,,,1,
2020-03-03,Armenia,0,,1,
2020-03-04,Armenia,0,,1,
2020-03-05,Armenia,0,,1,
2020-03-06,Armenia,0,,1,
2020-03-07,Armenia,0,,1,
2020-03-08,Armenia,0,,1,
2020-03-09,Armenia,0,,1,
2020-03-10,Armenia,0,,1,
2020-03-11,Armenia,0,,1,
2020-03-12,Armenia,0,,1,
2020-03-13,Armenia,0,,1,
2020-03-14,Armenia,7,,8,
2020-03-15,Armenia,0,,8,
2020-03-16,Armenia,18,,26,
2020-03-17,Armenia,26,,52,
2020-03-17,Aruba,,,2,
2020-01-25,Australia,,,3,
2020-01-26,Australia,1,,4,
2020-01-27,Australia,0,,4,
2020-01-28,Australia,1,,5,
2020-01-29,Australia,2,,7,
2020-01-30,Australia,0,,7,
2020-01-31,Australia,2,,9,
2020-02-01,Australia,3,,12,
2020-02-02,Australia,0,,12,
2020-02-03,Australia,0,,12,
2020-02-04,Australia,0,,12,
2020-02-05,Australia,1,,13,
2020-02-06,Australia,1,,14,
2020-02-07,Australia,1,,15,
2020-02-08,Australia,0,,15,
2020-02-09,Australia,0,,15,
2020-02-10,Australia,0,,15,
2020-02-11,Australia,0,,15,
2020-02-12,Australia,0,,15,
2020-02-13,Australia,0,,15,
2020-02-14,Australia,0,,15,
2020-02-15,Australia,0,,15,
2020-02-16,Australia,0,,15,
2020-02-17,Australia,0,,15,
2020-02-18,Australia,0,,15,
2020-02-19,Australia,0,,15,
2020-02-20,Australia,0,,15,
2020-02-21,Australia,2,,17,
2020-02-22,Australia,4,,21,
2020-02-23,Australia,1,,22,
2020-02-24,Australia,0,,22,
2020-02-25,Australia,0,,22,
2020-02-26,Australia,1,,23,
2020-02-27,Australia,0,,23,
2020-02-28,Australia,0,,23,
2020-02-29,Australia,1,,24,
2020-03-01,Australia,1,,25,
2020-03-02,Australia,2,,27,1
2020-03-03,Australia,6,0,33,1
2020-03-04,Australia,10,0,43,1
2020-03-05,Australia,14,0,57,1
2020-03-06,Australia,0,1,57,2
2020-03-07,Australia,5,0,62,2
2020-03-08,Australia,12,1,74,3
2020-03-09,Australia,3,0,77,3
2020-03-10,Australia,15,0,92,3
2020-03-11,Australia,20,0,112,3
2020-03-12,Australia,10,0,122,3
2020-03-13,Australia,18,0,140,3
2020-03-14,Australia,57,0,197,3
2020-03-15,Australia,52,0,249,3
2020-03-16,Australia,49,2,298,5
2020-03-17,Australia,77,0,375,5
2020-02-26,Austria,,,2,
2020-02-27,Austria,0,,2,
2020-02-28,Austria,2,,4,
2020-02-29,Austria,1,,5,
2020-03-01,Austria,5,,10,
2020-03-02,Austria,0,,10,
2020-03-03,Austria,8,,18,
2020-03-04,Austria,6,,24,
2020-03-05,Austria,13,,37,
2020-03-06,Austria,10,,47,
2020-03-07,Austria,19,,66,
2020-03-08,Austria,38,,104,
2020-03-09,Austria,8,,112,
2020-03-10,Austria,19,,131,
2020-03-11,Austria,51,,182,
2020-03-12,Austria,120,,302,
2020-03-13,Austria,59,,361,1
2020-03-14,Austria,143,0,504,1
2020-03-15,Austria,296,0,800,1
2020-03-16,Austria,159,0,959,1
2020-03-17,Austria,173,2,1132,3
2020-03-01,Azerbaijan,,,3,
2020-03-02,Azerbaijan,0,,3,
2020-03-03,Azerbaijan,0,,3,
2020-03-04,Azerbaijan,0,,3,
2020-03-05,Azerbaijan,0,,3,
2020-03-06,Azerbaijan,0,,3,
2020-03-07,Azerbaijan,6,,9,
2020-03-08,Azerbaijan,0,,9,
2020-03-09,Azerbaijan,0,,9,
2020-03-10,Azerbaijan,0,,9,
2020-03-11,Azerbaijan,0,,9,
2020-03-12,Azerbaijan,0,,9,
2020-03-13,Azerbaijan,2,,11,
2020-03-14,Azerbaijan,0,,11,
2020-03-15,Azerbaijan,8,,19,
2020-03-16,Azerbaijan,0,,19,
2020-03-17,Azerbaijan,0,,19,
2020-03-17,Bahamas,,,1,
2020-02-25,Bahrain,,,8,
2020-02-26,Bahrain,18,,26,
2020-02-27,Bahrain,7,,33,
2020-02-28,Bahrain,0,,33,
2020-02-29,Bahrain,5,,38,
2020-03-01,Bahrain,2,,40,
2020-03-02,Bahrain,7,,47,
2020-03-03,Bahrain,2,,49,
2020-03-04,Bahrain,0,,49,
2020-03-05,Bahrain,0,,49,
2020-03-06,Bahrain,0,,49,
2020-03-07,Bahrain,0,,49,
2020-03-08,Bahrain,7,,56,
2020-03-09,Bahrain,23,,79,
2020-03-10,Bahrain,30,,109,
2020-03-11,Bahrain,1,,110,
2020-03-12,Bahrain,79,,189,
2020-03-13,Bahrain,6,,195,
2020-03-14,Bahrain,15,,210,
2020-03-15,Bahrain,1,,211,
2020-03-16,Bahrain,10,,221,1
2020-03-17,Bahrain,8,0,229,1
2020-03-09,Bangladesh,,,3,
2020-03-10,Bangladesh,0,,3,
2020-03-11,Bangladesh,0,,3,
2020-03-12,Bangladesh,0,,3,
2020-03-13,Bangladesh,0,,3,
2020-03-14,Bangladesh,0,,3,
2020-03-15,Bangladesh,0,,3,
2020-03-16,Bangladesh,2,,5,
2020-03-17,Bangladesh,3,,8,
2020-02-28,Belarus,,,1,
2020-02-29,Belarus,0,,1,
2020-03-01,Belarus,0,,1,
2020-03-02,Belarus,0,,1,
2020-03-03,Belarus,0,,1,
2020-03-04,Belarus,0,,1,
2020-03-05,Belarus,5,,6,
2020-03-06,Belarus,0,,6,
2020-03-07,Belarus,0,,6,
2020-03-08,Belarus,0,,6,
2020-03-09,Belarus,0,,6,
2020-03-10,Belarus,0,,6,
2020-03-11,Belarus,3,,9,
2020-03-12,Belarus,3,,12,
2020-03-13,Belarus,0,,12,
2020-03-14,Belarus,9,,21,
2020-03-15,Belarus,0,,21,
2020-03-16,Belarus,15,,36,
2020-03-17,Belarus,0,,36,
2020-02-05,Belgium,,,1,
2020-02-06,Belgium,0,,1,
2020-02-07,Belgium,0,,1,
2020-02-08,Belgium,0,,1,
2020-02-09,Belgium,0,,1,
2020-02-10,Belgium,0,,1,
2020-02-11,Belgium,0,,1,
2020-02-12,Belgium,0,,1,
2020-02-13,Belgium,0,,1,
2020-02-14,Belgium,0,,1,
2020-02-15,Belgium,0,,1,
2020-02-16,Belgium,0,,1,
2020-02-17,Belgium,0,,1,
2020-02-18,Belgium,0,,1,
2020-02-19,Belgium,0,,1,
2020-02-20,Belgium,0,,1,
2020-02-21,Belgium,0,,1,
2020-02-22,Belgium,0,,1,
2020-02-23,Belgium,0,,1,
2020-02-24,Belgium,0,,1,
2020-02-25,Belgium,0,,1,
2020-02-26,Belgium,0,,1,
2020-02-27,Belgium,0,,1,
2020-02-28,Belgium,0,,1,
2020-02-29,Belgium,0,,1,
2020-03-01,Belgium,0,,1,
2020-03-02,Belgium,0,,1,
2020-03-03,Belgium,7,,8,
2020-03-04,Belgium,0,,8,
2020-03-05,Belgium,15,,23,
2020-03-06,Belgium,27,,50,
2020-03-07,Belgium,59,,109,
