date,people_vaccinated,people_fully_vaccinated,total_vaccinations,location,vaccine,source_url
2021-02-15,0,0.0,0.0,Trinidad and Tobago,Oxford/AstraZeneca,https://www.looptt.com/content/health-ministry-give-1st-batch-covid-19-vaccines-staff
2021-02-22,440,0.0,440.0,Trinidad and Tobago,Oxford/AstraZeneca,https://trinidadexpress.com/newsextra/no-vaccine-for-children-pregnant-breast-feeding/article_4bf5c4ba-752d-11eb-9b08-c74c78f65525.html
2021-02-27,991,0.0,991.0,Trinidad and Tobago,Oxford/AstraZeneca,https://www.looptt.com/content/100800-vaccines-approved-tt-deyalsingh-announces
2021-04-08,4777,0.0,4777.0,"Trinidad and Tobago",Oxford/AstraZeneca,https://health.gov.tt/covid-19-update-thursday-8th-april-2021
2021-04-15,13087,0.0,13087.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-16,15425,0.0,15425.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-17,16414,0.0,16414.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-18,16462,0.0,16462.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-19,17695,0.0,17695.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-20,19475,0.0,19475.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-21,21231,0.0,21231.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-22,24086,0.0,24086.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-23,27697,0.0,27697.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-24,30808,0.0,30808.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-25,34353,0.0,34353.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-26,41549,0.0,41549.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-27,41669,0.0,41669.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-28,42082,0.0,42082.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-29,42154,0.0,42154.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
2021-04-30,42455,0.0,42455.0,Trinidad and Tobago,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
