location,vaccine,source_url,date,total_vaccinations,people_vaccinated,people_fully_vaccinated
Cayman Islands,Pfizer/BioNTech,https://www.caymancompass.com/2021/01/25/vaccinations-move-to-stage-2-this-week/,2020-12-26,0,0,0
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-04,11008,7811,3197
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-09,13609,8839,4770
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-10,14086,8912,5174
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-12,15543,9172,6371
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-17,16725,9783,6942
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-19,17285,10277,7008
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-20,18159,10521,7638
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-23,19938,12245,7693
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-24,20468,12710,7758
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-25,21106,,
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-03-03,24008,,
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-news,2021-03-05,26580,17702,8878
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-news,2021-03-12,31980,21864,10116
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-03-16,35984,24366,11648
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-03-18,38304,25957,12347
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-03-19,39145,26321,12824
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-03-22,41155,27611,13544
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-03-24,43023,28248,14775
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-03-25,44061,28605,15456
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-03-29,47602,29644,17958
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-03-31,49561,30476,19085
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-04-01,50763,30607,20156
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-04-07,53474,31302,22172
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-04-08,55053,31459,23594
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-04-09,56214,31661,24553
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-04-13,59473,32969,26504
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-04-15,60637,33544,27093
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics,2021-04-16,61114,33808,27306
