location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
North Macedonia,2021-02-16,Pfizer/BioNTech,0,0,,https://apnews.com/article/serbia-skopje-infectious-diseases-coronavirus-pandemic-northmacedonia-c64359652eff076bdce9387d383541cc
North Macedonia,2021-03-16,Pfizer/BioNTech,5300,5300,,https://www.facebook.com/filipce.venko/photos/a.1822571701383188/2642857916021225/?type=3&theater
North Macedonia,2021-03-31,Pfizer/BioNTech,7735,7735,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-02,Pfizer/BioNTech,8398,8398,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-03,Pfizer/BioNTech,9003,9003,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-05,Pfizer/BioNTech,12052,12052,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-07,Pfizer/BioNTech,15419,15419,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-08,Pfizer/BioNTech,18261,18261,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-09,Pfizer/BioNTech,21333,21333,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-10,Pfizer/BioNTech,24020,24020,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-12,Pfizer/BioNTech,26014,26014,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-13,Pfizer/BioNTech,29263,29263,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-14,Pfizer/BioNTech,31460,31460,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-16,Pfizer/BioNTech,38626,38626,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-18,Pfizer/BioNTech,38971,38971,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-19,Pfizer/BioNTech,41421,41421,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-21,Pfizer/BioNTech,43032,43032,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-22,Pfizer/BioNTech,44974,44974,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-24,Pfizer/BioNTech,49804,49804,,https://kovid19vakcinacija.mk/
North Macedonia,2021-04-25,Pfizer/BioNTech,51853,51853,,https://kovid19vakcinacija.mk/
