date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,vaccine,source_url
2021-01-21,3558,,,Isle of Man,Pfizer/BioNTech,https://covid19.gov.im/general-information/latest-updates/
2021-01-22,3648,,,Isle of Man,Pfizer/BioNTech,https://covid19.gov.im/general-information/latest-updates/
2021-01-25,4209,3897,312,Isle of Man,Pfizer/BioNTech,https://covid19.gov.im/general-information/latest-updates/
2021-01-26,4886,4247,639,Isle of Man,Pfizer/BioNTech,https://covid19.gov.im/general-information/latest-updates/
2021-01-29,6859,5829,1030,Isle of Man,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-02,8302,6883,1419,Isle of Man,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-03,9563,7387,2176,Isle of Man,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-04,10213,8030,2183,Isle of Man,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-05,10224,8041,2183,Isle of Man,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-06,10852,8669,2183,Isle of Man,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-07,11247,9063,2184,Isle of Man,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-08,11654,9466,2188,Isle of Man,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-09,12026,9469,2557,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-10,12441,9485,2956,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-13,13497,10170,3327,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-14,13733,10405,3328,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-16,14272,10678,3594,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-17,14806,10949,3857,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-18,15294,11184,4110,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-19,17150,12467,4683,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-20,17180,12468,4712,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-22,17807,13075,4732,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-23,18041,13077,4964,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-24,18323,13122,5201,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-25,18795,13286,5509,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-26,19884,13600,6284,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-27,20831,13883,6948,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-02-28,21452,14123,7329,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-01,21998,14316,7682,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-02,22785,15084,7701,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-03,23429,15719,7710,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-04,23438,15727,7711,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-05,23883,15792,8091,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-06,24309,15824,8485,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-07,24798,15832,8966,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-08,25086,15833,9253,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-09,26172,16910,9262,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-10,27326,18043,9283,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-11,28431,19138,9293,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-12,29794,19885,9909,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-13,31026,19926,11100,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-14,32027,20690,11337,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-15,32742,21405,11337,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-16,33335,21995,11340,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-18,33336,21996,11340,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-27,47294,32286,15008,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.facebook.com/iomgovernment/photos/a.201016003920310/722610151760890
2021-03-30,49787,34480,15307,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-03-31,50426,35115,15311,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-01,51602,36290,15312,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-02,52831,37491,15340,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-03,54075,38727,15348,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-04,54480,39132,15348,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-05,54923,39575,15348,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-06,56040,40692,15348,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-07,57234,41846,15388,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-08,58497,43094,15403,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-09,59758,44343,15415,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-10,60889,45462,15427,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-11,61296,45855,15441,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-12,61699,46245,15454,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-13,62899,47438,15461,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-14,63488,48021,15467,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-15,63674,48205,15469,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-16,64099,48625,15474,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-17,64481,49004,15477,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-18,65085,49608,15477,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-19,65675,50191,15484,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-20,66414,50923,15491,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-21,67082,51585,15497,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-22,67915,52407,15508,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-23,68442,52864,15578,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-25,69658,54002,15656,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-26,70249,54555,15694,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-27,70810,55110,15700,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-28,71703,55945,15758,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-04-29,72617,56844,15773,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-05-01,72626,56849,15777,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-05-03,72673,56896,15777,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-05-04,73471,57681,15790,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-05-06,75013,59217,15796,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
2021-05-08,75037,59238,15799,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
