total_vaccinations,date,location,source_url,vaccine,people_vaccinated,people_fully_vaccinated
4182027,2021-02-15,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,3608148,573879
4630784,2021-02-16,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,3984622,646162
5223602,2021-02-17,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,4477432,746170
5895295,2021-02-18,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,5028179,867116
6361699,2021-02-19,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,5384983,976716
6533510,2021-02-20,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,5503094,1030416
6571830,2021-02-21,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,5517993,1053837
6837302,2021-02-22,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,5738471,1098831
7289498,2021-02-23,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,6106522,1182976
7619695,2021-02-24,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,6352410,1267285
7979726,2021-02-25,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,6582239,1397487
8298805,2021-02-26,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,6745147,1553658
8514775,2021-02-27,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,6854642,1660133
8547875,2021-02-28,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,6869923,1677952
8774718,2021-03-01,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,6975558,1799160
9073640,2021-03-02,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7123722,1949918
9317546,2021-03-03,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7240515,2077031
9560038,2021-03-04,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7353536,2206502
9756289,2021-03-05,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7446337,2309952
9883607,2021-03-06,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7509923,2373684
9917348,2021-03-07,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7524943,2392405
10001980,2021-03-08,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7565023,2436957
10222994,2021-03-09,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7676519,2546475
10360283,2021-03-10,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7745480,2614803
10502494,2021-03-11,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7807838,2694656
10742277,2021-03-12,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7858565,2883712
10923284,2021-03-13,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7887544,3035740
10992095,2021-03-14,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7892795,3099300
11261612,2021-03-15,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7911946,3349666
11696296,2021-03-16,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7948320,3747976
12142245,2021-03-17,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7977222,4165023
12431482,2021-03-18,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,7991510,4439972
12844577,2021-03-19,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,8007734,4836843
13029754,2021-03-20,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,8016078,5013676
13057722,2021-03-21,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,8017698,5040024
13265952,2021-03-22,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,8045789,5220163
13589167,2021-03-23,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,8091685,5497482
13969867,2021-03-24,Turkey,https://covid19asi.saglik.gov.tr/,Sinovac,8133043,5836824
14227410,2021-03-25,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",8163156,6064254
14491247,2021-03-26,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",8195554,6295693
14652659,2021-03-27,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",8217124,6435535
14949260,2021-03-29,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",8370872,6578388
15301462,2021-03-30,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",8614368,6687094
15834787,2021-03-31,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",8994454,6840333
16148683,2021-04-01,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",9206500,6942183
16317170,2021-04-02,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",9313746,7003424
16602919,2021-04-03,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",9478896,7124023
16683067,2021-04-04,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",9546643,7136424
16993574,2021-04-05,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",9796506,7197068
17367875,2021-04-06,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",10088238,7279637
17704888,2021-04-07,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",10359390,7345498
18089783,2021-04-08,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",10627037,7462746
18320384,2021-04-09,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",10777451,7542933
18445354,2021-04-10,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",10865731,7579623
18494796,2021-04-11,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",10907432,7587364
18728978,2021-04-12,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",11108847,7620131
19062758,2021-04-13,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",11388406,7674352
19272675,2021-04-14,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",11556291,7716384
19445269,2021-04-15,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",11708135,7737134
19811774,2021-04-16,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",12038403,7773371
19937359,2021-04-17,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",12151728,7785631
19970215,2021-04-18,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",12182430,7787785
20075504,2021-04-19,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",12260361,7815143
20283227,2021-04-20,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",12426580,7856647
20477685,2021-04-21,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",12590582,7887103
20728975,2021-04-22,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",12796678,7932297
20887427,2021-04-23,Turkey,https://covid19asi.saglik.gov.tr/,"Pfizer/BioNTech, Sinovac",12940482,7946945
