date,total_vaccinations,location,people_fully_vaccinated,people_vaccinated,vaccine,source_url
2021-03-29,2965613,Romania,1002464,1963149,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-30,3030031,Romania,1039638,1990393,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-31,3088292,Romania,1072985,2015307,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-01,3145907,Romania,1105375,2040532,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-02,3203876,Romania,1138301,2065575,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-03,3259301,Romania,1168837,2090464,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-04,3307636,Romania,1196714,2110922,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-05,3359006,Romania,1226982,2132024,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-06,3413955,Romania,1258049,2155906,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-07,3469294,Romania,1288487,2180807,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-08,3526117,Romania,1319863,2206254,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-09,3580406,Romania,1351608,2228798,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-10,3642345,Romania,1383993,2258352,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-11,3699333,Romania,1412787,2286546,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-12,3762214,Romania,1435730,2326484,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-13,3838804,Romania,1466149,2372655,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
