date,people_fully_vaccinated,people_vaccinated,total_vaccinations,location,vaccine,source_url
2020-12-27,0,191,191.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2020-12-28,0,509,509.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2020-12-29,0,876,876.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2020-12-30,0,1890,1890.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2020-12-31,0,2476,2476.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-01,0,2476,2476.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-02,0,2506,2506.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-03,0,2524,2524.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-04,0,3166,3166.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-05,0,4977,4977.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-06,0,6588,6588.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-07,0,7931,7931.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-08,0,10146,10146.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-09,0,10697,10697.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-10,0,10920,10920.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-11,1,11769,11770.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-12,1,13349,13350.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-13,1,14744,14745.0,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee
2021-01-14,1,16524,16525.0,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee
2021-01-15,1,17805,17806.0,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee
2021-01-16,1,18025,18026.0,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee
2021-01-17,67,18055,18122.0,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee
2021-01-18,442,18714,19156.0,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee
2021-01-19,845,19473,20318.0,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee
2021-01-20,1475,20326,21801.0,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee
2021-01-21,2140,21843,23983.0,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee
2021-01-22,2409,23078,25487.0,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee
2021-01-23,2412,23333,25745.0,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee
2021-01-24,2412,23494,25906.0,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee
2021-01-25,3099,23870,26969.0,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee
