location,date,total_vaccinations,vaccine,source_url,people_vaccinated,people_fully_vaccinated
Guatemala,2021-02-25,0,Moderna,https://www.prensalibre.com/guatemala/comunitario/primeras-vacunas-contra-el-coronavirus-donadas-por-israel-llegan-a-guatemala-breaking/,0,0
Guatemala,2021-02-27,2224,Moderna,https://tablerocovid.mspas.gob.gt/,2224,0
Guatemala,2021-03-01,2427,Moderna,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,2427,0
Guatemala,2021-03-11,19947,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,19947,0
Guatemala,2021-03-12,28534,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,28534,0
Guatemala,2021-03-13,30890,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,30890,0
Guatemala,2021-03-14,34217,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,34217,0
Guatemala,2021-03-15,42330,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,42330,0
Guatemala,2021-03-16,48130,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,48130,0
Guatemala,2021-03-17,55060,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,55060,0
Guatemala,2021-03-18,60182,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,60182,0
Guatemala,2021-03-19,66399,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,66399,0
Guatemala,2021-03-20,68852,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,68852,0
Guatemala,2021-03-21,69266,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,69266,0
