location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
Saint Lucia,2021-02-16,Oxford/AstraZeneca,0,0,0,https://www.loopslu.com/content/slmda-excited-vaccination-rollout-begin
Saint Lucia,2021-03-04,Oxford/AstraZeneca,2094,2094,0,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/a.2596703290449740/3920340978085958/?type=3&theater
Saint Lucia,2021-03-12,Oxford/AstraZeneca,17389,17389,0,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/3943336199119769
Saint Lucia,2021-03-19,Oxford/AstraZeneca,20247,20247,0,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/a.2596703290449740/3960352537418135/
Saint Lucia,2021-03-28,Oxford/AstraZeneca,21494,,,https://www.covid19response.lc/
Saint Lucia,2021-03-30,Oxford/AstraZeneca,22011,,,https://www.covid19response.lc/
Saint Lucia,2021-03-31,Oxford/AstraZeneca,22357,,,https://www.covid19response.lc/
Saint Lucia,2021-04-01,Oxford/AstraZeneca,22554,,,https://www.covid19response.lc/
Saint Lucia,2021-04-07,Oxford/AstraZeneca,22839,,,https://www.covid19response.lc/
Saint Lucia,2021-04-08,Oxford/AstraZeneca,22935,,,https://www.covid19response.lc/
Saint Lucia,2021-04-09,Oxford/AstraZeneca,23150,,,https://www.covid19response.lc/
Saint Lucia,2021-04-10,Oxford/AstraZeneca,23257,,,https://www.covid19response.lc/
Saint Lucia,2021-04-14,Oxford/AstraZeneca,23345,,,https://www.covid19response.lc/
Saint Lucia,2021-04-16,Oxford/AstraZeneca,23575,,,https://www.covid19response.lc/
Saint Lucia,2021-04-17,Oxford/AstraZeneca,23664,,,https://www.covid19response.lc/
Saint Lucia,2021-04-19,Oxford/AstraZeneca,23688,,,https://www.covid19response.lc/
Saint Lucia,2021-04-21,Oxford/AstraZeneca,23829,,,https://www.covid19response.lc/
Saint Lucia,2021-04-23,Oxford/AstraZeneca,23861,,,https://www.covid19response.lc/
Saint Lucia,2021-04-24,Oxford/AstraZeneca,23941,,,https://www.covid19response.lc/
Saint Lucia,2021-04-27,Oxford/AstraZeneca,24014,,,https://www.covid19response.lc/
Saint Lucia,2021-04-28,Oxford/AstraZeneca,24123,,,https://www.covid19response.lc/
Saint Lucia,2021-04-29,Oxford/AstraZeneca,24230,,,https://www.covid19response.lc/
Saint Lucia,2021-04-30,Oxford/AstraZeneca,24266,,,https://www.covid19response.lc/
Saint Lucia,2021-05-01,Oxford/AstraZeneca,24426,,,https://www.covid19response.lc/
Saint Lucia,2021-05-04,Oxford/AstraZeneca,24653,,,https://www.covid19response.lc/
Saint Lucia,2021-05-06,Oxford/AstraZeneca,24773,,,https://www.covid19response.lc/
