location,date,vaccine,total_vaccinations,people_vaccinated,source_url,people_fully_vaccinated
Ghana,2021-03-01,Oxford/AstraZeneca,0,0,https://www.africanews.com/2021/03/03/skepticism-as-ghana-begins-mass-covid-19-vaccination-drive/,
Ghana,2021-03-08,Oxford/AstraZeneca,202252,202252,https://twitter.com/tv3_ghana/status/1369195860102373381,
Ghana,2021-03-10,Oxford/AstraZeneca,300000,300000,https://yen.com.gh/183605-government-sanction-refusing-covid-19-vaccine-oppong-nkrumah.html,
Ghana,2021-03-18,Oxford/AstraZeneca,420000,420000,https://reliefweb.int/report/world/africa-s-covid-19-vaccination-gains-pace-nearly-7-million-doses-given,
Ghana,2021-03-24,Oxford/AstraZeneca,500000,500000,https://twitter.com/utvghana/status/1374700183347470342,
Ghana,2021-04-07,Oxford/AstraZeneca,599128,599128,https://www.ghanahealthservice.org/covid19/press-releases.php,0.0
Ghana,2021-04-08,Oxford/AstraZeneca,647380,647380,https://www.ghanahealthservice.org/covid19/press-releases.php,0.0
Ghana,2021-04-09,Oxford/AstraZeneca,681211,681211,https://www.ghanahealthservice.org/covid19/press-releases.php,0.0
Ghana,2021-04-11,Oxford/AstraZeneca,703752,703752,https://www.ghanahealthservice.org/covid19/press-releases.php,0.0
Ghana,2021-04-12,Oxford/AstraZeneca,742349,742349,https://www.ghanahealthservice.org/covid19/press-releases.php,0.0
