vaccine,date,total_vaccinations,location
Pfizer/BioNTech,2020-12-24,420.0,Chile
Pfizer/BioNTech,2020-12-25,5198.0,Chile
Pfizer/BioNTech,2020-12-26,8338.0,Chile
Pfizer/BioNTech,2020-12-27,8649.0,Chile
Pfizer/BioNTech,2020-12-28,8649.0,Chile
Pfizer/BioNTech,2020-12-29,8649.0,Chile
Pfizer/BioNTech,2020-12-30,8649.0,Chile
Pfizer/BioNTech,2020-12-31,8649.0,Chile
Pfizer/BioNTech,2021-01-01,8649.0,Chile
Pfizer/BioNTech,2021-01-02,8649.0,Chile
Pfizer/BioNTech,2021-01-03,8649.0,Chile
Pfizer/BioNTech,2021-01-04,9054.0,Chile
Pfizer/BioNTech,2021-01-05,10497.0,Chile
Pfizer/BioNTech,2021-01-06,10702.0,Chile
Pfizer/BioNTech,2021-01-07,10702.0,Chile
Pfizer/BioNTech,2021-01-08,10702.0,Chile
Pfizer/BioNTech,2021-01-09,10702.0,Chile
Pfizer/BioNTech,2021-01-10,10702.0,Chile
Pfizer/BioNTech,2021-01-11,10702.0,Chile
Pfizer/BioNTech,2021-01-12,10702.0,Chile
Pfizer/BioNTech,2021-01-13,11732.0,Chile
Pfizer/BioNTech,2021-01-14,18646.0,Chile
Pfizer/BioNTech,2021-01-15,22077.0,Chile
Pfizer/BioNTech,2021-01-16,22167.0,Chile
Pfizer/BioNTech,2021-01-17,22167.0,Chile
Pfizer/BioNTech,2021-01-18,33212.0,Chile
Pfizer/BioNTech,2021-01-19,52569.0,Chile
Pfizer/BioNTech,2021-01-20,61878.0,Chile
Pfizer/BioNTech,2021-01-21,64939.0,Chile
Pfizer/BioNTech,2021-01-22,65351.0,Chile
Pfizer/BioNTech,2021-01-23,65351.0,Chile
Pfizer/BioNTech,2021-01-24,65351.0,Chile
Pfizer/BioNTech,2021-01-25,66771.0,Chile
Pfizer/BioNTech,2021-01-26,67387.0,Chile
Pfizer/BioNTech,2021-01-27,67422.0,Chile
Pfizer/BioNTech,2021-01-28,67422.0,Chile
Pfizer/BioNTech,2021-01-29,67427.0,Chile
Pfizer/BioNTech,2021-01-30,67428.0,Chile
Pfizer/BioNTech,2021-01-31,67428.0,Chile
Pfizer/BioNTech,2021-02-01,67428.0,Chile
Pfizer/BioNTech,2021-02-02,67434.0,Chile
Pfizer/BioNTech,2021-02-03,67434.0,Chile
Pfizer/BioNTech,2021-02-04,69562.0,Chile
Pfizer/BioNTech,2021-02-05,70250.0,Chile
Pfizer/BioNTech,2021-02-06,70255.0,Chile
Pfizer/BioNTech,2021-02-07,70256.0,Chile
Pfizer/BioNTech,2021-02-08,82047.0,Chile
Pfizer/BioNTech,2021-02-09,101502.0,Chile
Pfizer/BioNTech,2021-02-10,109937.0,Chile
Pfizer/BioNTech,2021-02-11,113006.0,Chile
Pfizer/BioNTech,2021-02-12,113361.0,Chile
Pfizer/BioNTech,2021-02-13,113395.0,Chile
Pfizer/BioNTech,2021-02-14,113395.0,Chile
Pfizer/BioNTech,2021-02-15,113396.0,Chile
Pfizer/BioNTech,2021-02-16,113406.0,Chile
Pfizer/BioNTech,2021-02-17,113406.0,Chile
Pfizer/BioNTech,2021-02-18,113407.0,Chile
Pfizer/BioNTech,2021-02-19,113407.0,Chile
Pfizer/BioNTech,2021-02-20,113407.0,Chile
Pfizer/BioNTech,2021-02-21,113407.0,Chile
Pfizer/BioNTech,2021-02-22,125502.0,Chile
Pfizer/BioNTech,2021-02-23,150348.0,Chile
Pfizer/BioNTech,2021-02-24,178870.0,Chile
Pfizer/BioNTech,2021-02-25,212584.0,Chile
Pfizer/BioNTech,2021-02-26,242318.0,Chile
Pfizer/BioNTech,2021-02-27,248642.0,Chile
Pfizer/BioNTech,2021-02-28,248644.0,Chile
Pfizer/BioNTech,2021-03-01,263543.0,Chile
Pfizer/BioNTech,2021-03-02,294465.0,Chile
Pfizer/BioNTech,2021-03-03,313022.0,Chile
Pfizer/BioNTech,2021-03-04,322126.0,Chile
Pfizer/BioNTech,2021-03-05,327880.0,Chile
Pfizer/BioNTech,2021-03-06,328224.0,Chile
Pfizer/BioNTech,2021-03-07,328330.0,Chile
Pfizer/BioNTech,2021-03-08,340919.0,Chile
Pfizer/BioNTech,2021-03-09,378510.0,Chile
Pfizer/BioNTech,2021-03-10,420131.0,Chile
Pfizer/BioNTech,2021-03-11,465869.0,Chile
Pfizer/BioNTech,2021-03-12,483274.0,Chile
Pfizer/BioNTech,2021-03-13,483828.0,Chile
Pfizer/BioNTech,2021-03-14,483828.0,Chile
Pfizer/BioNTech,2021-03-15,507723.0,Chile
Pfizer/BioNTech,2021-03-16,561239.0,Chile
Pfizer/BioNTech,2021-03-17,616753.0,Chile
Pfizer/BioNTech,2021-03-18,666315.0,Chile
Pfizer/BioNTech,2021-03-19,689480.0,Chile
Pfizer/BioNTech,2021-03-20,691398.0,Chile
Pfizer/BioNTech,2021-03-21,691408.0,Chile
Pfizer/BioNTech,2021-03-22,727483.0,Chile
Pfizer/BioNTech,2021-03-23,787384.0,Chile
Pfizer/BioNTech,2021-03-24,840264.0,Chile
Pfizer/BioNTech,2021-03-25,894837.0,Chile
Pfizer/BioNTech,2021-03-26,932827.0,Chile
Pfizer/BioNTech,2021-03-27,934855.0,Chile
Pfizer/BioNTech,2021-03-28,934855.0,Chile
Pfizer/BioNTech,2021-03-29,956870.0,Chile
Pfizer/BioNTech,2021-03-30,1014316.0,Chile
Pfizer/BioNTech,2021-03-31,1060451.0,Chile
Pfizer/BioNTech,2021-04-01,1084213.0,Chile
Pfizer/BioNTech,2021-04-02,1084432.0,Chile
Pfizer/BioNTech,2021-04-03,1084622.0,Chile
Pfizer/BioNTech,2021-04-04,1084622.0,Chile
Pfizer/BioNTech,2021-04-05,1115686.0,Chile
Pfizer/BioNTech,2021-04-06,1198358.0,Chile
Pfizer/BioNTech,2021-04-07,1287501.0,Chile
Pfizer/BioNTech,2021-04-08,1365625.0,Chile
Pfizer/BioNTech,2021-04-09,1414691.0,Chile
Pfizer/BioNTech,2021-04-10,1422397.0,Chile
Pfizer/BioNTech,2021-04-11,1422902.0,Chile
Pfizer/BioNTech,2021-04-12,1487579.0,Chile
Pfizer/BioNTech,2021-04-13,1575535.0,Chile
Pfizer/BioNTech,2021-04-14,1664619.0,Chile
Pfizer/BioNTech,2021-04-15,1732281.0,Chile
Pfizer/BioNTech,2021-04-16,1782836.0,Chile
Pfizer/BioNTech,2021-04-17,1788758.0,Chile
Pfizer/BioNTech,2021-04-18,1789432.0,Chile
Pfizer/BioNTech,2021-04-19,1813464.0,Chile
Pfizer/BioNTech,2021-04-20,1857631.0,Chile
Pfizer/BioNTech,2021-04-21,1902366.0,Chile
Sinovac,2021-02-02,13192.0,Chile
Sinovac,2021-02-03,183551.0,Chile
Sinovac,2021-02-04,357556.0,Chile
Sinovac,2021-02-05,526217.0,Chile
Sinovac,2021-02-06,554068.0,Chile
Sinovac,2021-02-07,562705.0,Chile
Sinovac,2021-02-08,784146.0,Chile
Sinovac,2021-02-09,1026513.0,Chile
Sinovac,2021-02-10,1298918.0,Chile
Sinovac,2021-02-11,1549959.0,Chile
Sinovac,2021-02-12,1779040.0,Chile
Sinovac,2021-02-13,1808545.0,Chile
Sinovac,2021-02-14,1813011.0,Chile
Sinovac,2021-02-15,2078843.0,Chile
Sinovac,2021-02-16,2298819.0,Chile
Sinovac,2021-02-17,2486864.0,Chile
Sinovac,2021-02-18,2642108.0,Chile
Sinovac,2021-02-19,2784216.0,Chile
Sinovac,2021-02-20,2793855.0,Chile
Sinovac,2021-02-21,2795019.0,Chile
Sinovac,2021-02-22,2891050.0,Chile
Sinovac,2021-02-23,2960457.0,Chile
Sinovac,2021-02-24,3018199.0,Chile
Sinovac,2021-02-25,3070556.0,Chile
Sinovac,2021-02-26,3119049.0,Chile
Sinovac,2021-02-27,3122768.0,Chile
