date,location,vaccine,total_vaccinations
2021-04-09,Germany,Pfizer/BioNTech,13195353
2021-04-10,Germany,Pfizer/BioNTech,13441046
2021-04-11,Germany,Pfizer/BioNTech,13608852
2021-04-12,Germany,Pfizer/BioNTech,13887172
2021-04-13,Germany,Pfizer/BioNTech,14315845
2021-04-14,Germany,Pfizer/BioNTech,14932580
2021-04-15,Germany,Pfizer/BioNTech,15463931
2021-04-16,Germany,Pfizer/BioNTech,15900256
2021-04-17,Germany,Pfizer/BioNTech,16123118
2021-04-18,Germany,Pfizer/BioNTech,16294203
2021-04-19,Germany,Pfizer/BioNTech,16583216
2021-04-20,Germany,Pfizer/BioNTech,16960702
2021-04-21,Germany,Pfizer/BioNTech,17409715
2021-04-22,Germany,Pfizer/BioNTech,17789250
2021-04-23,Germany,Pfizer/BioNTech,18138757
2021-04-24,Germany,Pfizer/BioNTech,18376822
2021-04-25,Germany,Pfizer/BioNTech,18563978
2021-04-26,Germany,Pfizer/BioNTech,18878200
2021-04-27,Germany,Pfizer/BioNTech,19552709
2021-04-28,Germany,Pfizer/BioNTech,20558281
2021-04-29,Germany,Pfizer/BioNTech,21376431
2021-04-30,Germany,Pfizer/BioNTech,22049834
2021-05-01,Germany,Pfizer/BioNTech,22299750
2021-05-02,Germany,Pfizer/BioNTech,22493563
2021-05-03,Germany,Pfizer/BioNTech,22803362
2021-05-04,Germany,Pfizer/BioNTech,23419441
2021-05-05,Germany,Pfizer/BioNTech,24240256
2020-12-27,Germany,Moderna,1
2020-12-28,Germany,Moderna,1
2020-12-29,Germany,Moderna,1
2020-12-30,Germany,Moderna,1
2020-12-31,Germany,Moderna,1
2021-01-01,Germany,Moderna,1
2021-01-02,Germany,Moderna,1
2021-01-03,Germany,Moderna,1
2021-01-04,Germany,Moderna,1
2021-01-05,Germany,Moderna,2
2021-01-06,Germany,Moderna,8
2021-01-07,Germany,Moderna,12
2021-01-08,Germany,Moderna,60
2021-01-09,Germany,Moderna,60
2021-01-10,Germany,Moderna,60
2021-01-11,Germany,Moderna,61
2021-01-12,Germany,Moderna,66
2021-01-13,Germany,Moderna,863
2021-01-14,Germany,Moderna,5490
2021-01-15,Germany,Moderna,10928
2021-01-16,Germany,Moderna,12700
2021-01-17,Germany,Moderna,14005
2021-01-18,Germany,Moderna,18039
2021-01-19,Germany,Moderna,21507
2021-01-20,Germany,Moderna,24257
2021-01-21,Germany,Moderna,26969
2021-01-22,Germany,Moderna,29012
2021-01-23,Germany,Moderna,29395
2021-01-24,Germany,Moderna,29639
2021-01-25,Germany,Moderna,31361
2021-01-26,Germany,Moderna,33013
2021-01-27,Germany,Moderna,34970
2021-01-28,Germany,Moderna,36605
2021-01-29,Germany,Moderna,38010
2021-01-30,Germany,Moderna,38884
2021-01-31,Germany,Moderna,39260
2021-02-01,Germany,Moderna,41470
2021-02-02,Germany,Moderna,44338
2021-02-03,Germany,Moderna,50727
2021-02-04,Germany,Moderna,56601
2021-02-05,Germany,Moderna,62998
2021-02-06,Germany,Moderna,65464
2021-02-07,Germany,Moderna,67813
2021-02-08,Germany,Moderna,71672
2021-02-09,Germany,Moderna,75555
2021-02-10,Germany,Moderna,79419
2021-02-11,Germany,Moderna,86711
2021-02-12,Germany,Moderna,96584
2021-02-13,Germany,Moderna,99632
2021-02-14,Germany,Moderna,102034
2021-02-15,Germany,Moderna,106847
2021-02-16,Germany,Moderna,112519
2021-02-17,Germany,Moderna,120469
2021-02-18,Germany,Moderna,128405
2021-02-19,Germany,Moderna,138205
2021-02-20,Germany,Moderna,142675
2021-02-21,Germany,Moderna,145903
2021-02-22,Germany,Moderna,155001
2021-02-23,Germany,Moderna,162158
2021-02-24,Germany,Moderna,169894
2021-02-25,Germany,Moderna,176539
2021-02-26,Germany,Moderna,185255
2021-02-27,Germany,Moderna,189445
2021-02-28,Germany,Moderna,193401
2021-03-01,Germany,Moderna,202853
2021-03-02,Germany,Moderna,212968
2021-03-03,Germany,Moderna,226770
2021-03-04,Germany,Moderna,240748
2021-03-05,Germany,Moderna,254069
2021-03-06,Germany,Moderna,262665
2021-03-07,Germany,Moderna,269402
2021-03-08,Germany,Moderna,280400
2021-03-09,Germany,Moderna,293136
2021-03-10,Germany,Moderna,304537
2021-03-11,Germany,Moderna,317758
2021-03-12,Germany,Moderna,335295
2021-03-13,Germany,Moderna,345048
2021-03-14,Germany,Moderna,350194
2021-03-15,Germany,Moderna,362575
2021-03-16,Germany,Moderna,373672
2021-03-17,Germany,Moderna,391635
2021-03-18,Germany,Moderna,409797
2021-03-19,Germany,Moderna,430367
2021-03-20,Germany,Moderna,445668
2021-03-21,Germany,Moderna,454875
2021-03-22,Germany,Moderna,478518
2021-03-23,Germany,Moderna,498657
2021-03-24,Germany,Moderna,531752
2021-03-25,Germany,Moderna,559005
2021-03-26,Germany,Moderna,595392
2021-03-27,Germany,Moderna,622747
2021-03-28,Germany,Moderna,641272
2021-03-29,Germany,Moderna,667122
2021-03-30,Germany,Moderna,693212
2021-03-31,Germany,Moderna,731403
2021-04-01,Germany,Moderna,763611
2021-04-02,Germany,Moderna,780132
2021-04-03,Germany,Moderna,797214
2021-04-04,Germany,Moderna,808327
2021-04-05,Germany,Moderna,826242
2021-04-06,Germany,Moderna,859429
2021-04-07,Germany,Moderna,895214
2021-04-08,Germany,Moderna,930469
2021-04-09,Germany,Moderna,966042
2021-04-10,Germany,Moderna,989236
2021-04-11,Germany,Moderna,1007273
2021-04-12,Germany,Moderna,1035895
2021-04-13,Germany,Moderna,1062548
2021-04-14,Germany,Moderna,1096000
2021-04-15,Germany,Moderna,1132343
2021-04-16,Germany,Moderna,1163515
2021-04-17,Germany,Moderna,1185549
2021-04-18,Germany,Moderna,1199767
2021-04-19,Germany,Moderna,1231568
2021-04-20,Germany,Moderna,1269406
2021-04-21,Germany,Moderna,1308531
2021-04-22,Germany,Moderna,1350026
2021-04-23,Germany,Moderna,1392402
2021-04-24,Germany,Moderna,1441392
2021-04-25,Germany,Moderna,1475291
2021-04-26,Germany,Moderna,1516081
2021-04-27,Germany,Moderna,1567216
2021-04-28,Germany,Moderna,1624905
2021-04-29,Germany,Moderna,1686189
2021-04-30,Germany,Moderna,1741578
2021-05-01,Germany,Moderna,1782002
2021-05-02,Germany,Moderna,1819196
2021-05-03,Germany,Moderna,1886748
2021-05-04,Germany,Moderna,1941380
2021-05-05,Germany,Moderna,2004388
2020-12-27,Germany,Oxford/AstraZeneca,0
2020-12-28,Germany,Oxford/AstraZeneca,0
2020-12-29,Germany,Oxford/AstraZeneca,0
2020-12-30,Germany,Oxford/AstraZeneca,0
2020-12-31,Germany,Oxford/AstraZeneca,0
2021-01-01,Germany,Oxford/AstraZeneca,1
2021-01-02,Germany,Oxford/AstraZeneca,1
2021-01-03,Germany,Oxford/AstraZeneca,1
2021-01-04,Germany,Oxford/AstraZeneca,1
2021-01-05,Germany,Oxford/AstraZeneca,1
2021-01-06,Germany,Oxford/AstraZeneca,3
2021-01-07,Germany,Oxford/AstraZeneca,3
2021-01-08,Germany,Oxford/AstraZeneca,3
2021-01-09,Germany,Oxford/AstraZeneca,3
2021-01-10,Germany,Oxford/AstraZeneca,3
2021-01-11,Germany,Oxford/AstraZeneca,3
2021-01-12,Germany,Oxford/AstraZeneca,5
2021-01-13,Germany,Oxford/AstraZeneca,5
2021-01-14,Germany,Oxford/AstraZeneca,5
2021-01-15,Germany,Oxford/AstraZeneca,24
2021-01-16,Germany,Oxford/AstraZeneca,24
2021-01-17,Germany,Oxford/AstraZeneca,25
2021-01-18,Germany,Oxford/AstraZeneca,26
2021-01-19,Germany,Oxford/AstraZeneca,76
2021-01-20,Germany,Oxford/AstraZeneca,80
2021-01-21,Germany,Oxford/AstraZeneca,80
2021-01-22,Germany,Oxford/AstraZeneca,92
2021-01-23,Germany,Oxford/AstraZeneca,93
2021-01-24,Germany,Oxford/AstraZeneca,97
2021-01-25,Germany,Oxford/AstraZeneca,99
2021-01-26,Germany,Oxford/AstraZeneca,105
2021-01-27,Germany,Oxford/AstraZeneca,113
2021-01-28,Germany,Oxford/AstraZeneca,115
2021-01-29,Germany,Oxford/AstraZeneca,175
2021-01-30,Germany,Oxford/AstraZeneca,176
2021-01-31,Germany,Oxford/AstraZeneca,176
2021-02-01,Germany,Oxford/AstraZeneca,233
2021-02-02,Germany,Oxford/AstraZeneca,248
2021-02-03,Germany,Oxford/AstraZeneca,268
2021-02-04,Germany,Oxford/AstraZeneca,275
2021-02-05,Germany,Oxford/AstraZeneca,283
2021-02-06,Germany,Oxford/AstraZeneca,284
2021-02-07,Germany,Oxford/AstraZeneca,286
2021-02-08,Germany,Oxford/AstraZeneca,310
2021-02-09,Germany,Oxford/AstraZeneca,420
2021-02-10,Germany,Oxford/AstraZeneca,7457
2021-02-11,Germany,Oxford/AstraZeneca,22914
2021-02-12,Germany,Oxford/AstraZeneca,37164
2021-02-13,Germany,Oxford/AstraZeneca,50001
2021-02-14,Germany,Oxford/AstraZeneca,57350
2021-02-15,Germany,Oxford/AstraZeneca,72078
2021-02-16,Germany,Oxford/AstraZeneca,95611
2021-02-17,Germany,Oxford/AstraZeneca,115336
2021-02-18,Germany,Oxford/AstraZeneca,139813
2021-02-19,Germany,Oxford/AstraZeneca,165077
2021-02-20,Germany,Oxford/AstraZeneca,186688
2021-02-21,Germany,Oxford/AstraZeneca,202020
2021-02-22,Germany,Oxford/AstraZeneca,227043
2021-02-23,Germany,Oxford/AstraZeneca,254422
2021-02-24,Germany,Oxford/AstraZeneca,289816
2021-02-25,Germany,Oxford/AstraZeneca,341010
2021-02-26,Germany,Oxford/AstraZeneca,401491
2021-02-27,Germany,Oxford/AstraZeneca,453008
2021-02-28,Germany,Oxford/AstraZeneca,494770
2021-03-01,Germany,Oxford/AstraZeneca,552378
2021-03-02,Germany,Oxford/AstraZeneca,621476
2021-03-03,Germany,Oxford/AstraZeneca,694447
2021-03-04,Germany,Oxford/AstraZeneca,780841
2021-03-05,Germany,Oxford/AstraZeneca,889054
2021-03-06,Germany,Oxford/AstraZeneca,972101
2021-03-07,Germany,Oxford/AstraZeneca,1033257
2021-03-08,Germany,Oxford/AstraZeneca,1125481
2021-03-09,Germany,Oxford/AstraZeneca,1222723
2021-03-10,Germany,Oxford/AstraZeneca,1337024
2021-03-11,Germany,Oxford/AstraZeneca,1456172
2021-03-12,Germany,Oxford/AstraZeneca,1609428
2021-03-13,Germany,Oxford/AstraZeneca,1731459
2021-03-14,Germany,Oxford/AstraZeneca,1808003
2021-03-15,Germany,Oxford/AstraZeneca,1891426
2021-03-16,Germany,Oxford/AstraZeneca,1893339
2021-03-17,Germany,Oxford/AstraZeneca,1894750
2021-03-18,Germany,Oxford/AstraZeneca,1896326
2021-03-19,Germany,Oxford/AstraZeneca,1934999
2021-03-20,Germany,Oxford/AstraZeneca,2003448
2021-03-21,Germany,Oxford/AstraZeneca,2055700
2021-03-22,Germany,Oxford/AstraZeneca,2132551
2021-03-23,Germany,Oxford/AstraZeneca,2229874
2021-03-24,Germany,Oxford/AstraZeneca,2333559
2021-03-25,Germany,Oxford/AstraZeneca,2455085
2021-03-26,Germany,Oxford/AstraZeneca,2591451
2021-03-27,Germany,Oxford/AstraZeneca,2698875
2021-03-28,Germany,Oxford/AstraZeneca,2759493
2021-03-29,Germany,Oxford/AstraZeneca,2854370
2021-03-30,Germany,Oxford/AstraZeneca,2940534
2021-03-31,Germany,Oxford/AstraZeneca,2994188
2021-04-01,Germany,Oxford/AstraZeneca,3049429
2021-04-02,Germany,Oxford/AstraZeneca,3081305
2021-04-03,Germany,Oxford/AstraZeneca,3122535
2021-04-04,Germany,Oxford/AstraZeneca,3172181
2021-04-05,Germany,Oxford/AstraZeneca,3235606
2021-04-06,Germany,Oxford/AstraZeneca,3322736
2021-04-07,Germany,Oxford/AstraZeneca,3422412
2021-04-08,Germany,Oxford/AstraZeneca,3546554
2021-04-09,Germany,Oxford/AstraZeneca,3646854
2021-04-10,Germany,Oxford/AstraZeneca,3746372
2021-04-11,Germany,Oxford/AstraZeneca,3821105
2021-04-12,Germany,Oxford/AstraZeneca,3929273
2021-04-13,Germany,Oxford/AstraZeneca,4044740
2021-04-14,Germany,Oxford/AstraZeneca,4168010
2021-04-15,Germany,Oxford/AstraZeneca,4278136
2021-04-16,Germany,Oxford/AstraZeneca,4403005
2021-04-17,Germany,Oxford/AstraZeneca,4519487
2021-04-18,Germany,Oxford/AstraZeneca,4599832
2021-04-19,Germany,Oxford/AstraZeneca,4677315
2021-04-20,Germany,Oxford/AstraZeneca,4816496
2021-04-21,Germany,Oxford/AstraZeneca,5040790
2021-04-22,Germany,Oxford/AstraZeneca,5252742
2021-04-23,Germany,Oxford/AstraZeneca,5410426
2021-04-24,Germany,Oxford/AstraZeneca,5490980
2021-04-25,Germany,Oxford/AstraZeneca,5552545
2021-04-26,Germany,Oxford/AstraZeneca,5623667
2021-04-27,Germany,Oxford/AstraZeneca,5679416
2021-04-28,Germany,Oxford/AstraZeneca,5732050
2021-04-29,Germany,Oxford/AstraZeneca,5788064
2021-04-30,Germany,Oxford/AstraZeneca,5853770
2021-05-01,Germany,Oxford/AstraZeneca,5893431
2021-05-02,Germany,Oxford/AstraZeneca,5922601
2021-05-03,Germany,Oxford/AstraZeneca,5984459
2021-05-04,Germany,Oxford/AstraZeneca,6133493
2021-05-05,Germany,Oxford/AstraZeneca,6340924
2020-12-27,Germany,Johnson&Johnson,0
2020-12-28,Germany,Johnson&Johnson,0
2020-12-29,Germany,Johnson&Johnson,0
2020-12-30,Germany,Johnson&Johnson,0
2020-12-31,Germany,Johnson&Johnson,0
2021-01-01,Germany,Johnson&Johnson,0
2021-01-02,Germany,Johnson&Johnson,0
2021-01-03,Germany,Johnson&Johnson,0
2021-01-04,Germany,Johnson&Johnson,0
2021-01-05,Germany,Johnson&Johnson,0
2021-01-06,Germany,Johnson&Johnson,0
2021-01-07,Germany,Johnson&Johnson,0
2021-01-08,Germany,Johnson&Johnson,0
2021-01-09,Germany,Johnson&Johnson,0
2021-01-10,Germany,Johnson&Johnson,0
2021-01-11,Germany,Johnson&Johnson,0
2021-01-12,Germany,Johnson&Johnson,0
2021-01-13,Germany,Johnson&Johnson,0
2021-01-14,Germany,Johnson&Johnson,0
2021-01-15,Germany,Johnson&Johnson,0
2021-01-16,Germany,Johnson&Johnson,0
2021-01-17,Germany,Johnson&Johnson,0
2021-01-18,Germany,Johnson&Johnson,0
2021-01-19,Germany,Johnson&Johnson,0
2021-01-20,Germany,Johnson&Johnson,0
2021-01-21,Germany,Johnson&Johnson,0
2021-01-22,Germany,Johnson&Johnson,0
2021-01-23,Germany,Johnson&Johnson,0
2021-01-24,Germany,Johnson&Johnson,0
2021-01-25,Germany,Johnson&Johnson,0
2021-01-26,Germany,Johnson&Johnson,0
2021-01-27,Germany,Johnson&Johnson,0
2021-01-28,Germany,Johnson&Johnson,0
2021-01-29,Germany,Johnson&Johnson,0
2021-01-30,Germany,Johnson&Johnson,0
2021-01-31,Germany,Johnson&Johnson,0
2021-02-01,Germany,Johnson&Johnson,0
2021-02-02,Germany,Johnson&Johnson,0
2021-02-03,Germany,Johnson&Johnson,0
2021-02-04,Germany,Johnson&Johnson,0
2021-02-05,Germany,Johnson&Johnson,0
2021-02-06,Germany,Johnson&Johnson,0
2021-02-07,Germany,Johnson&Johnson,0
2021-02-08,Germany,Johnson&Johnson,0
2021-02-09,Germany,Johnson&Johnson,0
2021-02-10,Germany,Johnson&Johnson,0
2021-02-11,Germany,Johnson&Johnson,0
2021-02-12,Germany,Johnson&Johnson,0
2021-02-13,Germany,Johnson&Johnson,0
2021-02-14,Germany,Johnson&Johnson,0
2021-02-15,Germany,Johnson&Johnson,0
2021-02-16,Germany,Johnson&Johnson,0
2021-02-17,Germany,Johnson&Johnson,0
2021-02-18,Germany,Johnson&Johnson,0
2021-02-19,Germany,Johnson&Johnson,0
2021-02-20,Germany,Johnson&Johnson,0
2021-02-21,Germany,Johnson&Johnson,0
2021-02-22,Germany,Johnson&Johnson,0
2021-02-23,Germany,Johnson&Johnson,0
2021-02-24,Germany,Johnson&Johnson,0
2021-02-25,Germany,Johnson&Johnson,0
2021-02-26,Germany,Johnson&Johnson,0
2021-02-27,Germany,Johnson&Johnson,0
2021-02-28,Germany,Johnson&Johnson,0
2021-03-01,Germany,Johnson&Johnson,0
2021-03-02,Germany,Johnson&Johnson,0
2021-03-03,Germany,Johnson&Johnson,0
2021-03-04,Germany,Johnson&Johnson,0
2021-03-05,Germany,Johnson&Johnson,0
2021-03-06,Germany,Johnson&Johnson,0
2021-03-07,Germany,Johnson&Johnson,0
2021-03-08,Germany,Johnson&Johnson,0
2021-03-09,Germany,Johnson&Johnson,0
2021-03-10,Germany,Johnson&Johnson,0
2021-03-11,Germany,Johnson&Johnson,0
2021-03-12,Germany,Johnson&Johnson,0
2021-03-13,Germany,Johnson&Johnson,0
2021-03-14,Germany,Johnson&Johnson,0
2021-03-15,Germany,Johnson&Johnson,0
2021-03-16,Germany,Johnson&Johnson,0
2021-03-17,Germany,Johnson&Johnson,0
2021-03-18,Germany,Johnson&Johnson,0
2021-03-19,Germany,Johnson&Johnson,0
2021-03-20,Germany,Johnson&Johnson,0
2021-03-21,Germany,Johnson&Johnson,0
2021-03-22,Germany,Johnson&Johnson,0
2021-03-23,Germany,Johnson&Johnson,0
2021-03-24,Germany,Johnson&Johnson,0
2021-03-25,Germany,Johnson&Johnson,0
2021-03-26,Germany,Johnson&Johnson,0
2021-03-27,Germany,Johnson&Johnson,0
2021-03-28,Germany,Johnson&Johnson,0
2021-03-29,Germany,Johnson&Johnson,0
2021-03-30,Germany,Johnson&Johnson,0
2021-03-31,Germany,Johnson&Johnson,0
2021-04-01,Germany,Johnson&Johnson,0
2021-04-02,Germany,Johnson&Johnson,0
2021-04-03,Germany,Johnson&Johnson,0
2021-04-04,Germany,Johnson&Johnson,0
2021-04-05,Germany,Johnson&Johnson,0
2021-04-06,Germany,Johnson&Johnson,0
2021-04-07,Germany,Johnson&Johnson,0
2021-04-08,Germany,Johnson&Johnson,0
2021-04-09,Germany,Johnson&Johnson,0
2021-04-10,Germany,Johnson&Johnson,0
2021-04-11,Germany,Johnson&Johnson,0
2021-04-12,Germany,Johnson&Johnson,0
2021-04-13,Germany,Johnson&Johnson,0
2021-04-14,Germany,Johnson&Johnson,0
2021-04-15,Germany,Johnson&Johnson,0
2021-04-16,Germany,Johnson&Johnson,0
2021-04-17,Germany,Johnson&Johnson,0
2021-04-18,Germany,Johnson&Johnson,0
2021-04-19,Germany,Johnson&Johnson,0
2021-04-20,Germany,Johnson&Johnson,0
2021-04-21,Germany,Johnson&Johnson,0
2021-04-22,Germany,Johnson&Johnson,0
2021-04-23,Germany,Johnson&Johnson,0
2021-04-24,Germany,Johnson&Johnson,0
2021-04-25,Germany,Johnson&Johnson,0
2021-04-26,Germany,Johnson&Johnson,62
2021-04-27,Germany,Johnson&Johnson,516
2021-04-28,Germany,Johnson&Johnson,1229
2021-04-29,Germany,Johnson&Johnson,2106
2021-04-30,Germany,Johnson&Johnson,2924
2021-05-01,Germany,Johnson&Johnson,5240
2021-05-02,Germany,Johnson&Johnson,6869
2021-05-03,Germany,Johnson&Johnson,7861
2021-05-04,Germany,Johnson&Johnson,9920
2021-05-05,Germany,Johnson&Johnson,11431
