date,total_vaccinations,vaccine,location
2020-12-27,17,Pfizer/BioNTech,France
2020-12-28,76,Pfizer/BioNTech,France
2020-12-29,183,Pfizer/BioNTech,France
2020-12-30,298,Pfizer/BioNTech,France
2020-12-31,381,Pfizer/BioNTech,France
2021-01-01,436,Pfizer/BioNTech,France
2021-01-02,508,Pfizer/BioNTech,France
2021-01-03,595,Pfizer/BioNTech,France
2021-01-04,2057,Pfizer/BioNTech,France
2021-01-05,7409,Pfizer/BioNTech,France
2021-01-06,18659,Pfizer/BioNTech,France
2021-01-07,47107,Pfizer/BioNTech,France
2021-01-08,82986,Pfizer/BioNTech,France
2021-01-09,93851,Pfizer/BioNTech,France
2021-01-10,99450,Pfizer/BioNTech,France
2021-01-11,138161,Pfizer/BioNTech,France
2021-01-12,198464,Pfizer/BioNTech,France
2021-01-13,261792,Pfizer/BioNTech,France
2021-01-14,341071,Pfizer/BioNTech,France
2021-01-15,407741,Pfizer/BioNTech,France
2021-01-16,427976,Pfizer/BioNTech,France
2021-01-17,438459,Pfizer/BioNTech,France
2021-01-18,519813,Pfizer/BioNTech,France
2021-01-19,643307,Pfizer/BioNTech,France
2021-01-20,773060,Pfizer/BioNTech,France
2021-01-21,922663,Pfizer/BioNTech,France
2021-01-22,1035905,Pfizer/BioNTech,France
2021-01-23,1071972,Pfizer/BioNTech,France
2021-01-24,1081310,Pfizer/BioNTech,France
2021-01-25,1155735,Pfizer/BioNTech,France
2021-01-26,1254216,Pfizer/BioNTech,France
2021-01-27,1362927,Pfizer/BioNTech,France
2021-01-28,1498727,Pfizer/BioNTech,France
2021-01-29,1605871,Pfizer/BioNTech,France
2021-01-30,1638071,Pfizer/BioNTech,France
2021-01-31,1644833,Pfizer/BioNTech,France
2021-02-01,1717042,Pfizer/BioNTech,France
2021-02-02,1823638,Pfizer/BioNTech,France
2021-02-03,1931202,Pfizer/BioNTech,France
2021-02-04,2065132,Pfizer/BioNTech,France
2021-02-05,2176757,Pfizer/BioNTech,France
2021-02-06,2207151,Pfizer/BioNTech,France
2021-02-07,2217024,Pfizer/BioNTech,France
2021-02-08,2302720,Pfizer/BioNTech,France
2021-02-09,2434582,Pfizer/BioNTech,France
2021-02-10,2572381,Pfizer/BioNTech,France
