date,location,vaccine,total_vaccinations
2021-03-24,Romania,Pfizer/BioNTech,2182617
2021-03-25,Romania,Pfizer/BioNTech,2229733
2021-03-26,Romania,Pfizer/BioNTech,2273184
2021-03-27,Romania,Pfizer/BioNTech,2318409
2021-03-28,Romania,Pfizer/BioNTech,2360607
2021-03-29,Romania,Pfizer/BioNTech,2401887
2021-03-30,Romania,Pfizer/BioNTech,2454264
2021-03-31,Romania,Pfizer/BioNTech,2501784
2021-04-01,Romania,Pfizer/BioNTech,2548790
2021-04-02,Romania,Pfizer/BioNTech,2595945
2021-04-03,Romania,Pfizer/BioNTech,2640729
2021-04-04,Romania,Pfizer/BioNTech,2680468
2021-04-05,Romania,Pfizer/BioNTech,2723919
2021-04-06,Romania,Pfizer/BioNTech,2770716
2021-04-07,Romania,Pfizer/BioNTech,2818530
2021-04-08,Romania,Pfizer/BioNTech,2867621
2021-04-09,Romania,Pfizer/BioNTech,2914374
2021-04-10,Romania,Pfizer/BioNTech,2965548
2021-04-11,Romania,Pfizer/BioNTech,3012825
2021-04-12,Romania,Pfizer/BioNTech,3059096
2021-04-13,Romania,Pfizer/BioNTech,3117146
2020-12-27,Romania,Moderna,0
2020-12-28,Romania,Moderna,0
2020-12-29,Romania,Moderna,0
2020-12-30,Romania,Moderna,0
2020-12-31,Romania,Moderna,0
2021-01-01,Romania,Moderna,0
2021-01-02,Romania,Moderna,0
2021-01-03,Romania,Moderna,0
2021-01-04,Romania,Moderna,0
2021-01-05,Romania,Moderna,0
2021-01-06,Romania,Moderna,0
2021-01-07,Romania,Moderna,0
2021-01-08,Romania,Moderna,0
2021-01-09,Romania,Moderna,0
2021-01-10,Romania,Moderna,0
2021-01-11,Romania,Moderna,0
2021-01-12,Romania,Moderna,0
2021-01-13,Romania,Moderna,0
2021-01-14,Romania,Moderna,0
2021-01-15,Romania,Moderna,0
2021-01-16,Romania,Moderna,0
2021-01-17,Romania,Moderna,0
2021-01-18,Romania,Moderna,0
2021-01-19,Romania,Moderna,0
2021-01-20,Romania,Moderna,0
2021-01-21,Romania,Moderna,0
2021-01-22,Romania,Moderna,0
2021-01-23,Romania,Moderna,0
2021-01-24,Romania,Moderna,0
2021-01-25,Romania,Moderna,0
2021-01-26,Romania,Moderna,0
2021-01-27,Romania,Moderna,0
2021-01-28,Romania,Moderna,0
2021-01-29,Romania,Moderna,0
2021-01-30,Romania,Moderna,0
2021-01-31,Romania,Moderna,0
2021-02-01,Romania,Moderna,0
2021-02-02,Romania,Moderna,0
2021-02-03,Romania,Moderna,0
2021-02-04,Romania,Moderna,6443
2021-02-05,Romania,Moderna,14944
2021-02-06,Romania,Moderna,23087
2021-02-07,Romania,Moderna,31026
2021-02-08,Romania,Moderna,35454
2021-02-09,Romania,Moderna,40399
2021-02-10,Romania,Moderna,44448
2021-02-11,Romania,Moderna,47769
2021-02-12,Romania,Moderna,51388
2021-02-13,Romania,Moderna,54855
2021-02-14,Romania,Moderna,57881
2021-02-15,Romania,Moderna,60916
2021-02-16,Romania,Moderna,63951
2021-02-17,Romania,Moderna,69323
2021-02-18,Romania,Moderna,71707
2021-02-19,Romania,Moderna,72378
2021-02-20,Romania,Moderna,72676
2021-02-21,Romania,Moderna,72791
2021-02-22,Romania,Moderna,72935
2021-02-23,Romania,Moderna,73010
2021-02-24,Romania,Moderna,73017
2021-02-25,Romania,Moderna,73020
2021-02-26,Romania,Moderna,73020
2021-02-27,Romania,Moderna,73020
2021-02-28,Romania,Moderna,73020
2021-03-01,Romania,Moderna,73020
2021-03-02,Romania,Moderna,73020
2021-03-03,Romania,Moderna,73020
2021-03-04,Romania,Moderna,79862
2021-03-05,Romania,Moderna,88224
2021-03-06,Romania,Moderna,96530
2021-03-07,Romania,Moderna,104227
2021-03-08,Romania,Moderna,108871
2021-03-09,Romania,Moderna,113813
2021-03-10,Romania,Moderna,117819
2021-03-11,Romania,Moderna,121218
2021-03-12,Romania,Moderna,124766
2021-03-13,Romania,Moderna,128144
2021-03-14,Romania,Moderna,131137
2021-03-15,Romania,Moderna,137600
2021-03-16,Romania,Moderna,149732
2021-03-17,Romania,Moderna,158781
2021-03-18,Romania,Moderna,165150
2021-03-19,Romania,Moderna,169966
2021-03-20,Romania,Moderna,174732
2021-03-21,Romania,Moderna,179154
2021-03-22,Romania,Moderna,183177
2021-03-23,Romania,Moderna,187546
2021-03-24,Romania,Moderna,191868
2021-03-25,Romania,Moderna,196122
2021-03-26,Romania,Moderna,200231
2021-03-27,Romania,Moderna,204969
2021-03-28,Romania,Moderna,209212
2021-03-29,Romania,Moderna,213039
2021-03-30,Romania,Moderna,217516
2021-03-31,Romania,Moderna,221682
2021-04-01,Romania,Moderna,226033
2021-04-02,Romania,Moderna,230533
2021-04-03,Romania,Moderna,235329
2021-04-04,Romania,Moderna,239724
2021-04-05,Romania,Moderna,243667
2021-04-06,Romania,Moderna,248385
2021-04-07,Romania,Moderna,253339
2021-04-08,Romania,Moderna,258603
2021-04-09,Romania,Moderna,263626
2021-04-10,Romania,Moderna,271279
2021-04-11,Romania,Moderna,278832
2021-04-12,Romania,Moderna,287423
2021-04-13,Romania,Moderna,296167
2020-12-27,Romania,Oxford/AstraZeneca,0
2020-12-28,Romania,Oxford/AstraZeneca,0
2020-12-29,Romania,Oxford/AstraZeneca,0
2020-12-30,Romania,Oxford/AstraZeneca,0
2020-12-31,Romania,Oxford/AstraZeneca,0
2021-01-01,Romania,Oxford/AstraZeneca,0
2021-01-02,Romania,Oxford/AstraZeneca,0
2021-01-03,Romania,Oxford/AstraZeneca,0
2021-01-04,Romania,Oxford/AstraZeneca,0
2021-01-05,Romania,Oxford/AstraZeneca,0
2021-01-06,Romania,Oxford/AstraZeneca,0
2021-01-07,Romania,Oxford/AstraZeneca,0
2021-01-08,Romania,Oxford/AstraZeneca,0
2021-01-09,Romania,Oxford/AstraZeneca,0
2021-01-10,Romania,Oxford/AstraZeneca,0
2021-01-11,Romania,Oxford/AstraZeneca,0
2021-01-12,Romania,Oxford/AstraZeneca,0
2021-01-13,Romania,Oxford/AstraZeneca,0
2021-01-14,Romania,Oxford/AstraZeneca,0
2021-01-15,Romania,Oxford/AstraZeneca,0
2021-01-16,Romania,Oxford/AstraZeneca,0
2021-01-17,Romania,Oxford/AstraZeneca,0
2021-01-18,Romania,Oxford/AstraZeneca,0
2021-01-19,Romania,Oxford/AstraZeneca,0
2021-01-20,Romania,Oxford/AstraZeneca,0
2021-01-21,Romania,Oxford/AstraZeneca,0
2021-01-22,Romania,Oxford/AstraZeneca,0
2021-01-23,Romania,Oxford/AstraZeneca,0
2021-01-24,Romania,Oxford/AstraZeneca,0
2021-01-25,Romania,Oxford/AstraZeneca,0
2021-01-26,Romania,Oxford/AstraZeneca,0
2021-01-27,Romania,Oxford/AstraZeneca,0
2021-01-28,Romania,Oxford/AstraZeneca,0
2021-01-29,Romania,Oxford/AstraZeneca,0
2021-01-30,Romania,Oxford/AstraZeneca,0
2021-01-31,Romania,Oxford/AstraZeneca,0
2021-02-01,Romania,Oxford/AstraZeneca,0
2021-02-02,Romania,Oxford/AstraZeneca,0
2021-02-03,Romania,Oxford/AstraZeneca,0
2021-02-04,Romania,Oxford/AstraZeneca,0
2021-02-05,Romania,Oxford/AstraZeneca,0
2021-02-06,Romania,Oxford/AstraZeneca,0
2021-02-07,Romania,Oxford/AstraZeneca,0
2021-02-08,Romania,Oxford/AstraZeneca,0
2021-02-09,Romania,Oxford/AstraZeneca,0
2021-02-10,Romania,Oxford/AstraZeneca,0
2021-02-11,Romania,Oxford/AstraZeneca,0
2021-02-12,Romania,Oxford/AstraZeneca,0
2021-02-13,Romania,Oxford/AstraZeneca,0
2021-02-14,Romania,Oxford/AstraZeneca,0
2021-02-15,Romania,Oxford/AstraZeneca,6812
2021-02-16,Romania,Oxford/AstraZeneca,13624
2021-02-17,Romania,Oxford/AstraZeneca,22956
2021-02-18,Romania,Oxford/AstraZeneca,31858
2021-02-19,Romania,Oxford/AstraZeneca,41296
2021-02-20,Romania,Oxford/AstraZeneca,50440
2021-02-21,Romania,Oxford/AstraZeneca,58747
2021-02-22,Romania,Oxford/AstraZeneca,68534
2021-02-23,Romania,Oxford/AstraZeneca,78141
2021-02-24,Romania,Oxford/AstraZeneca,87871
2021-02-25,Romania,Oxford/AstraZeneca,98055
2021-02-26,Romania,Oxford/AstraZeneca,109339
2021-02-27,Romania,Oxford/AstraZeneca,119310
2021-02-28,Romania,Oxford/AstraZeneca,127371
2021-03-01,Romania,Oxford/AstraZeneca,136586
2021-03-02,Romania,Oxford/AstraZeneca,146051
2021-03-03,Romania,Oxford/AstraZeneca,154730
2021-03-04,Romania,Oxford/AstraZeneca,162337
2021-03-05,Romania,Oxford/AstraZeneca,170102
2021-03-06,Romania,Oxford/AstraZeneca,177516
2021-03-07,Romania,Oxford/AstraZeneca,184012
2021-03-08,Romania,Oxford/AstraZeneca,190326
2021-03-09,Romania,Oxford/AstraZeneca,197660
2021-03-10,Romania,Oxford/AstraZeneca,204910
2021-03-11,Romania,Oxford/AstraZeneca,211212
2021-03-12,Romania,Oxford/AstraZeneca,217059
2021-03-13,Romania,Oxford/AstraZeneca,222922
2021-03-14,Romania,Oxford/AstraZeneca,228280
2021-03-15,Romania,Oxford/AstraZeneca,235679
2021-03-16,Romania,Oxford/AstraZeneca,242742
2021-03-17,Romania,Oxford/AstraZeneca,249300
2021-03-18,Romania,Oxford/AstraZeneca,256243
2021-03-19,Romania,Oxford/AstraZeneca,263394
2021-03-20,Romania,Oxford/AstraZeneca,271485
2021-03-21,Romania,Oxford/AstraZeneca,279325
2021-03-22,Romania,Oxford/AstraZeneca,286648
2021-03-23,Romania,Oxford/AstraZeneca,294985
2021-03-24,Romania,Oxford/AstraZeneca,302969
2021-03-25,Romania,Oxford/AstraZeneca,310485
2021-03-26,Romania,Oxford/AstraZeneca,318056
2021-03-27,Romania,Oxford/AstraZeneca,326640
2021-03-28,Romania,Oxford/AstraZeneca,334912
2021-03-29,Romania,Oxford/AstraZeneca,342263
2021-03-30,Romania,Oxford/AstraZeneca,349827
2021-03-31,Romania,Oxford/AstraZeneca,356402
2021-04-01,Romania,Oxford/AstraZeneca,362660
2021-04-02,Romania,Oxford/AstraZeneca,368974
2021-04-03,Romania,Oxford/AstraZeneca,374819
2021-04-04,Romania,Oxford/AstraZeneca,379020
2021-04-05,Romania,Oxford/AstraZeneca,382996
2021-04-06,Romania,Oxford/AstraZeneca,386430
2021-04-07,Romania,Oxford/AstraZeneca,389001
2021-04-08,Romania,Oxford/AstraZeneca,391469
2021-04-09,Romania,Oxford/AstraZeneca,393982
2021-04-10,Romania,Oxford/AstraZeneca,397094
2021-04-11,Romania,Oxford/AstraZeneca,399252
2021-04-12,Romania,Oxford/AstraZeneca,407271
2021-04-13,Romania,Oxford/AstraZeneca,417067
