state name,county name,fips code
Alabama,Autauga County,01001
Alabama,Baldwin County,01003
Alabama,Barbour County,01005
Alabama,Bibb County,01007
Alabama,Blount County,01009
Alabama,Bullock County,01011
Alabama,Butler County,01013
Alabama,Calhoun County,01015
Alabama,Chambers County,01017
Alabama,Cherokee County,01019
Alabama,Chilton County,01021
Alabama,Choctaw County,01023
Alabama,Clarke County,01025
Alabama,Clay County,01027
Alabama,Cleburne County,01029
Alabama,Coffee County,01031
Alabama,Colbert County,01033
Alabama,Conecuh County,01035
Alabama,Coosa County,01037
Alabama,Covington County,01039
Alabama,Crenshaw County,01041
Alabama,Cullman County,01043
Alabama,Dale County,01045
Alabama,Dallas County,01047
Alabama,DeKalb County,01049
Alabama,Elmore County,01051
Alabama,Escambia County,01053
Alabama,Etowah County,01055
Alabama,Fayette County,01057
Alabama,Franklin County,01059
Alabama,Geneva County,01061
Alabama,Greene County,01063
Alabama,Hale County,01065
Alabama,Henry County,01067
Alabama,Houston County,01069
Alabama,Jackson County,01071
Alabama,Jefferson County,01073
Alabama,Lamar County,01075
Alabama,Lauderdale County,01077
Alabama,Lawrence County,01079
Alabama,Lee County,01081
Alabama,Limestone County,01083
Alabama,Lowndes County,01085
Alabama,Macon County,01087
Alabama,Madison County,01089
Alabama,Marengo County,01091
Alabama,Marion County,01093
Alabama,Marshall County,01095
Alabama,Mobile County,01097
Alabama,Monroe County,01099
Alabama,Montgomery County,01101
Alabama,Morgan County,01103
Alabama,Perry County,01105
Alabama,Pickens County,01107
Alabama,Pike County,01109
Alabama,Randolph County,01111
Alabama,Russell County,01113
Alabama,St. Clair County,01115
Alabama,Shelby County,01117
Alabama,Sumter County,01119
Alabama,Talladega County,01121
Alabama,Tallapoosa County,01123
Alabama,Tuscaloosa County,01125
Alabama,Walker County,01127
Alabama,Washington County,01129
Alabama,Wilcox County,01131
Alabama,Winston County,01133
Alaska,Aleutians East Borough,02013
Alaska,Aleutians West Census Area,02016
Alaska,Anchorage Municipality,02020
Alaska,Bethel Census Area,02050
Alaska,Bristol Bay Borough,02060
Alaska,Denali Borough,02068
Alaska,Dillingham Census Area,02070
Alaska,Fairbanks North Star Borough,02090
Alaska,Haines Borough,02100
Alaska,Hoonah-Angoon Census Area,02105
Alaska,Juneau City and Borough,02110
Alaska,Kenai Peninsula Borough,02122
Alaska,Ketchikan Gateway Borough,02130
Alaska,Kodiak Island Borough,02150
Alaska,Lake and Peninsula Borough,02164
Alaska,Matanuska-Susitna Borough,02170
Alaska,Nome Census Area,02180
Alaska,North Slope Borough,02185
Alaska,Northwest Arctic Borough,02188
Alaska,Petersburg Census Area,02195
Alaska,Prince of Wales-Hyder Census Area,02198
Alaska,Sitka City and Borough,02220
Alaska,Skagway Municipality,02230
Alaska,Southeast Fairbanks Census Area,02240
Alaska,Valdez-Cordova Census Area,02261
Alaska,Wade Hampton Census Area,02270
Alaska,Wrangell City and Borough,02275
Alaska,Yakutat City and Borough,02282
Alaska,Yukon-Koyukuk Census Area,02290
Arizona,Apache County,04001
Arizona,Cochise County,04003
Arizona,Coconino County,04005
Arizona,Gila County,04007
Arizona,Graham County,04009
Arizona,Greenlee County,04011
Arizona,La Paz County,04012
Arizona,Maricopa County,04013
Arizona,Mohave County,04015
Arizona,Navajo County,04017
Arizona,Pima County,04019
Arizona,Pinal County,04021
Arizona,Santa Cruz County,04023
Arizona,Yavapai County,04025
Arizona,Yuma County,04027
Arkansas,Arkansas County,05001
Arkansas,Ashley County,05003
Arkansas,Baxter County,05005
Arkansas,Benton County,05007
Arkansas,Boone County,05009
Arkansas,Bradley County,05011
Arkansas,Calhoun County,05013
Arkansas,Carroll County,05015
Arkansas,Chicot County,05017
Arkansas,Clark County,05019
Arkansas,Clay County,05021
Arkansas,Cleburne County,05023
Arkansas,Cleveland County,05025
Arkansas,Columbia County,05027
Arkansas,Conway County,05029
Arkansas,Craighead County,05031
Arkansas,Crawford County,05033
Arkansas,Crittenden County,05035
Arkansas,Cross County,05037
Arkansas,Dallas County,05039
Arkansas,Desha County,05041
Arkansas,Drew County,05043
Arkansas,Faulkner County,05045
Arkansas,Franklin County,05047
Arkansas,Fulton County,05049
Arkansas,Garland County,05051
Arkansas,Grant County,05053
Arkansas,Greene County,05055
Arkansas,Hempstead County,05057
Arkansas,Hot Spring County,05059
Arkansas,Howard County,05061
Arkansas,Independence County,05063
Arkansas,Izard County,05065
Arkansas,Jackson County,05067
Arkansas,Jefferson County,05069
Arkansas,Johnson County,05071
Arkansas,Lafayette County,05073
Arkansas,Lawrence County,05075
Arkansas,Lee County,05077
Arkansas,Lincoln County,05079
Arkansas,Little River County,05081
Arkansas,Logan County,05083
Arkansas,Lonoke County,05085
Arkansas,Madison County,05087
Arkansas,Marion County,05089
Arkansas,Miller County,05091
Arkansas,Mississippi County,05093
Arkansas,Monroe County,05095
Arkansas,Montgomery County,05097
Arkansas,Nevada County,05099
Arkansas,Newton County,05101
Arkansas,Ouachita County,05103
Arkansas,Perry County,05105
Arkansas,Phillips County,05107
Arkansas,Pike County,05109
Arkansas,Poinsett County,05111
Arkansas,Polk County,05113
Arkansas,Pope County,05115
Arkansas,Prairie County,05117
Arkansas,Pulaski County,05119
Arkansas,Randolph County,05121
Arkansas,St. Francis County,05123
Arkansas,Saline County,05125
Arkansas,Scott County,05127
Arkansas,Searcy County,05129
Arkansas,Sebastian County,05131
Arkansas,Sevier County,05133
Arkansas,Sharp County,05135
Arkansas,Stone County,05137
Arkansas,Union County,05139
Arkansas,Van Buren County,05141
Arkansas,Washington County,05143
Arkansas,White County,05145
Arkansas,Woodruff County,05147
