location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
United Arab Emirates,2021-01-05,"Pfizer/BioNTech, Sinopharm",826301,,,https://twitter.com/NCEMAUAE/status/1346504959441952768
United Arab Emirates,2021-01-07,"Pfizer/BioNTech, Sinopharm",887697,,,https://twitter.com/NCEMAUAE/status/1347232548955574273
United Arab Emirates,2021-01-08,"Pfizer/BioNTech, Sinopharm",941556,,,https://twitter.com/NCEMAUAE/status/1347561767166222344
United Arab Emirates,2021-01-09,"Pfizer/BioNTech, Sinopharm",1020349,,,https://twitter.com/NCEMAUAE/status/1348001653262348292
United Arab Emirates,2021-01-10,"Pfizer/BioNTech, Sinopharm",1086568,836568.0,250000.0,https://twitter.com/NCEMAUAE/status/1348238179673976832
United Arab Emirates,2021-01-11,"Pfizer/BioNTech, Sinopharm",1167251,917251.0,250000.0,https://twitter.com/NCEMAUAE/status/1348600730488369155
United Arab Emirates,2021-01-12,"Pfizer/BioNTech, Sinopharm",1275652,1025652.0,250000.0,https://twitter.com/NCEMAUAE/status/1348997372420841475
United Arab Emirates,2021-01-13,"Pfizer/BioNTech, Sinopharm",1394580,1144580.0,250000.0,https://twitter.com/NCEMAUAE/status/1349326115697995778
United Arab Emirates,2021-01-14,"Pfizer/BioNTech, Sinopharm",1527833,1277833.0,250000.0,https://twitter.com/NCEMAUAE/status/1349687631005806592
United Arab Emirates,2021-01-15,"Pfizer/BioNTech, Sinopharm",1665987,1415987.0,250000.0,https://twitter.com/NCEMAUAE/status/1350050002580733956
United Arab Emirates,2021-01-16,"Pfizer/BioNTech, Sinopharm",1797926,1547926.0,250000.0,https://twitter.com/NCEMAUAE/status/1350412326734876672
United Arab Emirates,2021-01-17,"Pfizer/BioNTech, Sinopharm",1882778,1632778.0,250000.0,https://twitter.com/NCEMAUAE/status/1350774713262493703
United Arab Emirates,2021-01-18,"Pfizer/BioNTech, Sinopharm",1971521,1721521.0,250000.0,https://twitter.com/NCEMAUAE/status/1351141721288142848
United Arab Emirates,2021-01-19,"Pfizer/BioNTech, Sinopharm",2065367,1815367.0,250000.0,https://twitter.com/NCEMAUAE/status/1351500507366490115
United Arab Emirates,2021-01-20,"Pfizer/BioNTech, Sinopharm",2161150,1911150.0,250000.0,http://covid19.ncema.gov.ae/en
United Arab Emirates,2021-01-21,"Pfizer/BioNTech, Sinopharm",2246069,1996069.0,250000.0,http://covid19.ncema.gov.ae/en
United Arab Emirates,2021-01-22,"Pfizer/BioNTech, Sinopharm",2339078,2089078.0,250000.0,http://covid19.ncema.gov.ae/en
United Arab Emirates,2021-01-23,"Pfizer/BioNTech, Sinopharm",2426798,2176798.0,250000.0,http://covid19.ncema.gov.ae/en
United Arab Emirates,2021-01-24,"Pfizer/BioNTech, Sinopharm",2487789,2237789.0,250000.0,http://covid19.ncema.gov.ae/en
United Arab Emirates,2021-01-25,"Pfizer/BioNTech, Sinopharm",2571091,2321091.0,250000.0,http://covid19.ncema.gov.ae/en
United Arab Emirates,2021-01-26,"Pfizer/BioNTech, Sinopharm",2677680,2427680.0,250000.0,http://covid19.ncema.gov.ae/en
