date,location,people_vaccinated,people_fully_vaccinated,total_vaccinations,vaccine,source_url
2020-12-19,Canada,8734.0,0.0,,Pfizer/BioNTech,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2020-12-26,Canada,33734.0,0.0,,Pfizer/BioNTech,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-02,Canada,77521.0,0.0,,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-09,Canada,213147.0,3613.0,,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-12,Canada,,,267078.0,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-13,Canada,,,288488.0,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-14,Canada,,,310788.0,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-15,Canada,,,342227.0,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-16,Canada,554017.0,37625.0,,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-18,Canada,,,422864.0,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-19,Canada,,,459780.0,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-20,Canada,,,485739.0,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-21,Canada,,,707223.0,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-22,Canada,,,753136.0,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-25,Canada,,,803315.0,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-26,Canada,,,828141.0,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
2021-01-27,Canada,,,886914.0,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/
