location,date,total_vaccinations,vaccine,source_url
Saudi Arabia,2021-01-06,100000,Pfizer/BioNTech,https://coronamap.sa
Saudi Arabia,2021-01-07,137862,Pfizer/BioNTech,https://coronamap.sa
Saudi Arabia,2021-01-11,178337,Pfizer/BioNTech,https://coronamap.sa
Saudi Arabia,2021-01-17,295530,Pfizer/BioNTech,https://coronamap.sa
Saudi Arabia,2021-01-29,391643,Pfizer/BioNTech,https://coronamap.sa
Saudi Arabia,2021-02-01,440618,Pfizer/BioNTech,https://coronamap.sa
Saudi Arabia,2021-02-07,443153,Pfizer/BioNTech,https://coronamap.sa
Saudi Arabia,2021-02-11,444465,Pfizer/BioNTech,https://coronamap.sa
Saudi Arabia,2021-02-14,446940,Pfizer/BioNTech,https://coronamap.sa
Saudi Arabia,2021-02-16,462812,Pfizer/BioNTech,https://coronamap.sa
Saudi Arabia,2021-02-18,501710,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-02-24,600798,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-02-25,639587,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-02-26,639587,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-02-28,780667,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-02,885411,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-03,1003287,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-04,1194019,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-05,1264878,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-07,1332740,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-08,1484935,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-09,1640975,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-10,1685881,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-11,1823819,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-12,2007232,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-13,2082780,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-14,2232110,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-15,2336749,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-16,2450781,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-17,2577630,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-18,2692143,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
Saudi Arabia,2021-03-19,2705348,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronamap.sa
