location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
Costa Rica,2020-12-24,Pfizer/BioNTech,55,,,https://www.presidencia.go.cr/comunicados/2020/12/55-ticos-recibieron-la-primera-dosis-de-la-vacuna-contra-covid-19-este-24-de-diciembre/
Costa Rica,2021-01-03,Pfizer/BioNTech,2455,,,https://www.ccss.sa.cr/noticias/servicios_noticia?2-455-personas-iniciaron-nuevo-ano-con-la-primera-dosis-de-la-vacuna-contra-covid-19
Costa Rica,2021-01-08,Pfizer/BioNTech,9751,,,https://www.ccss.sa.cr/noticias/servicios_noticia?9-751-personas-recibieron-primera-dosis-de-vacuna-para-evitar-la-covid19
Costa Rica,2021-01-15,Pfizer/BioNTech,24859,24804.0,55.0,https://www.ccss.sa.cr/noticias/servicios_noticia?ccss-registra-24-859-vacunas-contra-la-covid19-aplicadas
Costa Rica,2021-01-18,Pfizer/BioNTech,29389,29257.0,132.0,https://www.larepublica.net/noticia/sube-a-29389-las-dosis-de-vacunas-covid-19-aplicadas-en-costa-rica/
Costa Rica,2021-01-25,Pfizer/BioNTech,48128,45707.0,2421.0,https://www.ccss.sa.cr/noticias/servicios_noticia?ccss-ha-colocado-48-128-vacunas-contra-la-covid-19
Costa Rica,2021-02-01,Pfizer/BioNTech,57701,45863.0,11838.0,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
Costa Rica,2021-02-08,Pfizer/BioNTech,75113,46750.0,28363.0,https://twitter.com/CarlosAlvQ/status/1358890771701633025
Costa Rica,2021-02-15,Pfizer/BioNTech,96948,54395.0,42553.0,https://www.ccss.sa.cr/noticias/servicios_noticia?42-mil-costarricenses-completaron-esquema-de-vacunacion-contra-covid&fbclid=IwAR0Dk1K7u-UwcfZ1oubVY3Y3PczK2JorY6ETERZMVXZreXYqnwrI5QYZ6kE
Costa Rica,2021-02-22,Pfizer/BioNTech,101183,57162.0,44021.0,https://www.larepublica.net/noticia/en-costa-rica-ya-se-aplicaron-mas-de-100-mil-vacunas-contra-covid-19
Costa Rica,2021-03-01,Pfizer/BioNTech,149812,103695.0,46117.0,https://www.ccss.sa.cr/noticias/salud_noticia?ccss-registra-149-812-vacunas-aplicadas-contra-la-covid-19&fbclid=IwAR1kpWQVip70s5t3IAXdYdQ0StmIdd5SmVDw5Hsv8yjOHrzndCv95_VwNXc
Costa Rica,2021-03-05,Pfizer/BioNTech,193273,142049.0,51224.0,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-03-08,Pfizer/BioNTech,204586,151841.0,52745.0,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-03-12,Pfizer/BioNTech,241724,187826.0,53898.0,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-03-15,Pfizer/BioNTech,248082,190088.0,57994.0,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-03-22,Pfizer/BioNTech,312425,206198.0,106227.0,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-03-24,Pfizer/BioNTech,348037,213404.0,134633.0,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-03-29,Pfizer/BioNTech,384355,224092.0,160263.0,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-04-06,Pfizer/BioNTech,504930,291368.0,213562.0,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Costa Rica,2021-04-12,Pfizer/BioNTech,586799,354291.0,232508.0,https://www.ccss.sa.cr/web/coronavirus/vacunacion
