location,date,total_vaccinations,people_vaccinated,people_fully_vaccinatede,source_url,vaccine
United States,2020-12-13,4867.0,4324.0,519.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,Pfizer/BioNTech
United States,2020-12-14,8285.0,7629.0,521.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,Pfizer/BioNTech
United States,2020-12-15,55662.0,52309.0,537.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,Pfizer/BioNTech
United States,2020-12-16,211599.0,203251.0,696.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,Pfizer/BioNTech
United States,2020-12-17,477117.0,462383.0,1114.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,Pfizer/BioNTech
United States,2020-12-18,877102.0,855618.0,1502.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,Pfizer/BioNTech
United States,2020-12-19,1042913.0,1019113.0,2099.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,Pfizer/BioNTech
United States,2020-12-20,1139419.0,1114139.0,2395.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,Pfizer/BioNTech
United States,2020-12-21,1504052.0,1474082.0,2905.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,Pfizer/BioNTech
United States,2020-12-22,1938020.0,1901890.0,4503.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,Pfizer/BioNTech
United States,2020-12-23,2483993.0,2440336.0,5818.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2020-12-24,2671338.0,2624137.0,6541.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2020-12-25,2682992.0,2635747.0,6560.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2020-12-26,2813781.0,2765340.0,6774.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2020-12-27,2902086.0,2852178.0,6997.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2020-12-28,3454676.0,3398480.0,8515.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2020-12-29,4128315.0,4063288.0,10563.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2020-12-30,4907874.0,4835484.0,13036.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2020-12-31,5301398.0,5225690.0,13962.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-01,5335172.0,5258820.0,14245.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-02,5571419.0,5491427.0,15759.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-03,5687250.0,5604016.0,17424.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-04,6280061.0,6154021.0,55392.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-05,7027020.0,6823284.0,128627.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-06,7944895.0,7590223.0,273273.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-07,8997765.0,8397066.0,513088.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-08,10097262.0,9178380.0,824315.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-09,10590432.0,9542692.0,935205.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-10,10809804.0,9700765.0,995456.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-11,11622330.0,10184228.0,1317291.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-12,12729604.0,11003431.0,1598609.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-13,13904198.0,11933281.0,1838327.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-14,15016950.0,12925681.0,1954267.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-15,16116213.0,13922640.0,2053951.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-16,16684111.0,14430700.0,2112379.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-17,16945387.0,14657767.0,2145780.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-18,17688082.0,15212510.0,2331883.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-19,18826617.0,16052324.0,2626187.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-20,20156468.0,17037882.0,2966923.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-21,21479068.0,18146264.0,3178472.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-22,22686836.0,19204006.0,3326725.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-23,23303425.0,19726203.0,3420531.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-24,24634323.0,20752438.0,3634256.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-25,25804222.0,21507419.0,4043699.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-26,27211351.0,22434867.0,4518207.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-27,28953086.0,23612609.0,5070244.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-28,30702935.0,24871689.0,5539685.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-29,32250476.0,26015263.0,5933138.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-30,33075601.0,26649414.0,6116403.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-01-31,33430993.0,26911365.0,6201767.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-02-01,34346781.0,27435949.0,6566893.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-02-02,35098100.0,27843002.0,6882705.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
United States,2021-02-03,35203710.0,27905197.0,6926050.0,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends,"Moderna, Pfizer/BioNTech"
