date,total_vaccinations,location,people_fully_vaccinated,people_vaccinated,vaccine,source_url
2020-12-27,965,Romania,0,965,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2020-12-28,2066,Romania,0,2066,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2020-12-29,2778,Romania,0,2778,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2020-12-30,5666,Romania,0,5666,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2020-12-31,10289,Romania,0,10289,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-01,11656,Romania,0,11656,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-02,13242,Romania,0,13242,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-03,13596,Romania,0,13596,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-04,25508,Romania,0,25508,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-05,41609,Romania,0,41609,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-06,58554,Romania,0,58554,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-07,76400,Romania,0,76400,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-08,92706,Romania,0,92706,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-09,102301,Romania,0,102301,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-10,108294,Romania,0,108294,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-11,125190,Romania,0,125190,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-12,140447,Romania,0,140447,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-13,154268,Romania,0,154268,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-14,154268,Romania,0,154268,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-15,183669,Romania,0,183669,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-16,196090,Romania,0,196090,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-17,204185,Romania,875,203310,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-18,235239,Romania,1950,233289,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-19,270046,Romania,2621,267425,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-20,308384,Romania,5813,302571,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-21,348096,Romania,9843,338253,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-22,385936,Romania,11254,374682,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-23,418885,Romania,12878,406007,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-24,446285,Romania,13155,433130,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-25,484631,Romania,25063,459568,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-26,528378,Romania,40666,487712,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-27,570704,Romania,57274,513430,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-28,609396,Romania,75049,534347,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-29,647000,Romania,92075,554925,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-30,672396,Romania,101304,571092,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-31,691415,Romania,106196,585219,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-01,721184,Romania,123048,598136,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-02,748732,Romania,138348,610384,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-03,772202,Romania,152025,620177,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-04,794795,Romania,165515,629280,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-05,821552,Romania,182665,638887,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-06,840812,Romania,193121,647691,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-07,856322,Romania,200144,656178,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-08,891348,Romania,230285,661063,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-09,930155,Romania,263212,666943,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-10,970967,Romania,299518,671449,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-11,1009421,Romania,334187,675234,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-12,1048797,Romania,369464,679333,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-13,1084096,Romania,400749,683347,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-14,1113975,Romania,427340,686635,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-15,1151112,Romania,454168,696944,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-16,1197089,Romania,481340,715749,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-17,1240408,Romania,505479,734929,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-18,1280228,Romania,526475,753753,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-19,1318355,Romania,547115,771240,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-20,1351279,Romania,562771,788508,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-21,1379223,Romania,576125,803098,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-22,1409087,Romania,589640,819447,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-23,1438432,Romania,601572,836860,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-24,1466649,Romania,611552,855097,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-25,1486907,Romania,614546,872361,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-26,1506032,Romania,615964,890068,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-27,1521736,Romania,616594,905142,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-28,1532872,Romania,617111,915761,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-01,1565021,Romania,618240,946781,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-02,1603179,Romania,619182,983997,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-03,1641874,Romania,619808,1022066,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-04,1685611,Romania,627159,1058452,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-05,1732964,Romania,636053,1096911,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-06,1781602,Romania,645707,1135895,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-07,1826786,Romania,653567,1173219,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-08,1870244,Romania,658741,1211503,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-09,1918443,Romania,664642,1253801,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-10,1969846,Romania,673685,1296161,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-11,2019757,Romania,683929,1335828,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-12,2069143,Romania,694548,1374595,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-13,2117865,Romania,705229,1412636,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-14,2160564,Romania,714206,1446358,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-15,2210140,Romania,723956,1486184,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-16,2270124,Romania,739641,1530483,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-17,2324405,Romania,752939,1571466,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
