location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
Saint Lucia,2021-02-16,Oxford/AstraZeneca,0,0.0,0.0,https://www.loopslu.com/content/slmda-excited-vaccination-rollout-begin
Saint Lucia,2021-03-04,Oxford/AstraZeneca,2094,2094.0,0.0,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/a.2596703290449740/3920340978085958/?type=3&theater
Saint Lucia,2021-03-12,Oxford/AstraZeneca,17389,17389.0,0.0,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/3943336199119769
Saint Lucia,2021-03-19,Oxford/AstraZeneca,20247,20247.0,0.0,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/a.2596703290449740/3960352537418135/
Saint Lucia,2021-03-28,Oxford/AstraZeneca,21494,,,https://www.covid19response.lc/
Saint Lucia,2021-03-30,Oxford/AstraZeneca,22011,,,https://www.covid19response.lc/
Saint Lucia,2021-03-31,Oxford/AstraZeneca,22357,,,https://www.covid19response.lc/
Saint Lucia,2021-04-01,Oxford/AstraZeneca,22554,,,https://www.covid19response.lc/
Saint Lucia,2021-04-07,Oxford/AstraZeneca,22839,,,https://www.covid19response.lc/
Saint Lucia,2021-04-08,Oxford/AstraZeneca,22935,,,https://www.covid19response.lc/
Saint Lucia,2021-04-09,Oxford/AstraZeneca,23150,,,https://www.covid19response.lc/
Saint Lucia,2021-04-10,Oxford/AstraZeneca,23257,,,https://www.covid19response.lc/
