date,total_vaccinations,location,source_url,vaccine
2021-01-24,163931,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-01-25,173638,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-01-26,185356,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-01-27,203450,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-01-28,215498,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-01-29,226298,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-01-30,176286,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-01-31,248055,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-02-01,277275,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-02-02,303702,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-02-03,330494,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-02-04,356517,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-02-05,382975,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-02-06,414198,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-02-07,414858,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Pfizer/BioNTech"
2021-02-08,434417,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,460252,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,489558,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,518710,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,548430,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,577620,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,606861,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-15,623539,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-16,654186,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-17,687306,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-18,719632,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-19,750899,Netherlands,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
