label,preprocess,code_name,keep,full_name,title,subtitle
i1_health,,household_members_contact,True,About how many people from your household have you come into physical contact with (within 2 meters / 6 feet)?,Number of people from own household that respondents came into physical contact with (within 2m/6ft),
i2_health,,people_contact_outside_household,True,"Not including those people in your household, about how many people have you come into physical contact with (within 2 meters / 6 feet)?",Number of people from outside own household that respondents came into physical contact with (within 2m/6ft),
i7a_health,,times_left_home_yesterday,True,"How many times did you leave your home yesterday? If you are not staying at home, how many times did you leave where you are staying yesterday?",Number of times respondents left home yesterday,
i5a_health,binary,contact_symptomatic_person_before_own_symptoms,False,"Thinking about the 7 days before your symptoms started, had you been in physical contact (within 2 meters / 6 feet) with someone who has a confirmed diagnosis of coronavirus (Covid-19), or someone with the relevant symptoms.",Share of respondents who had contact with a symptomatic person before developing COVID-19 symptoms,"Share of respondents who answered ""Yes"" to the question: ""Thinking about the 7 days before your symptoms started, had you been in physical contact (within 2 meters) with someone who has a confirmed diagnosis of COVID-19, or someone with the following symptoms: a dry cough, fever, loss of sense of smell, loss of sense of taste, shortness of breath or difficulty breathing?"""
i6_health,frequency,isolated_with_symptoms,False,"Since developing those symptoms, have you self-isolated yourself on each of the following 7 days?",Share of respondents who self-isolated after developing COVID-19 symptoms,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Since developing your symptoms, to what extent have you self-isolated yourself on each of the following 7 days?"""
i7b_health,binary,doctor_visit_last_week_with_symptoms,False,"And in the last 7 days, have you physically been to the premises of a doctor, nurse, pharmacy or hospital as a result of having those symptoms?",Share of respondents who visited a doctor in past 7 days with COVID-19 symptoms,"Share of respondents who answered ""Yes"" to the question: ""In the last 7 days, have you physically been to the premises of a doctor, nurse, pharmacy or hospital as a result of your symptoms?"""
i8_health,binary,visited_covid_location_before_symptoms,False,"And thinking about the 7 days before your symptoms started, did you travel to a location where coronavirus has been reported?",Share of respondents who traveled to a location where COVID-19 was reported in the 7 days before developing COVID-19 symptoms,"Share of respondents who answered ""Yes"" to the question: ""Thinking about the 7 days before your symptoms started, did you travel to a location where coronavirus has been reported?"""
i9_health,binary,willingness_isolate_if_symptoms,True,"Thinking about the next 7 days... would you isolate yourself after feeling unwell or having any of the following new symptoms: a dry cough, fever, loss of sense of smell, loss of sense of taste, shortness of breath or difficulty breathing?",Share of respondents who are willing to isolate if they develop COVID-19 symptoms,"Share of respondents who answered ""Yes"" to the question: ""Thinking about the next 7 days, would you isolate yourself after feeling unwell or having any of the following new symptoms: a dry cough, fever, loss of sense of smell, loss of sense of taste, shortness of breath or difficulty breathing?"""
i10_health,easiness,difficult_to_isolate,True,"If you were advised to do so by a healthcare professional or public health authority, would it be difficult for you to self-isolate for 7 days?",Share of respondents would have difficulty self-isolating for 7 days,"Share of respondents who answered ""Very difficult"" or ""Somewhat difficult"" to the question: ""If you were advised to do so by a healthcare professional or public health authority, how easy or difficult would it be for you to self-isolate for 7 days?"""
i11_health,willingness,willingness_isolate_if_advised,True,"If you were advised to do so by a healthcare professional or public health authority, would you be willing to self-isolate for 7 days?",Share of respondents who are willing to isolate if advised by a healthcare professional or authority,"Share of respondents who answered ""Very willing"" or ""Somewhat willing"" to the question: ""If you were advised to do so by a healthcare professional or public health authority, to what extent are you willing or not to self-isolate for 7 days?"""
i12_health_1,frequency,mask_outside_home,True,"Worn a face mask outside your home (e.g. when on public transport, going to a supermarket, going to a main road)",Share of respondents who wear a face mask,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you worn a face mask outside your home (e.g. when on public transport, going to a supermarket, going to a main road) in order to protect yourself or others from COVID-19?"""
i12_health_2,frequency,washed_hands,True,Washed hands with soap and water,Share of respondents who frequently wash their hands with soap and water,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you washed your hands with soap and water in order to protect yourself or others from COVID-19?"""
i12_health_3,frequency,hand_sanitiser,True,Used hand sanitiser,Share of respondents who frequently use hand sanitiser,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you used hand sanitiser in order to protect yourself or others from COVID-19?"""
i12_health_4,frequency,covered_mouth_sneeze,True,Covered your nose and mouth when sneezing or coughing,Share of respondents who frequently cover their nose and mouth when sneezing or coughing,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you covered your nose and mouth when sneezing or coughing in order to protect yourself or others from COVID-19?"""
i12_health_5,frequency,avoided_people_with_symptoms,True,Avoided contact with people who have symptoms or you think may have been exposed to the coronavirus,Share of respondents who avoid contact with symptomatic people,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided contact with people who have symptoms or you think may have been exposed to COVID-19 in order to protect yourself or others from COVID-19?"""
i12_health_6,frequency,avoided_going_out,True,Avoided going out in general,Share of respondents who avoid going out,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided going out in general in order to protect yourself or others from COVID-19?"""
i12_health_7,frequency,avoided_healthcare_settings,True,Avoided going to hospital or other healthcare settings,Share of respondents who avoid healthcare settings,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided going to hospital or other healthcare settings in order to protect yourself or others from COVID-19?"""
i12_health_8,frequency,avoided_public_transport,True,Avoided taking public transport,Share of respondents who avoid public transport,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided taking public transport in order to protect yourself or others from COVID-19?"""
i12_health_9,frequency,avoided_working_outside_home,True,Avoided working outside your home,Share of respondents who avoid working outside their home,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided working outside your home in order to protect yourself or others from COVID-19?"""
i12_health_10,frequency,children_avoided_school,True,Avoided letting your children go to school/ university,Share of respondents who avoid sending their children to school or university,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided letting your children go to school/university in order to protect yourself or others from COVID-19?"""
i12_health_11,frequency,avoided_guests_at_home,True,Avoided having guests to your home,Share of respondents who avoid having guests at home,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided having guests to your home in order to protect yourself or others from COVID-19?"""
i12_health_12,frequency,avoided_small_gatherings,True,Avoided small social gatherings (not more than 2 people),Share of respondents who avoid small gatherings,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided small social gatherings (not more than 2 people) in order to protect yourself or others from COVID-19?"""
i12_health_13,frequency,avoided_medium_gatherings,True,Avoided medium-sized social gatherings (between 3 and 10 people),Share of respondents who avoid medium gatherings,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided medium-sized social gatherings (between 3 and 10 people) in order to protect yourself or others from COVID-19?"""
i12_health_14,frequency,avoided_large_gatherings,True,Avoided large-sized social gatherings (more than 10 people),Share of respondents who avoid large gatherings,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided large-sized social gatherings (more than 10 people) in order to protect yourself or others from COVID-19?"""
i12_health_15,frequency,avoided_crowded_areas,True,Avoided crowded areas,Share of respondents who avoid crowded areas,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided crowded areas in order to protect yourself or others from COVID-19?"""
i12_health_16,frequency,avoided_shops,True,Avoided going to shops,Share of respondents who avoid going to shops,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided going to shops in order to protect yourself or others from COVID-19?"""
i12_health_17,frequency,slept_separate_bedrooms,True,"Slept in separate bedrooms at home, when normally you would share a bedroom",Share of respondents who sleep in separate bedrooms at home,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you slept in separate bedrooms at home, when normally you would share a bedroom in order to protect yourself or others from COVID-19?"""
i12_health_18,frequency,eaten_separately,True,"Eaten separately at home, when normally you would eat a meal with others",Share of respondents who eat separately at home,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you eaten separately at home, when normally you would eat a meal with others in order to protect yourself or others from COVID-19?"""
i12_health_19,frequency,cleaned_surfaces_home,True,"Cleaned frequently touched surfaces in the home (e.g. doorknobs, toilets, taps)",Share of respondents who clean frequently touched surfaces at home,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you cleaned frequently touched surfaces in the home (e.g. doorknobs, toilets, taps) in order to protect yourself or others from COVID-19?"""
i12_health_20,frequency,avoided_objects_public,True,Avoided touching objects in public (e.g. elevator buttons or doors),Share of respondents who avoid touching objects in public,"Share of respondents who answered ""Always"" or ""Frequently"" to the question: ""Thinking about the last 7 days, how often have you avoided touching objects in public (e.g. elevator buttons or doors) in order to protect yourself or others from COVID-19?"""
i13_health,,handwashing_yesterday,True,"Thinking about yesterday... about how many times, would you say you washed your hands with soap or used hand sanitiser?",Number of times respondents washed their hands or used hand sanitiser yesterday,
WCRV_4,scariness,scared_contracting_covid,True,Scared that I will contract the Coronavirus (COVID-19),Share of respondents who are scared of contracting COVID-19,"Share of respondents who said that they are ""Very scared"" or ""Fairly scared"" that they will contract COVID-19 in response to the question: ""Which, if any, of the following statements best describes your feelings towards contracting COVID-19?"""
CORE_B2_4,happiness,happier_two_weeks_ago,True,"Compared with two weeks ago, would you say you are more happy now?",Share of respondents who are happier now than two weeks ago,"Share of respondents who answered ""Much more happy now"" or ""Somewhat more happy now"" to the question: ""Compared with two weeks ago, would you say you are more happy now?"""
