Datum_avliden,Antal_avlidna
2020-03-11,1
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,2
2020-03-16,2
2020-03-17,1
2020-03-18,6
2020-03-19,7
2020-03-20,9
2020-03-21,8
2020-03-22,11
2020-03-23,11
2020-03-24,21
2020-03-25,22
2020-03-26,31
2020-03-27,32
2020-03-28,35
2020-03-29,38
2020-03-30,45
2020-03-31,48
2020-04-01,53
2020-04-02,70
2020-04-03,80
2020-04-04,70
2020-04-05,85
2020-04-06,90
2020-04-07,84
2020-04-08,115
2020-04-09,86
2020-04-10,90
2020-04-11,102
2020-04-12,97
2020-04-13,84
2020-04-14,91
2020-04-15,115
2020-04-16,111
2020-04-17,83
2020-04-18,86
2020-04-19,87
2020-04-20,85
2020-04-21,62
2020-04-22,77
2020-04-23,86
2020-04-24,89
2020-04-25,73
2020-04-26,74
2020-04-27,74
2020-04-28,83
2020-04-29,83
2020-04-30,78
2020-05-01,78
2020-05-02,72
2020-05-03,75
2020-05-04,84
2020-05-05,72
2020-05-06,73
2020-05-07,80
2020-05-08,60
2020-05-09,68
2020-05-10,73
2020-05-11,65
2020-05-12,61
2020-05-13,50
2020-05-14,46
2020-05-15,58
2020-05-16,48
2020-05-17,52
2020-05-18,59
2020-05-19,41
2020-05-20,52
2020-05-21,53
2020-05-22,56
2020-05-23,55
2020-05-24,44
2020-05-25,42
2020-05-26,28
2020-05-27,38
2020-05-28,40
2020-05-29,40
2020-05-30,38
2020-05-31,46
2020-06-01,39
2020-06-02,36
2020-06-03,28
2020-06-04,43
2020-06-05,37
2020-06-06,29
2020-06-07,33
2020-06-08,38
2020-06-09,33
2020-06-10,39
2020-06-11,35
2020-06-12,29
2020-06-13,33
2020-06-14,27
2020-06-15,30
2020-06-16,28
2020-06-17,32
2020-06-18,29
2020-06-19,30
2020-06-20,29
2020-06-21,22
2020-06-22,20
2020-06-23,25
2020-06-24,22
2020-06-25,23
2020-06-26,11
2020-06-27,14
2020-06-28,23
2020-06-29,16
2020-06-30,20
2020-07-01,15
2020-07-02,15
2020-07-03,8
2020-07-04,15
2020-07-05,9
2020-07-06,15
2020-07-07,12
2020-07-08,10
2020-07-09,15
2020-07-10,14
2020-07-11,10
2020-07-12,8
2020-07-13,12
2020-07-14,8
2020-07-15,6
2020-07-16,6
2020-07-17,7
2020-07-18,11
2020-07-19,7
2020-07-20,6
2020-07-21,7
2020-07-22,6
2020-07-23,5
2020-07-24,3
2020-07-25,1
2020-07-26,2
2020-07-27,6
2020-07-28,4
2020-07-29,1
2020-07-30,0
2020-07-31,2
2020-08-01,2
2020-08-02,3
2020-08-03,4
2020-08-04,2
2020-08-05,1
2020-08-06,4
2020-08-07,2
2020-08-08,1
2020-08-09,4
2020-08-10,2
2020-08-11,4
2020-08-12,3
2020-08-13,5
2020-08-14,1
2020-08-15,1
2020-08-16,0
2020-08-17,3
2020-08-18,4
2020-08-19,1
2020-08-20,2
2020-08-21,5
2020-08-22,1
2020-08-23,3
2020-08-24,1
2020-08-25,1
2020-08-26,2
2020-08-27,1
2020-08-28,1
2020-08-29,1
2020-08-30,3
2020-08-31,2
2020-09-01,3
2020-09-02,2
2020-09-03,2
2020-09-04,0
2020-09-05,0
2020-09-06,3
2020-09-07,1
2020-09-08,1
2020-09-09,2
2020-09-10,2
2020-09-11,4
2020-09-12,1
2020-09-13,2
2020-09-14,2
2020-09-15,1
2020-09-16,2
2020-09-17,1
2020-09-18,1
2020-09-19,1
2020-09-20,4
2020-09-21,2
2020-09-22,1
2020-09-23,0
2020-09-24,1
2020-09-25,4
2020-09-26,2
2020-09-27,1
2020-09-28,1
2020-09-29,2
2020-09-30,4
2020-10-01,1
2020-10-02,3
2020-10-03,3
2020-10-04,3
2020-10-05,2
2020-10-06,4
2020-10-07,3
2020-10-08,1
2020-10-09,5
2020-10-10,5
2020-10-11,2
2020-10-12,3
2020-10-13,1
2020-10-14,2
2020-10-15,3
2020-10-16,2
2020-10-17,4
2020-10-18,1
2020-10-19,4
2020-10-20,4
2020-10-21,3
2020-10-22,9
2020-10-23,7
2020-10-24,8
2020-10-25,8
2020-10-26,11
2020-10-27,9
2020-10-28,9
2020-10-29,9
2020-10-30,9
2020-10-31,13
2020-11-01,22
2020-11-02,20
2020-11-03,20
2020-11-04,21
2020-11-05,22
2020-11-06,25
2020-11-07,27
2020-11-08,22
2020-11-09,35
2020-11-10,35
2020-11-11,27
2020-11-12,28
2020-11-13,33
2020-11-14,38
2020-11-15,39
2020-11-16,37
2020-11-17,44
2020-11-18,50
2020-11-19,46
2020-11-20,45
2020-11-21,51
2020-11-22,59
2020-11-23,55
2020-11-24,68
2020-11-25,69
2020-11-26,60
2020-11-27,65
2020-11-28,50
2020-11-29,50
2020-11-30,67
2020-12-01,67
2020-12-02,71
2020-12-03,77
2020-12-04,70
2020-12-05,43
2020-12-06,81
2020-12-07,59
2020-12-08,54
2020-12-09,75
2020-12-10,86
2020-12-11,88
2020-12-12,67
2020-12-13,71
2020-12-14,94
2020-12-15,88
2020-12-16,102
2020-12-17,117
2020-12-18,71
2020-12-19,80
2020-12-20,93
2020-12-21,77
2020-12-22,92
2020-12-23,87
2020-12-24,88
2020-12-25,106
2020-12-26,94
2020-12-27,99
2020-12-28,121
2020-12-29,73
2020-12-30,90
2020-12-31,110
2021-01-01,87
2021-01-02,100
2021-01-03,83
2021-01-04,86
2021-01-05,93
2021-01-06,82
2021-01-07,103
2021-01-08,99
2021-01-09,90
2021-01-10,91
2021-01-11,89
2021-01-12,88
2021-01-13,90
2021-01-14,95
2021-01-15,87
2021-01-16,82
2021-01-17,61
2021-01-18,73
2021-01-19,91
2021-01-20,87
2021-01-21,88
2021-01-22,60
2021-01-23,63
2021-01-24,52
2021-01-25,57
2021-01-26,66
2021-01-27,53
2021-01-28,54
2021-01-29,58
2021-01-30,56
2021-01-31,39
2021-02-01,43
2021-02-02,42
2021-02-03,49
2021-02-04,29
2021-02-05,34
2021-02-06,31
2021-02-07,26
2021-02-08,37
2021-02-09,22
2021-02-10,19
2021-02-11,17
2021-02-12,9
2021-02-13,14
2021-02-14,8
2021-02-15,6
2021-02-16,2
2021-02-17,8
2021-02-18,1
,33
