entity,iso_code,year,population
Afghanistan,AFG,2020,38928341
Albania,ALB,2020,2877800
Algeria,DZA,2020,43851043
American Samoa,ASM,2020,55197
Andorra,AND,2020,77265
Angola,AGO,2020,32866268
Anguilla,AIA,2020,15002
Antigua and Barbuda,ATG,2020,97928
Argentina,ARG,2020,45195777
Armenia,ARM,2020,2963234
Aruba,ABW,2020,106766
Australia,AUS,2020,25499881
Austria,AUT,2020,9006400
Azerbaijan,AZE,2020,10139175
Bahamas,BHS,2020,393248
Bahrain,BHR,2020,1701583
Bangladesh,BGD,2020,164689383
Barbados,BRB,2020,287371
Belarus,BLR,2020,9449321
Belgium,BEL,2020,11589616
Belize,BLZ,2020,397621
Benin,BEN,2020,12123198
Bermuda,BMU,2020,62273
Bhutan,BTN,2020,771612
Bolivia,BOL,2020,11673029
Bonaire Sint Eustatius and Saba,BES,2020,26221
Bosnia and Herzegovina,BIH,2020,3280815
Botswana,BWA,2020,2351625
Brazil,BRA,2020,212559409
British Virgin Islands,VGB,2020,30237
Brunei,BRN,2020,437483
Bulgaria,BGR,2020,6948445
Burkina Faso,BFA,2020,20903278
Burundi,BDI,2020,11890781
Cambodia,KHM,2020,16718971
Cameroon,CMR,2020,26545864
Canada,CAN,2020,37742157
Cape Verde,CPV,2020,555988
Cayman Islands,CYM,2020,65720
Central African Republic,CAF,2020,4829764
Chad,TCD,2020,16425859
Channel Islands,OWID_CIS,2020,173859
Chile,CHL,2020,19116209
China,CHN,2020,1439323774
Colombia,COL,2020,50882884
Comoros,COM,2020,869595
Congo,COG,2020,5518092
Cook Islands,COK,2020,17564
Costa Rica,CRI,2020,5094114
Cote d'Ivoire,CIV,2020,26378275
Croatia,HRV,2020,4105268
Cuba,CUB,2020,11326616
Curacao,CUW,2020,164100
Cyprus,CYP,2020,875899
Czechia,CZE,2020,10708982
Democratic Republic of Congo,COD,2020,89561404
Denmark,DNK,2020,5792203
Djibouti,DJI,2020,988002
Dominica,DMA,2020,71991
Dominican Republic,DOM,2020,10847904
Ecuador,ECU,2020,17643060
Egypt,EGY,2020,102334403
El Salvador,SLV,2020,6486201
Equatorial Guinea,GNQ,2020,1402985
Eritrea,ERI,2020,3546427
Estonia,EST,2020,1326539
Ethiopia,ETH,2020,114963583
Faeroe Islands,FRO,2020,48865
Falkland Islands,FLK,2020,3483
Fiji,FJI,2020,896444
Finland,FIN,2020,5540718
France,FRA,2020,68147687
Gabon,GAB,2020,2225728
Gambia,GMB,2020,2416664
Georgia,GEO,2020,3989175
Germany,DEU,2020,83783945
Ghana,GHA,2020,31072945
Gibraltar,GIB,2020,33691
Greece,GRC,2020,10423056
Greenland,GRL,2020,56772
Grenada,GRD,2020,112519
Guam,GUM,2020,168783
Guatemala,GTM,2020,17915567
Guinea,GIN,2020,13132792
Guinea-Bissau,GNB,2020,1967998
Guyana,GUY,2020,786559
Haiti,HTI,2020,11402533
High-income countries,,2020,1263092934
Honduras,HND,2020,9904608
Hong Kong,HKG,2020,7496988
Hungary,HUN,2020,9660350
Iceland,ISL,2020,341250
India,IND,2020,1380004385
Indonesia,IDN,2020,273523621
Iran,IRN,2020,83992953
Iraq,IRQ,2020,40222503
Ireland,IRL,2020,4937796
Isle of Man,IMN,2020,85032
Israel,ISR,2020,8655541
Italy,ITA,2020,60461828
Jamaica,JAM,2020,2961161
Japan,JPN,2020,126476458
Jordan,JOR,2020,10203140
Kazakhstan,KAZ,2020,18776707
Kenya,KEN,2020,53771300
Kiribati,KIR,2020,119446
Kosovo,OWID_KOS,2020,1932774
Kuwait,KWT,2020,4270563
Kyrgyzstan,KGZ,2020,6524191
Land-locked Developing Countries (LLDC),,2020,533143398
Laos,LAO,2020,7275556
Latvia,LVA,2020,1886202
Least developed countries,,2020,1057438163
Lebanon,LBN,2020,6825442
Lesotho,LSO,2020,2142252
Less developed regions,,2020,6521494468
Liberia,LBR,2020,5057677
Libya,LBY,2020,6871287
Liechtenstein,LIE,2020,38137
Lithuania,LTU,2020,2722291
Low-income countries,,2020,775710612
Lower-middle-income countries,,2020,3098235284
Luxembourg,LUX,2020,625976
Macao,MAC,2020,649342
North Macedonia,MKD,2020,2083380
Madagascar,MDG,2020,27691019
Malawi,MWI,2020,19129955
Malaysia,MYS,2020,32365998
Maldives,MDV,2020,540542
Mali,MLI,2020,20250834
Malta,MLT,2020,441539
Marshall Islands,MHL,2020,59194
Mauritania,MRT,2020,4649660
Mauritius,MUS,2020,1271767
Melanesia,OWID_MNS,2020,11122990
Mexico,MEX,2020,128932753
Micronesia,,2020,548927
Micronesia (country),FSM,2020,115021
Middle-income countries,,2020,5753051615
Moldova,MDA,2020,4033963
Monaco,MCO,2020,39244
Mongolia,MNG,2020,3278292
Montenegro,MNE,2020,628062
Montserrat,MSR,2020,4999
More developed regions,,2020,1273304261
Morocco,MAR,2020,36910558
Mozambique,MOZ,2020,31255435
Myanmar,MMR,2020,54409794
Namibia,NAM,2020,2540916
Nauru,NRU,2020,10834
Nepal,NPL,2020,29136808
Netherlands,NLD,2020,17134873
New Zealand,NZL,2020,4822233
Nicaragua,NIC,2020,6624554
Niger,NER,2020,24206636
Nigeria,NGA,2020,206139587
Niue,NIU,2020,1618
North Korea,PRK,2020,25778815
Northern Mariana Islands,MNP,2020,57557
Norway,NOR,2020,5421242
Oman,OMN,2020,5106622
Pakistan,PAK,2020,220892331
Palau,PLW,2020,18092
Palestine,PSE,2020,5101416
Panama,PAN,2020,4314768
Papua New Guinea,PNG,2020,8947027
Paraguay,PRY,2020,7132530
Peru,PER,2020,32971846
Philippines,PHL,2020,109581085
Poland,POL,2020,37846605
Polynesia,OWID_PYA,2020,683778
Portugal,PRT,2020,10196707
Puerto Rico,PRI,2020,2860840
Qatar,QAT,2020,2881060
Romania,ROU,2020,19237682
Russia,RUS,2020,145934460
Rwanda,RWA,2020,12952209
Saint Helena,SHN,2020,6071
Saint Kitts and Nevis,KNA,2020,53192
Saint Lucia,LCA,2020,183629
Saint Vincent and the Grenadines,VCT,2020,110947
Samoa,WSM,2020,198410
San Marino,SMR,2020,33938
Sao Tome and Principe,STP,2020,219161
Saudi Arabia,SAU,2020,34813867
Senegal,SEN,2020,16743930
Serbia,SRB,2020,6804596
Serbia (including Kosovo),,2020,8737370
Seychelles,SYC,2020,98340
Sierra Leone,SLE,2020,7976985
Singapore,SGP,2020,5850343
Sint Maarten (Dutch part),SXM,2020,42882
Slovakia,SVK,2020,5459643
Slovenia,SVN,2020,2078932
Solomon Islands,SLB,2020,686878
Somalia,SOM,2020,15893219
South Africa,ZAF,2020,59308690
South Korea,KOR,2020,51269183
South Sudan,SSD,2020,11193729
Spain,ESP,2020,46754783
Sri Lanka,LKA,2020,21413250
Sudan,SDN,2020,43849269
Suriname,SUR,2020,586634
Eswatini,SWZ,2020,1160164
Sweden,SWE,2020,10099270
Switzerland,CHE,2020,8654618
Syria,SYR,2020,17500657
Taiwan,TWN,2020,23816775
Tajikistan,TJK,2020,9537642
Tanzania,TZA,2020,59734213
Thailand,THA,2020,69799978
Timor,TLS,2020,1318442
Togo,TGO,2020,8278737
Tokelau,TKL,2020,1350
Tonga,TON,2020,105697
Trinidad and Tobago,TTO,2020,1399491
Tunisia,TUN,2020,11818618
Turkey,TUR,2020,84339067
Turkmenistan,TKM,2020,6031187
Turks and Caicos Islands,TCA,2020,38718
Tuvalu,TUV,2020,11792
Uganda,UGA,2020,45741000
Ukraine,UKR,2020,43733759
United Arab Emirates,ARE,2020,9890400
United Kingdom,GBR,2020,67886004
United States,USA,2020,331002647
United States Virgin Islands,VIR,2020,104423
Upper-middle-income countries,,2020,2654816331
Uruguay,URY,2020,3473727
Uzbekistan,UZB,2020,33469199
Vanuatu,VUT,2020,307150
Vatican,VAT,2020,809
Venezuela,VEN,2020,28435943
Vietnam,VNM,2020,97338583
Western Sahara,ESH,2020,597330
World,OWID_WRL,2020,7794798729
Yemen,YEM,2020,29825968
