location,iso_code,year,hospital_beds_per_thousand
Belgium,BEL,2018,5.64
Canada,CAN,2018,2.5
Colombia,COL,2018,1.71
Denmark,DNK,2018,2.5
Iceland,ISL,2018,2.91
Israel,ISR,2018,2.99
Luxembourg,LUX,2018,4.51
New Zealand,NZL,2018,2.61
Austria,AUT,2017,7.37
Bulgaria,BGR,2017,7.454
Chile,CHL,2017,2.11
China,CHN,2017,4.34
Costa Rica,CRI,2017,1.13
Croatia,HRV,2017,5.54
Cyprus,CYP,2017,3.4
Czechia,CZE,2017,6.63
Estonia,EST,2017,4.69
European Union,"",2017,5.043
Finland,FIN,2017,3.28
France,FRA,2017,5.98
Germany,DEU,2017,8
Greece,GRC,2017,4.21
Hungary,HUN,2017,7.02
India,IND,2017,0.53
Indonesia,IDN,2017,1.04
Ireland,IRL,2017,2.96
Italy,ITA,2017,3.18
Japan,JPN,2017,13.05
Latvia,LVA,2017,5.57
Liechtenstein,LIE,2017,2.397
Lithuania,LTU,2017,6.56
North Macedonia,MKD,2017,4.28
Malta,MLT,2017,4.485
Mexico,MEX,2017,1.38
Montenegro,MNE,2017,3.861
Netherlands,NLD,2017,3.32
Norway,NOR,2017,3.6
Poland,POL,2017,6.62
Portugal,PRT,2017,3.39
Romania,ROU,2017,6.892
Russia,RUS,2017,8.05
Serbia,SRB,2017,5.609
Slovakia,SVK,2017,5.82
Slovenia,SVN,2017,4.5
South Korea,KOR,2017,12.27
Spain,ESP,2017,2.97
Sweden,SWE,2017,2.22
Switzerland,CHE,2017,4.53
Turkey,TUR,2017,2.81
United Kingdom,GBR,2017,2.54
Australia,AUS,2016,3.84
United States,USA,2016,2.77
Afghanistan,AFG,2015,0.5
Algeria,DZA,2015,1.9
Armenia,ARM,2015,4.2
Bangladesh,BGD,2015,0.8
Brunei,BRN,2015,2.7
Cambodia,KHM,2015,0.8
Ethiopia,ETH,2015,0.3
Jordan,JOR,2015,1.4
Kiribati,KIR,2015,1.9
Malaysia,MYS,2015,1.9
Niger,NER,2015,0.3
Singapore,SGP,2015,2.4
Tunisia,TUN,2015,2.3
Antigua and Barbuda,ATG,2014,3.8
Arab World,"",2014,1.625
Argentina,ARG,2014,5
Bahrain,BHR,2014,2
Barbados,BRB,2014,5.8
Belize,BLZ,2014,1.3
Bolivia,BOL,2014,1.1
Brazil,BRA,2014,2.2
Burundi,BDI,2014,0.8
Cuba,CUB,2014,5.2
Djibouti,DJI,2014,1.4
Dominican Republic,DOM,2014,1.6
Egypt,EGY,2014,1.6
El Salvador,SLV,2014,1.3
Grenada,GRD,2014,3.7
Guatemala,GTM,2014,0.6
Guyana,GUY,2014,1.6
Honduras,HND,2014,0.7
Iran,IRN,2014,1.5
Iraq,IRQ,2014,1.4
Kuwait,KWT,2014,2
Latin America & Caribbean,"",2014,2.173
Latin America & Caribbean (excluding high income),"",2014,2.163
Latin America & the Caribbean (IDA & IBRD countries),"",2014,2.09
Lebanon,LBN,2014,2.9
Libya,LBY,2014,3.7
Middle East & North Africa,"",2014,1.628
Middle East & North Africa (IDA & IBRD countries),"",2014,1.517
Middle East & North Africa (excluding high income),"",2014,1.517
Morocco,MAR,2014,1.1
Nicaragua,NIC,2014,0.9
Oman,OMN,2014,1.6
Pakistan,PAK,2014,0.6
Peru,PER,2014,1.6
Qatar,QAT,2014,1.2
Saint Vincent and the Grenadines,VCT,2014,2.6
Saudi Arabia,SAU,2014,2.7
Somalia,SOM,2014,0.9
Syria,SYR,2014,1.5
Trinidad and Tobago,TTO,2014,3
Uruguay,URY,2014,2.8
Venezuela,VEN,2014,0.8
Vietnam,VNM,2014,2.6
Yemen,YEM,2014,0.7
Albania,ALB,2013,2.89
Azerbaijan,AZE,2013,4.7
Bahamas,BHS,2013,2.9
Belarus,BLR,2013,11
Bosnia and Herzegovina,BIH,2013,3.5
Caribbean small states,"",2013,2.267
Central Europe and the Baltics,"",2013,6.421
Ecuador,ECU,2013,1.5
Euro area,"",2013,6.167
Europe & Central Asia,"",2013,5.925
Europe & Central Asia (IDA & IBRD countries),"",2013,6.362
Europe & Central Asia (excluding high income),"",2013,6.354
Georgia,GEO,2013,2.6
Haiti,HTI,2013,0.7
High income,"",2013,4.111
Jamaica,JAM,2013,1.7
Kazakhstan,KAZ,2013,6.7
Kyrgyzstan,KGZ,2013,4.5
Moldova,MDA,2013,5.8
North America,"",2013,2.9
OECD members,"",2013,3.814
Panama,PAN,2013,2.3
Saint Lucia,LCA,2013,1.3
Sudan,SDN,2013,0.8
Tajikistan,TJK,2013,4.8
Turkmenistan,TKM,2013,7.4
Ukraine,UKR,2013,8.8
United Arab Emirates,ARE,2013,1.2
Uzbekistan,UZB,2013,4
Bhutan,BTN,2012,1.7
Dominica,DMA,2012,3.8
East Asia & Pacific,"",2012,4.444
East Asia & Pacific (IDA & IBRD countries),"",2012,3.514
East Asia & Pacific (excluding high income),"",2012,3.647
Laos,LAO,2012,1.5
Monaco,MCO,2012,13.8
Mongolia,MNG,2012,7
Myanmar,MMR,2012,0.9
Nepal,NPL,2012,0.3
North Korea,PRK,2012,13.2
Saint Kitts and Nevis,KNA,2012,2.3
San Marino,SMR,2012,3.8
Solomon Islands,SLB,2012,1.4
Sri Lanka,LKA,2012,3.6
Upper middle income,"",2012,3.85
Central African Republic,CAF,2011,1
Eritrea,ERI,2011,0.7
Fiji,FJI,2011,2.3
Gambia,GMB,2011,1.1
Ghana,GHA,2011,0.9
Guinea,GIN,2011,0.3
IBRD only,"",2011,2.603
IDA & IBRD total,"",2011,2.461
Low & middle income,"",2011,2.432
Lower middle income,"",2011,0.986
Malawi,MWI,2011,1.3
Mauritius,MUS,2011,3.4
Middle income,"",2011,2.401
Mozambique,MOZ,2011,0.7
Paraguay,PRY,2011,1.3
Philippines,PHL,2011,1
Sao Tome and Principe,STP,2011,2.9
Seychelles,SYC,2011,3.6
South Asia,"",2011,0.674
South Asia (IDA & IBRD),"",2011,0.674
Eswatini,SWZ,2011,2.1
Togo,TGO,2011,0.7
World,OWID_WRL,2011,2.705
Zimbabwe,ZWE,2011,1.7
Benin,BEN,2010,0.5
Botswana,BWA,2010,1.8
Burkina Faso,BFA,2010,0.4
Cameroon,CMR,2010,1.3
Cape Verde,CPV,2010,2.1
Comoros,COM,2010,2.2
Equatorial Guinea,GNQ,2010,2.1
Gabon,GAB,2010,6.3
Kenya,KEN,2010,1.4
Liberia,LBR,2010,0.8
Madagascar,MDG,2010,0.2
Mali,MLI,2010,0.1
Marshall Islands,MHL,2010,2.7
Nauru,NRU,2010,5
Palau,PLW,2010,4.8
South Africa,ZAF,2010,2.32
Suriname,SUR,2010,3.1
Tanzania,TZA,2010,0.7
Thailand,THA,2010,2.1
Timor,TLS,2010,5.9
Tonga,TON,2010,2.6
Uganda,UGA,2010,0.5
Zambia,ZMB,2010,2
