Entity,Code,Year,
Abkhazia,OWID_ABK,2015,Asia
Afghanistan,AFG,2015,Asia
Akrotiri and Dhekelia,OWID_AKD,2015,Asia
Albania,ALB,2015,Europe
Algeria,DZA,2015,Africa
American Samoa,ASM,2015,Oceania
Andorra,AND,2015,Europe
Angola,AGO,2015,Africa
Anguilla,AIA,2015,North America
Antarctica,ATA,2015,Antarctica
Antigua and Barbuda,ATG,2015,North America
Argentina,ARG,2015,South America
Armenia,ARM,2015,Asia
Aruba,ABW,2015,North America
Australia,AUS,2015,Oceania
Austria,AUT,2015,Europe
Austria-Hungary,OWID_AUH,2015,Europe
Azerbaijan,AZE,2015,Asia
Baden,OWID_BAD,2015,Europe
Bahamas,BHS,2015,North America
Bahrain,BHR,2015,Asia
Bangladesh,BGD,2015,Asia
Barbados,BRB,2015,North America
Bavaria,OWID_BAV,2015,Europe
Belarus,BLR,2015,Europe
Belgium,BEL,2015,Europe
Belize,BLZ,2015,North America
Benin,BEN,2015,Africa
Bermuda,BMU,2015,North America
Bhutan,BTN,2015,Asia
Bolivia,BOL,2015,South America
Bonaire Sint Eustatius and Saba,BES,2015,North America
Bosnia and Herzegovina,BIH,2015,Europe
Botswana,BWA,2015,Africa
Bouvet Island,BVT,2015,Antarctica
Brazil,BRA,2015,South America
British Indian Ocean Territory,IOT,2015,Asia
British Virgin Islands,VGB,2015,North America
Brunei,BRN,2015,Asia
Bulgaria,BGR,2015,Europe
Burkina Faso,BFA,2015,Africa
Burundi,BDI,2015,Africa
Cambodia,KHM,2015,Asia
Cameroon,CMR,2015,Africa
Canada,CAN,2015,North America
Cape Verde,CPV,2015,Africa
Cayman Islands,CYM,2015,North America
Central African Republic,CAF,2015,Africa
Chad,TCD,2015,Africa
Channel Islands,OWID_CIS,2015,Europe
Chile,CHL,2015,South America
China,CHN,2015,Asia
Christmas Island,CXR,2015,Asia
Cocos Islands,CCK,2015,Asia
Colombia,COL,2015,South America
Comoros,COM,2015,Africa
Congo,COG,2015,Africa
Cook Islands,COK,2015,Oceania
Costa Rica,CRI,2015,North America
Cote d'Ivoire,CIV,2015,Africa
Croatia,HRV,2015,Europe
Cuba,CUB,2015,North America
Curacao,CUW,2015,North America
Cyprus,CYP,2015,Europe
Czechia,CZE,2015,Europe
Czechoslovakia,OWID_CZS,2015,Europe
Democratic Republic of Congo,COD,2015,Africa
Denmark,DNK,2015,Europe
Djibouti,DJI,2015,Africa
Dominica,DMA,2015,North America
Dominican Republic,DOM,2015,North America
East Germany,OWID_GDR,2015,Europe
Ecuador,ECU,2015,South America
Egypt,EGY,2015,Africa
El Salvador,SLV,2015,North America
Equatorial Guinea,GNQ,2015,Africa
Eritrea,ERI,2015,Africa
Eritrea and Ethiopia,OWID_ERE,2015,Africa
Estonia,EST,2015,Europe
Ethiopia,ETH,2015,Africa
Faeroe Islands,FRO,2015,Europe
Falkland Islands,FLK,2015,South America
Fiji,FJI,2015,Oceania
Finland,FIN,2015,Europe
France,FRA,2015,Europe
French Guiana,GUF,2015,South America
French Polynesia,PYF,2015,Oceania
French Southern Territories,ATF,2015,Antarctica
Gabon,GAB,2015,Africa
Gambia,GMB,2015,Africa
Georgia,GEO,2015,Asia
Germany,DEU,2015,Europe
Ghana,GHA,2015,Africa
Gibraltar,GIB,2015,Europe
Greece,GRC,2015,Europe
Greenland,GRL,2015,North America
Grenada,GRD,2015,North America
Guadeloupe,GLP,2015,North America
Guam,GUM,2015,Oceania
Guatemala,GTM,2015,North America
Guernsey,GGY,2015,Europe
Guinea,GIN,2015,Africa
Guinea-Bissau,GNB,2015,Africa
Guyana,GUY,2015,South America
Haiti,HTI,2015,North America
Hanover,OWID_HAN,2015,Europe
Heard Island and McDonald Islands,HMD,2015,Antarctica
Hesse Electoral,OWID_HSE,2015,Europe
Hesse Grand Ducal,OWID_HSG,2015,Europe
Honduras,HND,2015,North America
Hong Kong,HKG,2015,Asia
Hungary,HUN,2015,Europe
Iceland,ISL,2015,Europe
India,IND,2015,Asia
Indonesia,IDN,2015,Asia
Iran,IRN,2015,Asia
Iraq,IRQ,2015,Asia
Ireland,IRL,2015,Europe
Isle of Man,IMN,2015,Europe
Israel,ISR,2015,Asia
Italy,ITA,2015,Europe
Jamaica,JAM,2015,North America
Japan,JPN,2015,Asia
Jersey,JEY,2015,Europe
Jordan,JOR,2015,Asia
Kazakhstan,KAZ,2015,Asia
Kenya,KEN,2015,Africa
Kiribati,KIR,2015,Oceania
Kosovo,OWID_KOS,2015,Europe
Kuwait,KWT,2015,Asia
Kyrgyzstan,KGZ,2015,Asia
Laos,LAO,2015,Asia
Latvia,LVA,2015,Europe
Lebanon,LBN,2015,Asia
Lesotho,LSO,2015,Africa
Liberia,LBR,2015,Africa
Libya,LBY,2015,Africa
Liechtenstein,LIE,2015,Europe
Lithuania,LTU,2015,Europe
Luxembourg,LUX,2015,Europe
Macao,MAC,2015,Asia
North Macedonia,MKD,2015,Europe
Madagascar,MDG,2015,Africa
Malawi,MWI,2015,Africa
Malaysia,MYS,2015,Asia
Maldives,MDV,2015,Asia
Mali,MLI,2015,Africa
Malta,MLT,2015,Europe
Marshall Islands,MHL,2015,Oceania
Martinique,MTQ,2015,North America
Mauritania,MRT,2015,Africa
Mauritius,MUS,2015,Africa
Mayotte,MYT,2015,Africa
Mecklenburg Schwerin,OWID_MEC,2015,Europe
Mexico,MEX,2015,North America
Micronesia (country),FSM,2015,Oceania
Modena,OWID_MOD,2015,Europe
Moldova,MDA,2015,Europe
Monaco,MCO,2015,Europe
Mongolia,MNG,2015,Asia
Montenegro,MNE,2015,Europe
Montserrat,MSR,2015,North America
Morocco,MAR,2015,Africa
Mozambique,MOZ,2015,Africa
Myanmar,MMR,2015,Asia
Nagorno-Karabakh,OWID_NAG,2015,Asia
Namibia,NAM,2015,Africa
Nauru,NRU,2015,Oceania
Nepal,NPL,2015,Asia
Netherlands,NLD,2015,Europe
Netherlands Antilles,ANT,2015,North America
New Caledonia,NCL,2015,Oceania
New Zealand,NZL,2015,Oceania
Nicaragua,NIC,2015,North America
Niger,NER,2015,Africa
Nigeria,NGA,2015,Africa
Niue,NIU,2015,Oceania
Norfolk Island,NFK,2015,Oceania
North Korea,PRK,2015,Asia
Northern Cyprus,OWID_CYN,2015,Asia
Northern Mariana Islands,MNP,2015,Oceania
Norway,NOR,2015,Europe
Oman,OMN,2015,Asia
Pakistan,PAK,2015,Asia
Palau,PLW,2015,Oceania
Palestine,PSE,2015,Asia
Panama,PAN,2015,North America
Papua New Guinea,PNG,2015,Oceania
Paraguay,PRY,2015,South America
Parma,OWID_PMA,2015,Europe
Peru,PER,2015,South America
Philippines,PHL,2015,Asia
Pitcairn,PCN,2015,Oceania
Poland,POL,2015,Europe
Portugal,PRT,2015,Europe
Puerto Rico,PRI,2015,North America
Qatar,QAT,2015,Asia
Republic of Vietnam,OWID_RVN,2015,Asia
Reunion,REU,2015,Africa
Romania,ROU,2015,Europe
Russia,RUS,2015,Europe
Rwanda,RWA,2015,Africa
Saint Barthélemy,BLM,2015,North America
Saint Helena,SHN,2015,Africa
Saint Kitts and Nevis,KNA,2015,North America
Saint Lucia,LCA,2015,North America
Saint Martin (French part),MAF,2015,North America
Saint Pierre and Miquelon,SPM,2015,North America
Saint Vincent and the Grenadines,VCT,2015,North America
Samoa,WSM,2015,Oceania
San Marino,SMR,2015,Europe
Sao Tome and Principe,STP,2015,Africa
Saudi Arabia,SAU,2015,Asia
Saxony,OWID_SAX,2015,Europe
Senegal,SEN,2015,Africa
