Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-01-27,AK,AKA,Alaska,731545.0,170575.0,101597,23317.0,13888.0,83363.0,11395.0,18097.0,2474.0,,,
2021-01-27,AL,ALA,Alabama,4903185.0,634000.0,266444,12930.0,5434.0,232633.0,4745.0,33595.0,685.0,,,
2021-01-27,AR,ARA,Arkansas,3017804.0,406175.0,252824,13459.0,8378.0,209445.0,6940.0,40910.0,1356.0,,,
2021-01-27,AS,ASA,American Samoa,55689.0,18450.0,9085,33130.0,16314.0,8133.0,14604.0,950.0,1706.0,,,
2021-01-27,AZ,AZA,Arizona,7278717.0,990000.0,458258,13601.0,6296.0,389059.0,5345.0,68846.0,946.0,,,
2021-01-27,BP2,BP2,Bureau of Prisons,0.0,30050.0,27326,0.0,0.0,20415.0,0.0,6846.0,0.0,,,
2021-01-27,CA,CAA,California,39512223.0,5452575.0,2579666,13800.0,6529.0,2156029.0,5457.0,417606.0,1057.0,,,
2021-01-27,CO,COA,Colorado,5758736.0,775050.0,474527,13459.0,8240.0,381679.0,6628.0,90200.0,1566.0,,,
2021-01-27,CT,CTA,Connecticut,3565287.0,543975.0,360991,15258.0,10125.0,302710.0,8490.0,51939.0,1457.0,,,
2021-01-27,DC,DCA,District of Columbia,705749.0,107575.0,68086,15243.0,9647.0,53590.0,7593.0,14434.0,2045.0,,,
2021-01-27,DD2,DD2,Dept of Defense,0.0,769450.0,366010,0.0,0.0,318701.0,0.0,40396.0,0.0,,,
2021-01-27,DE,DEA,Delaware,973764.0,140850.0,77449,14464.0,7954.0,64952.0,6670.0,12352.0,1268.0,,,
2021-01-27,FL,FLA,Florida,21477737.0,3095850.0,1632491,14414.0,7601.0,1451507.0,6758.0,176671.0,823.0,,,
2021-01-27,FM,FMA,Federated States of Micronesia,103643.0,19400.0,3241,18718.0,3127.0,3210.0,3097.0,4.0,4.0,,,
2021-01-27,GA,GAA,Georgia,10617423.0,1412450.0,712866,13303.0,6714.0,622905.0,5867.0,75360.0,710.0,,,
2021-01-27,GU,GUA,Guam,165768.0,34300.0,18263,20692.0,11017.0,14269.0,8608.0,3869.0,2334.0,,,
2021-01-27,HI,HIA,Hawaii,1415872.0,217425.0,97692,15356.0,6900.0,79147.0,5590.0,18544.0,1310.0,,,
2021-01-27,IA,IAA,Iowa,3155070.0,362875.0,204196,11501.0,6472.0,165466.0,5244.0,36067.0,1143.0,,,
2021-01-27,ID,IDA,Idaho,1787065.0,203225.0,96991,11372.0,5427.0,80857.0,4525.0,15443.0,864.0,,,
2021-01-27,IH2,IH2,Indian Health Svc,0.0,386400.0,165764,0.0,0.0,135456.0,0.0,28995.0,0.0,,,
2021-01-27,IL,ILA,Illinois,12671821.0,1591000.0,766659,12555.0,6050.0,611024.0,4822.0,147925.0,1167.0,,,
2021-01-27,IN,INA,Indiana,6732219.0,920975.0,524180,13680.0,7786.0,432791.0,6429.0,91255.0,1355.0,,,
2021-01-27,KS,KSA,Kansas,2913314.0,392875.0,168392,13486.0,5780.0,140685.0,4829.0,26457.0,908.0,,,
