Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,date_type,Recip_Administered,Administered_Dose1_Recip,Administered_Dose2_Recip,Administered_Dose1_Recip_18Plus,Administered_Dose2_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose2_Recip_18PlusPop_Pct,Census2019_18PlusPop,Distributed_Per_100k_18Plus,Administered_18Plus,Admin_Per_100k_18Plus,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-02-28,AK,AKA,Alaska,731545.0,342535.0,264741,46824.0,36189.0,166432.0,22751.0,97692.0,13354.0,22.8,13.3,Report,264933.0,166735.0,97554.0,165852.0,97142.0,30.1,17.6,551562.0,62103.0,263445.0,47763.0,,,
2021-02-28,AL,ALA,Alabama,4903185.0,1402280.0,942502,28599.0,19222.0,634792.0,12947.0,305731.0,6235.0,13.3,6.4,Report,965129.0,649745.0,313290.0,649521.0,313268.0,17.0,8.2,3814879.0,36758.0,942261.0,24700.0,,,
2021-02-28,AR,ARA,Arkansas,3017804.0,892660.0,649311,29580.0,21516.0,418453.0,13866.0,226968.0,7521.0,13.9,7.5,Report,650804.0,419502.0,227450.0,419328.0,227413.0,18.1,9.8,2317649.0,38516.0,649103.0,28007.0,,,
2021-02-28,AS,ASA,American Samoa,55689.0,29450.0,20338,52883.0,36521.0,12276.0,22044.0,8037.0,14432.0,22.2,14.5,Report,20459.0,12355.0,8079.0,12173.0,7994.0,28.0,18.4,43437.0,67799.0,20071.0,46207.0,,,
2021-02-28,AZ,AZA,Arizona,7278717.0,2148015.0,1792447,29511.0,24626.0,1250251.0,17177.0,535189.0,7353.0,16.8,7.2,Report,1753312.0,1220706.0,525426.0,1219024.0,525086.0,21.6,9.3,5638481.0,38096.0,1790120.0,31748.0,,,
2021-02-28,BP2,BP2,Bureau of Prisons,0.0,57155.0,60283,0.0,0.0,36995.0,0.0,23057.0,0.0,0.0,0.0,Report,60283.0,36995.0,23057.0,36993.0,23056.0,0.0,0.0,0.0,0.0,60280.0,0.0,,,
2021-02-28,CA,CAA,California,39512223.0,11587650.0,8821044,29327.0,22325.0,6151911.0,15570.0,2613260.0,6614.0,15.5,6.6,Report,8806969.0,6141765.0,2609341.0,6138201.0,2608453.0,20.0,8.5,30617582.0,37846.0,8816524.0,28796.0,,,
2021-02-28,CO,COA,Colorado,5758736.0,1700660.0,1371577,29532.0,23817.0,901520.0,15655.0,462155.0,8025.0,15.7,8.0,Report,1371359.0,901484.0,461947.0,901115.0,461832.0,20.0,10.3,4499217.0,37799.0,1371092.0,30474.0,,,
2021-02-28,CT,CTA,Connecticut,3565287.0,1198495.0,1004467,33616.0,28174.0,693595.0,19454.0,300264.0,8422.0,19.4,8.4,Report,1002755.0,690663.0,301151.0,689900.0,300897.0,24.3,10.6,2837847.0,42233.0,1003366.0,35357.0,,,
2021-02-28,DC,DCA,District of Columbia,705749.0,284655.0,194746,40334.0,27594.0,127752.0,18102.0,66481.0,9420.0,11.9,5.7,Report,124165.0,83668.0,40106.0,83661.0,40105.0,14.5,6.9,577581.0,49284.0,194733.0,33715.0,,,
2021-02-28,DD2,DD2,Dept of Defense,0.0,1434935.0,992748,0.0,0.0,678654.0,0.0,303314.0,0.0,0.0,0.0,Report,992748.0,678654.0,303314.0,678414.0,303283.0,0.0,0.0,0.0,0.0,992477.0,0.0,,,
2021-02-28,DE,DEA,Delaware,973764.0,291815.0,219312,29968.0,22522.0,146867.0,15082.0,71482.0,7341.0,14.8,7.1,Report,214316.0,144139.0,69293.0,144087.0,69278.0,18.7,9.0,770192.0,37889.0,219244.0,28466.0,,,
2021-02-28,FL,FLA,Florida,21477737.0,6313355.0,5044420,29395.0,23487.0,3222786.0,15005.0,1787164.0,8321.0,14.7,8.2,Report,4958700.0,3163425.0,1760865.0,3160329.0,1760528.0,18.3,10.2,17247808.0,36604.0,5040923.0,29226.0,,,
2021-02-28,FM,FMA,Federated States of Micronesia,103643.0,30000.0,14715,28946.0,14198.0,10509.0,10140.0,4103.0,3959.0,10.2,4.0,Report,14858.0,10619.0,4134.0,10615.0,4134.0,13.1,5.1,80842.0,37109.0,14711.0,18197.0,,,
2021-02-28,GA,GAA,Georgia,10617423.0,2881145.0,2072451,27136.0,19519.0,1282033.0,12075.0,747388.0,7039.0,11.9,7.0,Report,2045213.0,1259837.0,742880.0,1259424.0,742743.0,15.5,9.2,8113542.0,35510.0,2071907.0,25536.0,,,
2021-02-28,GU,GUA,Guam,165768.0,51300.0,55213,30947.0,33307.0,34495.0,20809.0,20227.0,12202.0,20.8,12.2,Report,55200.0,34485.0,20223.0,34475.0,20217.0,26.7,15.6,129299.0,39675.0,55196.0,42689.0,,,
2021-02-28,HI,HIA,Hawaii,1415872.0,497760.0,382798,35156.0,27036.0,246296.0,17395.0,136218.0,9621.0,17.5,9.7,Report,385277.0,248020.0,136943.0,247871.0,136882.0,22.2,12.3,1116004.0,44602.0,382589.0,34282.0,,,
2021-02-28,IA,IAA,Iowa,3155070.0,901745.0,713054,28581.0,22600.0,530741.0,16822.0,175777.0,5571.0,16.9,5.7,Report,719811.0,534690.0,178637.0,534292.0,178487.0,22.0,7.4,2428229.0,37136.0,712511.0,29343.0,,,
