Date,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Dose1,Administered_Dose2,Administered_Dose_Other,Administered_Dose1_Per_100K,Administered_Dose2_Per_100K,Administered_Dose_Other_Per_100K
2021-01-13,AK,AKA,Alaska,149475,38680,20433,5287,731545,10711,27958,11,24541,6166,7973,3355,843,1090
2021-01-13,AL,ALA,Alabama,378975,84040,7729,1714,4903185,36605,47435,0,74792,9245,3,1525,189,0
2021-01-13,AR,ARA,Arkansas,297800,94854,9868,3143,3017804,29917,64926,11,80458,12849,1547,2666,426,51
2021-01-13,AS,ASA,American Samoa,10650,2577,19124,4627,55689,1059,1518,0,1193,362,1022,2142,650,1835
2021-01-13,AZ,AZA,Arizona,569525,154745,7825,2126,7278717,52253,102466,26,104387,12392,37966,1434,170,522
2021-01-13,BP2,BP2,Bureau of Prisons,16050,15694,0,0,0,5742,9952,0,5395,1077,9222,0,0,0
2021-01-13,CA,CAA,California,3435650,891489,8695,2256,39512223,277789,613700,0,744545,133689,13255,1884,338,34
2021-01-13,CO,COA,Colorado,530800,239665,9217,4162,5758736,109888,129749,28,198227,41271,167,3442,717,3
2021-01-13,CT,CTA,Connecticut,315025,161875,8836,4540,3565287,88682,73193,0,58920,5268,97687,1653,148,2740
2021-01-13,DC,DCA,District of Columbia,68325,33049,9681,4683,705749,8795,24254,0,1957,1275,29817,277,181,4225
2021-01-13,DD2,DD2,Dept of Defense,415500,139993,0,0,0,58215,81379,399,131610,8383,0,0,0,0
2021-01-13,DE,DEA,Delaware,91250,28413,9371,2918,973764,7488,20922,3,16647,4050,7716,1710,416,792
2021-01-13,FL,FLA,Florida,1680200,705398,7823,3284,21477737,365599,339622,177,647330,52969,5099,3014,247,24
2021-01-13,FM,FMA,Federated States of Micronesia,9800,565,9456,545,103643,565,0,0,555,0,10,535,0,10
2021-01-13,GA,GAA,Georgia,1003975,198756,9456,1872,10617423,83954,114761,41,86105,8937,103714,811,84,977
2021-01-13,GU,GUA,Guam,34300,3791,20692,2287,165768,0,3791,0,401,0,3390,242,0,2045
2021-01-13,HI,HIA,Hawaii,154150,36605,10887,2585,1415872,8148,28457,0,0,0,0,0,0,0
2021-01-13,IA,IAA,Iowa,264125,112093,8371,3553,3155070,58349,53628,116,101859,9603,631,3228,304,20
2021-01-13,ID,IDA,Idaho,158125,38872,8848,2175,1787065,15294,23561,17,33176,5653,43,1856,316,2
2021-01-13,IH2,IH2,Indian Health Svc,290900,74462,0,0,0,36221,38241,0,17240,323,56899,0,0,0
2021-01-13,IL,ILA,Illinois,920225,365859,7262,2887,12671821,102428,263394,37,291445,74186,228,2300,585,2
2021-01-13,IN,INA,Indiana,579050,211334,8601,3139,6732219,61125,150188,21,125763,32040,53531,1868,476,795
2021-01-13,KS,KSA,Kansas,261175,85650,8965,2940,2913314,36681,48969,0,58477,12470,14703,2007,428,505
2021-01-13,KY,KYA,Kentucky,329450,142436,7374,3188,4467673,87080,55353,3,111449,7725,23262,2495,173,521
2021-01-13,LA,LAA,Louisiana,369475,156186,7948,3360,4648794,39586,116449,151,127078,21634,7474,2734,465,161
2021-01-13,LTC,LTC,Long Term Care,4556575,1084177,0,0,0,238004,840153,6020,1066689,16900,588,0,0,0
2021-01-13,MA,MAA,Massachusetts,656850,217443,9530,3155,6892503,87247,130187,9,192619,24789,35,2795,360,1
2021-01-13,MD,MDA,Maryland,561500,178056,9288,2945,6045680,86274,91758,24,162350,12706,3000,2685,210,50
2021-01-13,ME,MEA,Maine,136875,57248,10183,4259,1344212,27950,29295,3,39157,5182,12909,2913,386,960
2021-01-13,MH,MHA,Marshall Islands,13600,649,23282,1111,58413,649,0,0,633,1,15,1084,2,26
2021-01-13,MI,MIA,Michigan,772150,291519,7732,2919,9986857,82200,209319,0,259119,31937,463,2595,320,5
2021-01-13,MN,MNA,Minnesota,511200,165355,9064,2932,5639632,43928,121396,31,154767,10426,162,2744,185,3
2021-01-13,MO,MOA,Missouri,526425,161784,8577,2636,6137428,32301,129462,21,107939,22155,31690,1759,361,516
2021-01-13,MP,MPA,Northern Mariana Islands,18650,4141,32787,7280,56882,21,4120,0,1141,703,2297,2006,1236,4038
2021-01-13,MS,MSA,Mississippi,218825,61289,7353,2059,2976149,39136,22083,70,51588,5722,3979,1733,192,134
2021-01-13,MT,MTA,Montana,89550,44063,8379,4123,1068778,21475,22568,20,31886,6823,5354,2983,638,501
2021-01-13,NC,NCA,North Carolina,852000,266938,8124,2545,10488084,76350,190259,329,228686,35148,3104,2180,335,30
2021-01-13,ND,NDA,North Dakota,66725,40728,8756,5344,762062,19446,21282,0,34317,6395,16,4503,839,2
