Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-02-01,AK,AKA,Alaska,731545.0,193150.0,122020,26403.0,16680.0,96396.0,13177.0,25467.0,3481.0,13.18,3.48,,,
2021-02-01,AL,ALA,Alabama,4903185.0,659400.0,358280,13448.0,7307.0,301628.0,6152.0,56308.0,1148.0,6.15,1.15,,,
2021-02-01,AR,ARA,Arkansas,3017804.0,453700.0,311230,15034.0,10313.0,249943.0,8282.0,58613.0,1942.0,8.28,1.94,,,
2021-02-01,AS,ASA,American Samoa,55689.0,18450.0,10761,33130.0,19323.0,9713.0,17442.0,1046.0,1878.0,17.44,1.88,,,
2021-02-01,AZ,AZA,Arizona,7278717.0,1013375.0,620608,13922.0,8526.0,524413.0,7205.0,95671.0,1314.0,7.2,1.31,,,
2021-02-01,BP2,BP2,Bureau of Prisons,0.0,30050.0,31285,0.0,0.0,22725.0,0.0,8490.0,0.0,0.0,0.0,,,
2021-02-01,CA,CAA,California,39512223.0,5666550.0,3453284,14341.0,8740.0,2861767.0,7243.0,581985.0,1473.0,7.24,1.47,,,
2021-02-01,CO,COA,Colorado,5758736.0,813400.0,589787,14125.0,10242.0,455422.0,7908.0,130738.0,2270.0,7.91,2.27,,,
2021-02-01,CT,CTA,Connecticut,3565287.0,578600.0,449253,16229.0,12601.0,357588.0,10030.0,83855.0,2352.0,10.03,2.35,,,
2021-02-01,DC,DCA,District of Columbia,705749.0,148525.0,82519,21045.0,11692.0,63208.0,8956.0,19217.0,2723.0,8.96,2.72,,,
2021-02-01,DD2,DD2,Dept of Defense,0.0,816175.0,485125,0.0,0.0,407915.0,0.0,67913.0,0.0,0.0,0.0,,,
2021-02-01,DE,DEA,Delaware,973764.0,143775.0,102697,14765.0,10546.0,84482.0,8676.0,17628.0,1810.0,8.68,1.81,,,
2021-02-01,FL,FLA,Florida,21477737.0,3396350.0,2005378,15813.0,9337.0,1683674.0,7839.0,315392.0,1468.0,7.84,1.47,,,
2021-02-01,FM,FMA,Federated States of Micronesia,103643.0,19400.0,5110,18718.0,4930.0,5068.0,4890.0,15.0,14.0,4.89,0.01,,,
2021-02-01,GA,GAA,Georgia,10617423.0,1449800.0,930517,13655.0,8764.0,785487.0,7398.0,125548.0,1182.0,7.4,1.18,,,
2021-02-01,GU,GUA,Guam,165768.0,34300.0,23445,20692.0,14143.0,18538.0,11183.0,4736.0,2857.0,11.18,2.86,,,
2021-02-01,HI,HIA,Hawaii,1415872.0,227400.0,135836,16061.0,9594.0,108745.0,7680.0,27090.0,1913.0,7.68,1.91,,,
2021-02-01,IA,IAA,Iowa,3155070.0,417900.0,257468,13245.0,8160.0,194009.0,6149.0,60259.0,1910.0,6.15,1.91,,,
2021-02-01,ID,IDA,Idaho,1787065.0,221550.0,124377,12397.0,6960.0,100946.0,5649.0,22468.0,1257.0,5.65,1.26,,,
2021-02-01,IH2,IH2,Indian Health Svc,0.0,423600.0,210664,0.0,0.0,166090.0,0.0,40917.0,0.0,0.0,0.0,,,
2021-02-01,IL,ILA,Illinois,12671821.0,1696575.0,1054814,13389.0,8324.0,817253.0,6449.0,219095.0,1729.0,6.45,1.73,,,
2021-02-01,IN,INA,Indiana,6732219.0,931500.0,607185,13836.0,9019.0,495746.0,7364.0,111233.0,1652.0,7.36,1.65,,,
2021-02-01,KS,KSA,Kansas,2913314.0,413350.0,226895,14188.0,7788.0,183035.0,6283.0,42297.0,1452.0,6.28,1.45,,,
2021-02-01,KY,KYA,Kentucky,4467673.0,650150.0,415545,14552.0,9301.0,347384.0,7776.0,66077.0,1479.0,7.78,1.48,,,
2021-02-01,LA,LAA,Louisiana,4648794.0,648925.0,463179,13959.0,9963.0,376491.0,8099.0,85872.0,1847.0,8.1,1.85,,,
2021-02-01,MA,MAA,Massachusetts,6892503.0,1060900.0,608947,15392.0,8835.0,484829.0,7034.0,122652.0,1779.0,7.03,1.78,,,
2021-02-01,MD,MDA,Maryland,6045680.0,884650.0,528301,14633.0,8738.0,440763.0,7291.0,87039.0,1440.0,7.29,1.44,,,
2021-02-01,ME,MEA,Maine,1344212.0,212125.0,145786,15781.0,10845.0,109917.0,8177.0,34299.0,2552.0,8.18,2.55,,,
2021-02-01,MH,MHA,Marshall Islands,58413.0,13600.0,4127,23282.0,7065.0,3763.0,6442.0,327.0,560.0,6.44,0.56,,,
2021-02-01,MI,MIA,Michigan,9986857.0,1362600.0,1005544,13644.0,10069.0,794391.0,7954.0,197770.0,1980.0,7.95,1.98,,,
2021-02-01,MN,MNA,Minnesota,5639632.0,837550.0,546330,14851.0,9687.0,425546.0,7546.0,118959.0,2109.0,7.55,2.11,,,
2021-02-01,MO,MOA,Missouri,6137428.0,835400.0,462202,13612.0,7531.0,355387.0,5790.0,103241.0,1682.0,5.79,1.68,,,
2021-02-01,MP,MPA,Northern Mariana Islands,56882.0,21850.0,10148,38413.0,17840.0,6897.0,12125.0,3247.0,5708.0,12.13,5.71,,,
2021-02-01,MS,MSA,Mississippi,2976149.0,425000.0,238859,14280.0,8026.0,213525.0,7175.0,25077.0,843.0,7.17,0.84,,,
2021-02-01,MT,MTA,Montana,1068778.0,141650.0,106145,13253.0,9931.0,80627.0,7544.0,25438.0,2380.0,7.54,2.38,,,
2021-02-01,NC,NCA,North Carolina,10488084.0,1423475.0,975743,13572.0,9303.0,818858.0,7808.0,155824.0,1486.0,7.81,1.49,,,
