Date,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Dose1,Administered_Dose2,Administered_Dose_Other,Administered_Dose1_Per_100K,Administered_Dose2_Per_100K,Administered_Dose_Other_Per_100K
2021-01-12,AK,AKA,Alaska,141600,35838,19356,4899,731545,9526,26302,10,22486,5400,7952,3074,738,1087
2021-01-12,AL,ALA,Alabama,377025,78134,7689,1594,4903185,34087,44047,0,70861,7270,3,1445,148,0
2021-01-12,AR,ARA,Arkansas,274400,40879,9093,1355,3017804,9623,31255,1,39357,8,1514,1304,0,50
2021-01-12,AS,ASA,American Samoa,10650,2124,19124,3814,55689,849,1275,0,842,260,1022,1512,467,1835
2021-01-12,AZ,AZA,Arizona,563025,141355,7735,1942,7278717,47776,93553,26,95141,8343,37871,1307,115,520
2021-01-12,BP2,BP2,Bureau of Prisons,16050,14663,0,0,0,5312,9351,0,5199,1077,8387,0,0,0
2021-01-12,CA,CAA,California,3286050,816301,8317,2066,39512223,250289,566012,0,703540,100089,12672,1781,253,32
2021-01-12,CO,COA,Colorado,516750,224428,8973,3897,5758736,102375,122028,25,187838,36425,165,3262,633,3
2021-01-12,CT,CTA,Connecticut,250775,151395,7034,4246,3565287,82658,68737,0,56350,4174,90871,1581,117,2549
2021-01-12,DC,DCA,District of Columbia,62725,29812,8888,4224,705749,7425,22387,0,0,0,29812,0,0,4224
2021-01-12,DD2,DD2,Dept of Defense,376150,139439,0,0,0,58044,80996,399,131056,8383,0,0,0,0
2021-01-12,DE,DEA,Delaware,88325,26410,9070,2712,973764,7245,19162,3,15911,2784,7715,1634,286,792
2021-01-12,FL,FLA,Florida,1676300,633440,7805,2949,21477737,330409,302916,115,586741,41725,4974,2732,194,23
2021-01-12,FM,FMA,Federated States of Micronesia,9800,424,9456,409,103643,424,0,0,414,0,10,399,0,10
2021-01-12,GA,GAA,Georgia,960975,170571,9051,1607,10617423,67103,103429,39,85110,7746,77715,802,73,732
2021-01-12,GU,GUA,Guam,26500,3791,15986,2287,165768,0,3791,0,401,0,3390,242,0,2045
2021-01-12,HI,HIA,Hawaii,141750,33483,10011,2365,1415872,7724,25759,0,0,0,0,0,0,0
2021-01-12,IA,IAA,Iowa,208875,98691,6620,3128,3155070,54085,44490,116,91969,6099,623,2915,193,20
2021-01-12,ID,IDA,Idaho,146750,35845,8212,2006,1787065,14195,21633,17,31504,4308,33,1763,241,2
2021-01-12,IH2,IH2,Indian Health Svc,224425,68387,0,0,0,32960,35427,0,16105,236,52046,0,0,0
2021-01-12,IL,ILA,Illinois,903100,347005,7127,2738,12671821,98678,248295,32,284035,62757,213,2241,495,2
2021-01-12,IN,INA,Indiana,540475,191844,8028,2850,6732219,54037,137791,16,114781,23546,53517,1705,350,795
2021-01-12,KS,KSA,Kansas,193175,78268,6631,2687,2913314,34016,44252,0,53988,9577,14703,1853,329,505
2021-01-12,KY,KYA,Kentucky,329450,132114,7374,2957,4467673,80929,51183,2,102517,6335,23262,2295,142,521
2021-01-12,LA,LAA,Louisiana,368300,142771,7922,3071,4648794,36210,106420,141,117022,18314,7435,2517,394,160
2021-01-12,LTC,LTC,Long Term Care,4385175,951774,0,0,0,207094,738660,6020,948869,2429,476,0,0,0
2021-01-12,MA,MAA,Massachusetts,476025,204082,6906,2961,6892503,82460,121613,9,184984,19073,25,2684,277,0
2021-01-12,MD,MDA,Maryland,552800,146231,9144,2419,6045680,72196,74017,18,136576,6663,2992,2259,110,49
2021-01-12,ME,MEA,Maine,132975,54945,9892,4088,1344212,27104,27839,2,38045,4518,12382,2830,336,921
2021-01-12,MH,MHA,Marshall Islands,13600,639,23282,1094,58413,639,0,0,623,1,15,1067,2,26
2021-01-12,MI,MIA,Michigan,768150,227685,7692,2280,9986857,54628,173057,0,207786,19472,427,2081,195,4
2021-01-12,MN,MNA,Minnesota,453200,162240,8036,2877,5639632,41843,120366,31,152280,9798,162,2700,174,3
2021-01-12,MO,MOA,Missouri,485175,161784,7905,2636,6137428,32301,129462,21,107939,22155,31690,1759,361,516
2021-01-12,MP,MPA,Northern Mariana Islands,18650,3722,32787,6543,56882,11,3711,0,1094,331,2297,1923,582,4038
2021-01-12,MS,MSA,Mississippi,212050,54544,7125,1833,2976149,33744,20734,66,45733,4832,3979,1537,162,134
2021-01-12,MT,MTA,Montana,78350,42083,7331,3937,1068778,20826,21237,20,30887,5843,5353,2890,547,501
2021-01-12,NC,NCA,North Carolina,836450,211610,7975,2018,10488084,61839,149442,329,189213,19293,3104,1804,184,30
2021-01-12,ND,NDA,North Dakota,53525,39479,7024,5181,762062,19047,20432,0,33648,5815,16,4415,763,2
