Date,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K
2021-01-14,AK,AKA,Alaska,150450,42596,20566,5823,731545,35508,4854,,
2021-01-14,AL,ALA,Alabama,435350,92300,8879,1882,4903185,80480,1641,,
2021-01-14,AR,ARA,Arkansas,297800,108316,9868,3589,3017804,90339,2994,,
2021-01-14,AS,ASA,American Samoa,10650,2971,19124,5335,55689,2409,4326,,
2021-01-14,AZ,AZA,Arizona,570625,173665,7840,2386,7278717,157397,2162,,
2021-01-14,BP2,BP2,Bureau of Prisons,16450,16118,0,0,0,13997,0,,
2021-01-14,CA,CAA,California,3540175,975293,8960,2468,39512223,801998,2030,,
2021-01-14,CO,COA,Colorado,531775,254706,9234,4423,5758736,209300,3634,,
2021-01-14,CT,CTA,Connecticut,328675,171897,9219,4821,3565287,156366,4386,,
2021-01-14,DC,DCA,District of Columbia,68325,36679,9681,5197,705749,29927,4240,,
2021-01-14,DD2,DD2,Dept of Defense,464775,179724,0,0,0,159851,0,,
2021-01-14,DE,DEA,Delaware,91250,31090,9371,3193,973764,25649,2634,,
2021-01-14,FL,FLA,Florida,1970875,774485,9176,3606,21477737,709002,3301,,
2021-01-14,FM,FMA,Federated States of Micronesia,9800,605,9456,584,103643,604,583,,
2021-01-14,GA,GAA,Georgia,1010900,231305,9521,2179,10617423,204301,1924,,
2021-01-14,GU,GUA,Guam,34300,3791,20692,2287,165768,3785,2283,,
2021-01-14,HI,HIA,Hawaii,154150,47985,10887,3389,1415872,0,0,,
2021-01-14,IA,IAA,Iowa,268025,112093,8495,3553,3155070,100805,3195,,
2021-01-14,ID,IDA,Idaho,160075,42586,8957,2383,1787065,35179,1969,,
2021-01-14,IH2,IH2,Indian Health Svc,291800,81726,0,0,0,69313,0,,
2021-01-14,IL,ILA,Illinois,958125,403666,7561,3186,12671821,316876,2501,,
2021-01-14,IN,INA,Indiana,630025,233488,9358,3468,6732219,203889,3029,,
2021-01-14,KS,KSA,Kansas,263175,91565,9034,3143,2913314,77590,2663,,
2021-01-14,KY,KYA,Kentucky,332375,155613,7440,3483,4467673,145320,3253,,
2021-01-14,LA,LAA,Louisiana,370175,175811,7963,3782,4648794,149064,3207,,
2021-01-14,LTC,LTC,Long Term Care,4715600,1225493,0,0,0,1195320,0,,
2021-01-14,MA,MAA,Massachusetts,669225,233476,9709,3387,6892503,204481,2967,,
2021-01-14,MD,MDA,Maryland,564625,178056,9339,2945,6045680,165318,2734,,
2021-01-14,ME,MEA,Maine,136875,61129,10183,4548,1344212,51631,3841,,
2021-01-14,MH,MHA,Marshall Islands,13600,649,23282,1111,58413,623,1067,,
2021-01-14,MI,MIA,Michigan,773650,327235,7747,3277,9986857,286349,2867,,
2021-01-14,MN,MNA,Minnesota,516800,179684,9164,3186,5639632,161507,2864,,
2021-01-14,MO,MOA,Missouri,528300,175314,8608,2856,6137428,145521,2371,,
2021-01-14,MP,MPA,Northern Mariana Islands,18650,4598,32787,8083,56882,3455,6074,,
2021-01-14,MS,MSA,Mississippi,219800,71848,7385,2414,2976149,64654,2172,,
2021-01-14,MT,MTA,Montana,98500,46620,9216,4362,1068778,39103,3659,,
2021-01-14,NC,NCA,North Carolina,969700,268212,9246,2557,10488084,233038,2222,,
2021-01-14,ND,NDA,North Dakota,68675,42774,9012,5613,762062,35293,4631,,
2021-01-14,NE,NEA,Nebraska,199800,84920,10329,4390,1934408,72079,3726,,
2021-01-14,NH,NHA,New Hampshire,127225,58711,9357,4318,1359711,53780,3955,,
2021-01-14,NJ,NJA,New Jersey,658800,263422,7417,2966,8882190,235152,2647,,
2021-01-14,NM,NMA,New Mexico,204750,89415,9765,4264,2096829,73428,3502,,
2021-01-14,NV,NVA,Nevada,210075,76844,6820,2495,3080156,62370,2025,,
2021-01-14,NY,NYA,New York State,1872625,688576,9626,3540,19453561,617596,3175,,
2021-01-14,OH,OHA,Ohio,967450,348424,8277,2981,11689100,338961,2900,,
2021-01-14,OK,OKA,Oklahoma,399900,187266,10106,4733,3956971,160035,4044,,
2021-01-14,OR,ORA,Oregon,335075,129796,7944,3077,4217737,119980,2845,,
2021-01-14,PA,PAA,Pennsylvania,1065300,410414,8321,3206,12801989,353821,2764,,
2021-01-14,PR,PRA,Puerto Rico,305475,94880,9565,2971,3193694,80310,2515,,
2021-01-14,RI,RIA,Rhode Island,84125,44871,7941,4236,1059361,38000,3587,,
2021-01-14,RP,RPA,Republic of Palau,6000,766,33506,4278,17907,765,4272,,
2021-01-14,SC,SCA,South Carolina,346150,115855,6723,2250,5148714,96231,1869,,
2021-01-14,SD,SDA,South Dakota,88375,54284,9990,6136,884659,44721,5055,,
2021-01-14,TN,TNA,Tennessee,656550,264713,9614,3876,6829174,238943,3499,,
2021-01-14,TX,TXA,Texas,2105600,1043624,7262,3599,28995881,917387,3164,,
2021-01-14,US,USA,United States,30628175,11148991,9225,3358,331996199,9690757,2919,,
2021-01-14,UT,UTA,Utah,267975,115384,8359,3599,3205958,103833,3239,,
2021-01-14,VA,VAA,Virginia,852725,217836,9990,2552,8535519,192918,2260,,
2021-01-14,VA2,VA2,Veterans Health,941925,284697,0,0,0,252993,0,,
2021-01-14,VI,VIA,Virgin Islands,10750,1424,10269,1360,104680,1267,1210,,
2021-01-14,VT,VTA,Vermont,69800,29571,11186,4739,623989,26603,4263,,
2021-01-14,WA,WAA,Washington,655575,225238,8609,2958,7614893,187450,2462,,
2021-01-14,WI,WIA,Wisconsin,437900,149955,7521,2575,5822434,135841,2333,,
2021-01-14,WV,WVA,West Virginia,160975,118660,8982,6621,1792147,99061,5528,,
2021-01-14,WY,WYA,Wyoming,58775,19776,10155,3417,578759,17310,2991,,
