Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-01-23,AK,AKA,Alaska,731545.0,155700.0,88344,21284.0,12076.0,73014.0,9981.0,15206.0,2079.0,,,
2021-01-23,AL,ALA,Alabama,4903185.0,521225.0,221540,10630.0,4518.0,193955.0,3956.0,27422.0,559.0,,,
2021-01-23,AR,ARA,Arkansas,3017804.0,368650.0,201676,12216.0,6683.0,167788.0,5560.0,31600.0,1047.0,,,
2021-01-23,AS,ASA,American Samoa,55689.0,18450.0,6831,33130.0,12266.0,5881.0,10560.0,948.0,1702.0,,,
2021-01-23,AZ,AZA,Arizona,7278717.0,829500.0,360958,11396.0,4959.0,305744.0,4201.0,55014.0,756.0,,,
2021-01-23,BP2,BP2,Bureau of Prisons,0.0,24750.0,23345,0.0,0.0,18296.0,0.0,4977.0,0.0,,,
2021-01-23,CA,CAA,California,39512223.0,4906525.0,2008220,12418.0,5083.0,1661683.0,4205.0,341731.0,865.0,,,
2021-01-23,CO,COA,Colorado,5758736.0,692700.0,377283,12029.0,6551.0,313211.0,5439.0,62086.0,1078.0,,,
2021-01-23,CT,CTA,Connecticut,3565287.0,492850.0,306796,13824.0,8605.0,264042.0,7406.0,37098.0,1041.0,,,
2021-01-23,DC,DCA,District of Columbia,705749.0,91025.0,59793,12898.0,8472.0,47088.0,6672.0,12649.0,1792.0,,,
2021-01-23,DD2,DD2,Dept of Defense,0.0,677025.0,311567,0.0,0.0,274128.0,0.0,31730.0,0.0,,,
2021-01-23,DE,DEA,Delaware,973764.0,116325.0,60023,11946.0,6164.0,49442.0,5077.0,10448.0,1073.0,,,
2021-01-23,FL,FLA,Florida,21477737.0,2908275.0,1489003,13541.0,6933.0,1333116.0,6207.0,152209.0,709.0,,,
2021-01-23,FM,FMA,Federated States of Micronesia,103643.0,13600.0,2752,13122.0,2655.0,2749.0,2652.0,3.0,3.0,,,
2021-01-23,GA,GAA,Georgia,10617423.0,1235775.0,604067,11639.0,5689.0,534161.0,5031.0,59965.0,565.0,,,
2021-01-23,GU,GUA,Guam,165768.0,34300.0,3791,20692.0,2287.0,3785.0,2283.0,0.0,0.0,,,
2021-01-23,HI,HIA,Hawaii,1415872.0,191575.0,84792,13531.0,5989.0,67990.0,4802.0,16802.0,1187.0,,,
2021-01-23,IA,IAA,Iowa,3155070.0,361475.0,180110,11457.0,5709.0,151145.0,4791.0,26426.0,838.0,,,
2021-01-23,ID,IDA,Idaho,1787065.0,181100.0,82640,10134.0,4624.0,68292.0,3821.0,13711.0,767.0,,,
2021-01-23,IH2,IH2,Indian Health Svc,0.0,357850.0,143678,0.0,0.0,120761.0,0.0,21677.0,0.0,,,
2021-01-23,IL,ILA,Illinois,12671821.0,1417250.0,654752,11184.0,5167.0,518779.0,4094.0,128907.0,1017.0,,,
2021-01-23,IN,INA,Indiana,6732219.0,841725.0,446029,12503.0,6625.0,367944.0,5465.0,77985.0,1158.0,,,
2021-01-23,KS,KSA,Kansas,2913314.0,348175.0,144909,11951.0,4974.0,122813.0,4216.0,20883.0,717.0,,,
